COG	Node_GCA-000006805.1_AP024487.1_0
COG0001	0.99
COG0002	0.02
COG0003	0.24
COG0004	0.23
COG0005	0.82
COG0006	0.99
COG0007	0.86
COG0008	1
COG0009	0.92
COG0010	0.55
COG0012	1
COG0013	0.98
COG0014	0.12
COG0015	0.47
COG0016	0.99
COG0017	1
COG0018	0.99
COG0019	0.54
COG0020	0.99
COG0022	0.09
COG0023	0.9
COG0024	1
COG0025	0.9
COG0027	0.37
COG0028	0.726143
COG0029	0.06
COG0030	1
COG0034	0.9903
COG0035	0.01
COG0036	0.85
COG0037	1
COG0038	0.96
COG0039	0.16
COG0040	0.07
COG0041	0.86
COG0042	0.709
COG0043	0.99
COG0044	0.19
COG0045	0.98
COG0046	0.07
COG0047	0.98
COG0048	0.98
COG0049	0.97
COG0051	0.82
COG0052	0.99
COG0053	0.930922
COG0054	1
COG0057	0.99
COG0058	0.25
COG0059	0.92
COG0060	1
COG0061	0.25
COG0063	0.9616
COG0064	1
COG0065	0.97
COG0066	0.95
COG0067	0.67
COG0068	0.97
COG0069	0.34
COG0070	0.01
COG0071	0.851357
COG0072	0.99
COG0073	0.89
COG0074	0.9812
COG0075	0.95
COG0076	0.9907
COG0077	0.92
COG0078	0.79
COG0079	0.77
COG0080	0.12
COG0081	0.92
COG0082	0.6
COG0083	0.93
COG0084	0.91
COG0085	0.98
COG0086	0.9982
COG0087	1
COG0088	1
COG0089	0.99
COG0090	0.98
COG0091	0.98
COG0092	1
COG0093	0.59
COG0094	0.98
COG0095	0.9168
COG0096	1
COG0097	0.94
COG0098	1
COG0099	1
COG0100	0.35
COG0101	0.94
COG0102	0.95
COG0103	0.98
COG0104	0.61
COG0105	0.02
COG0106	0.99
COG0107	1
COG0108	0.79
COG0109	0.75
COG0110	0.758528
COG0111	0.99
COG0112	1
COG0113	0.84
COG0114	0.83
COG0115	0.66
COG0116	0.99
COG0117	0.02
COG0118	0.85
COG0119	0.994
COG0120	0.97
COG0121	0.4439
COG0122	0.75
COG0123	0.502
COG0124	0.95
COG0126	0.98
COG0127	1
COG0129	0.34
COG0130	0.2902
COG0131	0.26
COG0132	0.04
COG0133	0.5
COG0134	0.7
COG0135	0.03
COG0136	0.9935
COG0137	0.97
COG0138	0.57
COG0139	0.99
COG0140	0.84
COG0141	0.98
COG0142	1
COG0143	0.96
COG0144	0.651786
COG0145	0.373
COG0146	0.04
COG0147	0.77
COG0148	0.9908
COG0149	0.71
COG0150	0.86
COG0151	0.8999
COG0152	0.62
COG0153	0.04
COG0154	0.89
COG0155	0.3
COG0156	0.6508
COG0157	0.487
COG0158	0.16
COG0159	0.15
COG0160	0.822
COG0162	0.64
COG0163	0.97
COG0164	0.96
COG0165	0.92
COG0167	0.99
COG0168	0.98
COG0170	0.786228
COG0171	0.62
COG0172	0.9703
COG0174	0.82
COG0175	0.987749
COG0176	0.3
COG0177	0.412
COG0178	0.01
COG0179	0.99
COG0180	1
COG0181	0.87
COG0182	0.05
COG0183	0.976762
COG0184	1
COG0185	0.33
COG0186	0.03
COG0188	0.59
COG0189	0.41
COG0190	0.46
COG0191	0.03
COG0192	0.55
COG0195	1
COG0197	0.53
COG0198	0.92
COG0199	0.9
COG0200	0.99
COG0201	1
COG0202	0.98
COG0205	0.1552
COG0206	0.9876
COG0207	0.3
COG0208	0.02
COG0209	0.4735
COG0210	0.1
COG0212	0.48
COG0213	1
COG0214	0.82
COG0215	0.18
COG0218	0.18
COG0221	0.92
COG0225	0.07
COG0226	0.95
COG0229	0.01
COG0231	1
COG0232	0.04
COG0234	0.01
COG0235	0.63
COG0236	0.0397
COG0237	0.93
COG0239	0.63
COG0240	0.04
COG0241	0.45
COG0243	0.434567
COG0244	0.3
COG0247	0.9948
COG0249	0.12
COG0250	1
COG0252	0.9
COG0253	0.73
COG0255	0.21
COG0256	0.91
COG0258	0.94
COG0260	0.8
COG0262	0.1
COG0263	0.1
COG0265	0.32
COG0269	0.8656
COG0270	0.05
COG0272	0.02
COG0274	0.02
COG0276	0.09
COG0277	0.7074
COG0279	0.34
COG0280	0.05
COG0281	0.84
COG0282	0.08
COG0284	0.87
COG0286	0.7746
COG0287	0.0694
COG0288	0.2531
COG0289	0.61
COG0293	0.99
COG0294	0.04
COG0295	0.23
COG0296	0.11
COG0297	0.34
COG0298	0.07
COG0299	0.02
COG0300	0.19
COG0301	0.99
COG0303	0.9998
COG0306	0.95
COG0307	0.28
COG0308	0.1
COG0309	0.89
COG0310	0.9796
COG0311	0.99
COG0312	1
COG0314	0.9625
COG0315	0.85
COG0316	0.16
COG0317	0.05
COG0318	0.01
COG0320	0.83
COG0321	0.01
COG0322	0.4159
COG0325	0.03
COG0326	0.03
COG0327	0.07
COG0328	0.03
COG0329	0.94
COG0330	1
COG0334	0.0595
COG0337	0.03
COG0338	0.07
COG0340	0.45
COG0341	0.93
COG0342	1
COG0343	1
COG0345	0.25
COG0346	0.134194
COG0347	0.308512
COG0348	0.1585
COG0350	0.66
COG0351	0.39
COG0352	0.25
COG0358	1
COG0361	0.7
COG0365	0.9538
COG0366	0.5688
COG0367	0.565
COG0368	0.87
COG0370	0.96
COG0371	1
COG0372	0.58
COG0373	0.97
COG0374	0.73
COG0375	0.76
COG0377	0.69
COG0378	0.56
COG0379	1
COG0381	0.92
COG0382	0.88907
COG0383	0.66
COG0384	0.1264
COG0385	0.71
COG0388	0.12
COG0389	0.12
COG0391	0.48
COG0392	0.9966
COG0393	0.11
COG0394	0.59
COG0395	0.06
COG0396	0.88
COG0399	0.12
COG0400	0.01
COG0402	0.88814
COG0403	0.81
COG0404	0.9424
COG0405	0.04
COG0406	0.07
COG0407	0.998872
COG0409	0.8
COG0410	0.57
COG0411	0.9902
COG0412	0.01
COG0413	0.16
COG0415	0.76
COG0417	0.579243
COG0419	0.99
COG0420	0.14
COG0421	0.1684
COG0422	0.73
COG0423	0.98
COG0424	0.56
COG0425	0.815643
COG0426	0.89
COG0427	0.0785
COG0428	0.57
COG0430	0.55
COG0431	0.4
COG0432	0.4
COG0433	0.994814
COG0434	0.32
COG0436	1
COG0437	0.571
COG0438	0.999299
COG0439	0.89
COG0440	0.28
COG0441	0.84
COG0442	0.86
COG0443	0.54
COG0444	0.735373
COG0446	0.999806
COG0449	0.94
COG0450	0.0784
COG0451	0.998456
COG0452	0.33
COG0454	0.910669
COG0455	0.34
COG0456	0.0397
COG0457	0.86676
COG0458	0.9903
COG0459	0.99
COG0460	0.96
COG0461	1
COG0462	1
COG0463	0.986962
COG0464	0.781264
COG0466	0.01
COG0467	0.993649
COG0468	0.9999
COG0469	0.54
COG0470	1
COG0471	0.02
COG0472	0.92
COG0473	0.0591
COG0474	0.4
COG0475	0.96238
COG0476	0.99
COG0477	0.984167
COG0478	0.73
COG0479	0.9952
COG0480	0.99
COG0483	0.79
COG0484	0.05
COG0489	0.04
COG0490	0.8068
COG0491	0.901218
COG0492	0.1
COG0493	0.58
COG0494	0.372056
COG0495	1
COG0496	0.42
COG0498	0.9706
COG0499	0.92
COG0500	1
COG0501	0.922216
COG0502	0.8174
COG0503	0.3903
COG0504	1
COG0505	0.79
COG0508	0.58
COG0509	0.24
COG0511	0.4
COG0513	0.35
COG0514	0.08
COG0516	0.98
COG0517	0.999835
COG0518	0.9924
COG0520	0.86
COG0521	0.71
COG0522	0.97
COG0523	0.79
COG0524	0.6
COG0525	0.92
COG0526	0.995196
COG0527	1
COG0528	0.26
COG0529	0.74
COG0530	0.95
COG0531	0.5446
COG0532	0.92
COG0533	0.07
COG0534	0.098308
COG0535	0.952349
COG0537	0.2
COG0538	0.66
COG0540	1
COG0541	1
COG0542	0.19
COG0546	0.464
COG0548	1
COG0549	0.78
COG0550	0.94
COG0551	0.05
COG0552	0.98
COG0553	0.8643
COG0554	0.01
COG0555	0.99
COG0556	0.17
COG0557	0.02
COG0558	0.87505
COG0559	0.853
COG0560	0.96
COG0561	0.52
COG0562	0.01
COG0564	0.02
COG0565	0.57
COG0569	0.993
COG0571	0.55
COG0572	0.04
COG0573	0.48
COG0574	0.983928
COG0575	0.99
COG0577	0.98
COG0579	0.13
COG0580	0.02
COG0581	0.97
COG0582	0.997655
COG0583	0.3532
COG0584	0.12
COG0585	0.24
COG0586	0.08
COG0588	0.13
COG0589	0.991
COG0590	0.03
COG0591	0.127
COG0592	0.95
COG0595	0.9856
COG0596	0.544482
COG0598	0.8
COG0599	0.0494
COG0600	0.74
COG0601	0.39
COG0602	0.15
COG0604	0.76
COG0605	0.01
COG0607	0.67
