COG	Node_GCA-000006805.1_AP024487.1_0
COG2768_01	0.3
COG1144_01	0.02
COG0864_01	0.02
COG0546_01	0.02
COG3432_01	0.04
COG1216_01	0.01
COG0491_01	0.01
COG1695_01	0.01
COG2002_01	0.02
COG4641_01	0.75
COG0455_01	0.02
COG1361_01	0.04
COG3398_01	0.1
COG0644_01	0.61
COG1215_01	0.06
COG1708_01	0.05
COG4152_01	0.85
COG2512_01	0.06
COG2129_01	0.05
COG3393_01	0.06
COG0640_01	0.07
COG1014_01	0.06
COG0492_01	0.02
COG0535_01	0.48
COG1848_01	0.01
COG1846_01	0.01
COG0433_01	0.01
COG1545_01	0.26
COG0456_01	0.05
COG0675_01	0.04
COG1470_01	0.14
COG4106_01	0.04
COG1254_01	0.04
COG0468_01	0.12
COG1287_01	0.04
COG0382_01	0.79
COG1719_01	0.08
COG1594_01	0.01
COG1145_01	0.19
COG0199_01	0.01
COG0501_01	0.82
COG0526_01	0.03
COG2048_01	0.11
COG1088_01	0.06
COG1572_01	0.08
COG2036_01	0.16
COG1977_01	0.31
COG2007_01	0.1
COG4976_01	0.03
COG1136_01	0.03
COG2092_01	0.2
COG1246_01	0.02
COG2140_01	0.14
COG1676_01	0.03
COG0596_01	0.02
COG0407_01	0.03
COG1520_01	0.13
COG1405_01	0.06
COG1149_01	0.04
COG0522_01	0.01
COG1011_01	0.01
COG0624_01	0.02
COG1277_01	0.19
COG3914_01	0.03
COG1305_01	0.05
COG1094_01	0.14
COG2443_01	0.13
COG1955_01	0.06
COG1371_01	0.06
COG1180_01	0.01
COG1588_01	0.02
COG0436_01	0.8
COG1793_01	0.12
COG2012_01	0.2
COG1056_01	0.02
COG0425_01	0.07
COG2520_01	0.37
COG4627_01	0.14
COG1727_01	0.01
COG1418_01	0.01
COG0697_01	0.01
COG2097_01	0.05
COG1514_01	0.11
COG0778_01	0.16
COG1467_01	0.01
COG0731_01	0.9
COG0470_01	0.02
COG0184_01	0.01
COG1601_01	0.21
COG1400_01	0.01
COG0142_01	1.0
COG0608_01	0.63
COG1579_01	0.01
COG1236_01	0.11
COG0714_01	0.04
COG1581_01	0.05
COG0727_01	0.01
COG4974_01	0.01
COG2053_01	0.05
COG1730_01	0.05
COG3903_01	0.02
COG1909_01	0.14
COG0747_01	0.06
COG0361_01	0.01
COG1383_01	0.17
COG2004_01	0.1
COG2101_01	0.19
COG0080_01	0.01
COG0094_01	0.96
COG2167_01	0.01
COG0451_01	0.04
COG0622_01	0.02
COG1150_01	0.04
COG1266_01	0.54
COG1373_01	0.01
COG4555_01	0.07
COG1208_01	0.09
COG0119_01	0.05
COG1358_01	0.48
COG0619_01	0.01
COG1522_01	0.01
COG1997_01	0.44
COG0096_01	0.02
COG0198_01	0.03
COG3614_01	0.01
COG0250_01	0.93
COG0020_01	0.28
COG0444_01	0.01
COG5305_01	0.02
COG0097_01	0.23
COG1122_01	0.04
COG0024_01	0.35
COG0476_01	0.1
COG0636_01	0.1
COG2125_01	0.75
COG2127_01	0.06
COG0049_01	0.61
COG0459_01	0.21
COG3127_01	0.03
COG2250_01	0.13
COG0087_01	0.24
COG0432_01	0.01
COG1758_01	0.01
COG0707_01	0.05
COG2078_01	0.02
COG1761_01	0.28
COG2890_01	0.29
COG1412_01	0.11
COG1644_01	0.28
COG1899_01	0.13
COG1087_01	0.06
COG4109_01	0.13
COG0202_01	0.07
COG1867_01	0.13
COG0563_01	0.08
COG0037_01	0.01
COG0081_01	0.92
COG0127_01	0.05
COG1918_01	0.25
COG3269_01	0.23
COG0822_01	0.01
COG1841_01	0.35
COG1487_01	0.26
COG0051_01	0.43
COG0048_01	0.01
COG0195_01	0.08
COG3695_01	0.01
COG0613_01	0.03
COG2118_01	0.14
COG0164_01	0.03
COG2147_01	0.06
COG0720_01	0.1
COG0231_01	0.47
COG1931_01	0.33
COG1591_01	0.01
COG0420_01	0.03
COG1439_01	0.29
COG1628_01	0.08
COG1499_01	0.01
COG0531_01	0.01
COG1146_01	0.05
COG1476_01	0.01
COG4257_01	0.01
COG2405_01	0.05
COG0552_01	0.17
COG0099_01	0.14
COG1324_01	0.02
COG2042_01	0.01
COG1632_01	0.18
COG0149_01	0.02
COG0052_01	0.01
COG0256_01	0.28
COG0111_01	0.04
COG0719_01	0.25
COG3277_01	0.09
COG0388_01	0.03
COG0681_01	0.02
COG0498_01	0.16
COG0030_01	0.86
COG1293_01	0.27
COG0437_01	0.41
COG0130_01	0.12
COG0614_01	0.07
COG1498_01	0.02
COG2510_01	0.21
COG0017_01	0.22
COG0315_01	0.03
COG0023_01	0.26
COG1139_01	0.01
COG1890_01	0.81
COG1097_01	0.02
COG0148_01	0.21
COG1781_01	0.77
COG1889_01	0.12
COG0093_01	0.05
COG1694_01	0.01
COG3371_01	0.04
COG3837_01	0.03
COG1631_01	0.01
COG2034_01	0.1
COG0428_01	0.07
COG1386_01	0.06
COG1382_01	0.04
COG0417_01	0.01
COG2932_01	0.04
COG1961_01	0.01
COG0312_01	0.02
COG2872_01	0.02
COG0367_01	0.02
COG1078_01	0.01
COG1082_01	0.13
COG0098_01	0.35
COG2020_01	0.02
COG4372_01	0.03
COG0461_01	0.26
COG1608_01	0.02
COG0520_01	0.26
COG2450_01	0.01
COG1250_01	0.01
COG1436_01	0.01
COG1814_01	0.01
COG0091_01	0.17
COG5617_01	0.04
COG1985_01	0.01
COG0680_01	0.01
COG0012_01	0.9
COG1422_01	0.23
COG2139_01	0.25
COG1199_01	0.7
COG0309_01	0.22
COG0430_01	0.01
COG2016_01	0.01
COG1340_01	0.06
COG1339_01	0.06
COG1054_01	0.01
COG0560_01	0.07
COG1120_01	0.26
COG1142_01	0.13
COG1736_01	0.04
COG1896_01	0.02
COG2077_01	0.01
COG0215_01	0.01
COG1201_01	0.43
COG1111_01	0.18
COG0575_01	0.57
COG1249_01	0.02
COG0528_01	0.02
COG1437_01	0.01
COG0663_01	0.01
COG0483_01	0.23
COG2238_01	0.33
COG2120_01	0.01
COG0006_01	0.02
COG1931_02	0.05
COG1355_01	0.01
COG1342_01	0.11
COG0343_01	0.45
