COG	Node_GCA-000006805.1_AP024487.1_0
COG0001	0.46
COG0005	0.03
COG0006	0.07
COG0008	0.83
COG0009	0.08
COG0010	0.02
COG0012	0.92
COG0013	0.46
COG0016	0.58
COG0017	0.3598
COG0018	0.42
COG0019	0.06
COG0020	0.62
COG0023	0.05
COG0024	0.96
COG0025	0.02
COG0030	0.79
COG0034	0.17
COG0036	0.01
COG0037	0.78
COG0038	0.05
COG0041	0.02
COG0043	0.54
COG0045	0.12
COG0047	0.26
COG0048	0.42
COG0049	0.17
COG0051	0.03
COG0052	0.1
COG0053	0.16
COG0054	0.49
COG0057	0.25
COG0059	0.04
COG0060	0.81
COG0063	0.07
COG0064	0.26
COG0065	0.07
COG0066	0.07
COG0067	0.02
COG0068	0.3
COG0071	0.03
COG0072	0.25
COG0074	0.3
COG0075	0.17
COG0076	0.34
COG0077	0.06
COG0078	0.04
COG0079	0.09
COG0081	0.12
COG0082	0.02
COG0083	0.1
COG0084	0.02
COG0085	0.58
COG0086	0.66
COG0087	0.76
COG0088	0.3
COG0089	0.69
COG0090	0.14
COG0091	0.32
COG0092	0.95
COG0094	0.61
COG0095	0.01
COG0096	0.27
COG0097	0.01
COG0098	0.99
COG0099	0.69
COG0101	0.11
COG0102	0.2
COG0103	0.31
COG0106	0.39
COG0107	0.51
COG0108	0.03
COG0109	0.02
COG0110	0.05
COG0111	0.47
COG0112	0.75
COG0113	0.03
COG0115	0.04
COG0116	0.03
COG0118	0.03
COG0119	0.22
COG0120	0.37
COG0121	0.01
COG0122	0.01
COG0124	0.01
COG0126	0.22
COG0127	0.66
COG0131	0.01
COG0134	0.04
COG0136	0.24
COG0137	0.14
COG0139	0.1
COG0141	0.23
COG0142	0.64
COG0143	0.2
COG0147	0.02
COG0148	0.17
COG0149	0.01
COG0150	0.02
COG0151	0.07
COG0152	0.02
COG0154	0.01
COG0160	0.01
COG0162	0.01
COG0163	0.08
COG0164	0.44
COG0165	0.08
COG0167	0.01
COG0168	0.14
COG0170	0.01
COG0172	0.34
COG0174	0.02
COG0175	0.1387
COG0177	0.01
COG0179	0.31
COG0180	0.25
COG0183	0.1387
COG0184	0.4
COG0188	0.01
COG0189	0.04
COG0195	0.75
COG0198	0.03
COG0200	0.09
COG0201	0.66
COG0202	0.5
COG0206	0.1486
COG0213	0.25
COG0214	0.03
COG0221	0.03
COG0226	0.4
COG0231	0.55
COG0235	0.01
COG0237	0.14
COG0239	0.01
COG0241	0.01
COG0243	0.01
COG0247	0.18
COG0250	0.81
COG0252	0.11
COG0256	0.09
COG0258	0.06
COG0277	0.01
COG0279	0.01
COG0281	0.04
COG0284	0.01
COG0286	0.01
COG0289	0.01
COG0293	0.45
COG0301	0.47
COG0303	0.6165
COG0306	0.13
COG0309	0.11
COG0310	0.03
COG0311	0.08
COG0312	0.2824
COG0314	0.03
COG0315	0.08
COG0320	0.01
COG0329	0.18
COG0330	0.84
COG0343	0.69
COG0347	0.01
COG0350	0.01
COG0358	0.96
COG0361	0.01
COG0365	0.15
COG0366	0.02
COG0367	0.01
COG0368	0.01
COG0370	0.06
COG0371	0.34
COG0373	0.11
COG0377	0.02
COG0379	0.35
COG0381	0.11
COG0389	0.01
COG0392	0.54
COG0394	0.03
COG0396	0.01
COG0402	0.09
COG0403	0.03
COG0404	0.32
COG0407	0.1264
COG0409	0.05
COG0411	0.03
COG0415	0.01
COG0417	0.01
COG0419	0.31
