COG	Node_GCA-000007185.1_GCA-000006805.1_0
COG2768_01	0.4
COG1144_01	0.05
COG0864_01	0.02
COG3432_01	0.03
COG0546_01	0.01
COG1695_01	0.01
COG2002_01	0.02
COG0455_01	0.02
COG1222_01	0.01
COG1361_01	0.1
COG4641_01	0.19
COG1215_01	0.06
COG3398_01	0.08
COG0644_01	0.16
COG1708_01	0.02
COG4152_01	0.07
COG2512_01	0.03
COG3393_01	0.09
COG1848_01	0.02
COG2129_01	0.05
COG0640_01	0.04
COG0704_01	0.01
COG0535_01	0.56
COG1599_01	0.01
COG0456_01	0.02
COG1014_01	0.02
COG0492_01	0.02
COG3642_01	0.02
COG1470_01	0.35
COG1254_01	0.01
COG0675_01	0.05
COG3413_01	0.01
COG1545_01	0.27
COG4106_01	0.03
COG0526_01	0.04
COG0501_01	0.04
COG1977_01	0.26
COG0382_01	0.71
COG1088_01	0.09
COG0199_01	0.01
COG1287_01	0.01
COG2007_01	0.67
COG1719_01	0.18
COG1145_01	0.17
COG2048_01	0.22
COG4976_01	0.03
COG1572_01	0.02
COG1308_01	0.02
COG1246_01	0.1
COG2036_01	0.41
COG2140_01	0.14
COG0596_01	0.02
COG0407_01	0.09
COG1520_01	0.21
COG1676_01	0.01
COG0522_01	0.09
COG1136_01	0.01
COG1305_01	0.02
COG2092_01	0.31
COG3914_01	0.02
COG0630_01	0.02
COG1955_01	0.16
COG1405_01	0.08
COG1011_01	0.01
COG1149_01	0.01
COG1277_01	0.76
COG3979_01	0.02
COG1180_01	0.01
COG1056_01	0.24
COG1042_01	0.01
COG0648_01	0.01
COG2520_01	0.85
COG1094_01	0.64
COG2443_01	0.22
COG0436_01	0.44
COG1371_01	0.3
COG1793_01	0.18
COG0425_01	0.09
COG0731_01	0.83
COG2012_01	0.17
COG4627_01	0.05
COG0778_01	0.08
COG1601_01	0.11
COG3903_01	0.01
COG0537_01	0.01
COG1236_01	0.48
COG2097_01	0.01
COG1514_01	0.19
COG0142_01	0.58
COG0184_01	0.05
COG5803_01	0.05
COG1581_01	0.01
COG0622_01	0.02
COG1909_01	0.52
COG2053_01	0.1
COG1573_01	0.04
COG0608_01	0.71
COG0361_01	0.01
COG0198_01	0.15
COG1358_01	0.26
COG1383_01	0.31
COG2167_01	0.01
