COG	LACA
COG0001_01	0.100000
COG0002_01	0.035000
COG0005_01	0.160000
COG0006_01	0.030000
COG0007_01	0.005000
COG0008_01	0.360000
COG0012_01	0.925000
COG0013_01	0.285000
COG0015_01	0.005000
COG0016_01	0.025000
COG0017_01	0.320000
COG0018_01	0.220000
COG0019_01	0.015000
COG0020_01	0.445000
COG0023_01	0.300000
COG0024_01	0.545000
COG0029_01	0.015000
COG0030_01	0.825000
COG0031_01	0.005000
COG0034_01	0.030000
COG0037_01	0.045000
COG0038_01	0.135000
COG0039_01	0.005000
COG0043_01	0.495000
COG0044_01	0.280000
COG0045_01	0.150000
COG0047_01	0.080000
COG0048_01	0.005000
COG0049_01	0.750000
COG0051_01	0.335000
COG0052_01	0.035000
COG0053_01	0.630000
COG0054_01	0.050000
COG0057_01	0.485000
COG0060_01	0.715000
COG0061_01	0.015000
COG0063_01	0.025000
COG0067_01	0.005000
COG0068_01	0.505000
COG0069_01	0.050000
COG0072_01	0.155000
COG0074_01	0.260000
COG0075_01	0.275000
COG0076_01	0.485000
COG0077_01	0.005000
COG0078_01	0.025000
COG0080_01	0.005000
COG0081_01	0.620000
COG0082_01	0.285000
COG0083_01	0.075000
COG0085_01	0.060000
COG0087_01	0.300000
COG0088_01	0.005000
COG0090_01	0.185000
COG0091_01	0.285000
COG0092_01	0.690000
COG0093_01	0.235000
COG0094_01	0.920000
COG0095_01	0.025000
COG0096_01	0.015000
COG0097_01	0.475000
COG0098_01	0.655000
COG0099_01	0.180000
COG0101_01	0.010000
COG0103_01	0.005000
COG0104_01	0.015000
COG0107_01	0.775000
COG0110_01	0.015000
COG0111_01	0.055000
COG0112_01	0.290000
COG0115_01	0.210000
COG0118_01	0.105000
COG0119_01	0.065000
COG0120_01	0.055000
COG0122_01	0.020000
COG0123_01	0.035000
COG0124_01	0.095000
COG0126_01	0.030000
COG0127_01	0.175000
COG0129_01	0.010000
COG0130_01	0.080000
COG0133_01	0.210000
COG0135_01	0.050000
COG0136_01	0.720000
COG0137_01	0.085000
COG0139_01	0.185000
COG0141_01	0.050000
COG0142_01	0.790000
COG0143_01	0.155000
COG0144_01	0.390000
COG0145_01	0.045000
COG0147_01	0.025000
COG0148_01	0.320000
COG0149_01	0.025000
COG0150_01	0.010000
COG0151_01	0.335000
COG0152_01	0.045000
COG0159_01	0.015000
COG0160_01	0.005000
COG0162_01	0.005000
COG0163_01	0.705000
COG0164_01	0.040000
COG0167_01	0.080000
COG0168_01	0.085000
COG0169_01	0.005000
COG0170_01	0.005000
COG0172_02	0.065000
COG0174_01	0.065000
COG0175_01	0.010000
COG0179_01	0.005000
COG0180_01	0.760000
COG0181_01	0.025000
COG0182_01	0.095000
COG0184_01	0.030000
COG0185_01	0.010000
COG0189_01	0.005000
COG0190_01	0.005000
COG0195_01	0.140000
COG0198_01	0.090000
COG0199_01	0.010000
COG0202_01	0.040000
COG0207_01	0.005000
COG0213_01	0.480000
COG0214_01	0.005000
COG0215_01	0.010000
COG0221_01	0.015000
COG0226_01	0.025000
COG0231_01	0.515000
COG0239_01	0.015000
COG0241_01	0.005000
COG0250_01	0.765000
COG0255_01	0.145000
COG0256_01	0.240000
COG0269_01	0.045000
COG0270_01	0.040000
COG0281_01	0.015000
COG0286_01	0.005000
COG0293_01	0.450000
COG0295_01	0.005000
COG0301_01	0.015000
COG0306_01	0.225000
COG0308_01	0.005000
COG0309_01	0.220000
COG0310_01	0.005000
COG0311_01	0.230000
COG0312_01	0.015000
COG0315_01	0.045000
COG0329_01	0.010000
COG0330_01	0.220000
COG0342_01	0.005000
COG0343_01	0.660000
COG0345_01	0.005000
COG0346_01	0.005000
COG0358_01	0.880000
COG0361_01	0.010000
COG0365_01	0.005000
COG0367_01	0.020000
COG0368_01	0.060000
COG0370_01	0.055000
COG0371_01	0.010000
COG0375_01	0.015000
COG0377_01	0.010000
COG0378_01	0.005000
COG0379_01	0.110000
COG0381_01	0.035000
COG0382_01	0.750000
COG0388_01	0.015000
COG0391_01	0.005000
COG0392_01	0.200000
COG0395_01	0.005000
COG0396_01	0.050000
COG0399_01	0.005000
COG0407_01	0.060000
COG0417_01	0.005000
COG0419_01	0.030000
COG0420_01	0.020000
COG0422_01	0.020000
COG0423_01	0.090000
COG0425_01	0.080000
COG0426_01	0.175000
COG0428_01	0.095000
COG0430_01	0.030000
COG0432_01	0.010000
COG0433_01	0.005000
COG0434_01	0.005000
COG0436_01	0.620000
COG0437_01	0.380000
COG0441_01	0.015000
COG0442_01	0.175000
COG0444_01	0.010000
COG0447_01	0.010000
COG0449_01	0.520000
COG0451_01	0.035000
COG0452_01	0.190000
COG0455_01	0.020000
COG0456_01	0.035000
COG0459_01	0.120000
COG0460_01	0.035000
COG0461_01	0.305000
COG0468_01	0.060000
COG0469_01	0.005000
COG0470_01	0.010000
COG0471_01	0.075000
COG0472_01	0.045000
COG0473_01	0.005000
COG0475_01	0.195000
COG0476_01	0.080000
COG0478_01	0.005000
COG0480_01	0.765000
COG0483_01	0.265000
COG0486_01	0.005000
COG0491_01	0.005000
COG0492_01	0.020000
COG0495_01	0.010000
COG0496_01	0.045000
COG0498_01	0.195000
COG0499_01	0.660000
COG0500_01	0.015000
COG0501_01	0.430000
COG0502_01	0.030000
COG0504_01	0.835000
COG0505_01	0.050000
COG0506_02	0.005000
COG0516_01	0.075000
COG0519_01	0.405000
COG0520_01	0.260000
COG0521_01	0.035000
COG0522_01	0.050000
COG0525_01	0.505000
COG0526_01	0.035000
COG0527_01	0.045000
COG0528_01	0.030000
COG0530_01	0.085000
COG0531_01	0.005000
COG0532_01	0.190000
COG0533_01	0.975000
COG0535_01	0.520000
COG0537_01	0.005000
COG0540_01	0.685000
COG0541_01	0.020000
COG0546_01	0.015000
COG0548_01	0.265000
COG0549_01	0.015000
COG0551_01	0.080000
COG0552_01	0.155000
COG0555_01	0.195000
COG0558_01	0.015000
COG0560_01	0.085000
