COG	LBCA_alt
COG0001	0.999923
COG0002	0.998549
COG0003	0.980484
COG0004	0.999997
COG0005	0.999870
COG0006	1.000000
COG0007	0.999860
COG0008	0.999971
COG0009	0.999984
COG0010	0.999876
COG0012	0.999899
COG0013	0.999899
COG0014	0.999560
COG0015	0.999864
COG0016	0.999899
COG0017	0.999894
COG0018	0.999899
COG0019	0.999534
COG0020	0.999899
COG0021	0.999875
COG0024	0.999901
COG0028	1.000000
COG0029	0.999885
COG0030	0.999899
COG0031	1.000000
COG0034	0.999528
COG0035	0.999562
COG0036	0.999899
COG0037	0.999899
COG0038	0.999900
COG0039	0.997488
COG0040	0.998552
COG0041	0.999528
COG0042	0.999899
COG0043	0.999101
COG0044	0.999527
COG0045	0.998549
COG0046	0.999524
COG0047	0.999528
COG0048	0.999898
COG0049	0.999898
COG0051	0.999899
COG0052	0.999899
COG0053	0.999907
COG0054	0.999528
COG0055	0.886242
COG0056	0.999899
COG0057	0.999954
COG0058	0.999876
COG0059	0.999533
COG0060	0.999899
COG0061	0.999900
COG0062	0.999899
COG0063	0.999898
COG0064	0.999865
COG0065	0.804487
COG0066	0.996735
COG0067	0.997016
COG0068	0.999511
COG0069	0.998540
COG0070	0.992184
COG0071	1.000000
COG0072	0.999899
COG0073	0.999863
COG0074	0.998563
COG0075	0.995329
COG0077	0.984179
COG0078	0.999899
COG0079	0.999999
COG0080	0.999899
COG0081	0.999899
COG0082	0.999885
COG0083	0.995531
COG0084	0.999980
COG0085	0.999898
COG0086	0.999898
COG0087	0.999899
COG0088	0.999899
COG0089	0.999899
COG0090	0.999899
COG0091	0.999899
COG0092	0.999899
COG0093	0.999899
COG0094	0.999899
COG0095	0.999899
COG0096	0.999899
COG0097	0.999899
COG0098	0.999899
COG0099	0.999899
COG0100	0.999899
COG0101	0.999900
COG0102	0.999899
COG0103	0.999899
COG0104	0.999882
COG0105	0.999885
COG0106	0.998551
COG0107	0.999887
COG0108	0.999528
COG0109	0.994510
COG0110	0.999569
COG0111	1.000000
COG0112	0.999885
COG0113	0.999876
COG0114	0.880456
COG0115	0.999537
COG0116	0.612180
