COG_ID	input_prob	raw_sum	n_subfam_pos	n_subfam_total	in_vocab
COG0085	0.72	0.72	1	1	1
COG0481	0.72	0.72	1	1	1
COG3426	0.62	0.62	1	1	1
COG1328	0.60	0.60	2	9	1
COG1530	0.50	0.50	1	1	1
COG1784	0.50	0.50	1	1	1
COG2064	0.46	0.46	1	5	1
COG0073	0.45	0.45	1	2	1
COG0013	0.40	0.40	1	1	1
COG0168	0.39	0.39	2	2	1
COG1027	0.31	0.31	1	1	1
COG1283	0.31	0.31	1	3	1
COG1086	0.26	0.26	1	2	1
COG0857	0.25	0.25	1	1	1
COG1329	0.25	0.25	1	1	1
COG0191	0.24	0.24	2	5	1
COG0530	0.22	0.22	2	6	1
COG3836	0.22	0.22	1	2	1
COG1494	0.21	0.21	1	1	1
COG1059	0.19	0.19	1	1	1
COG1315	0.19	0.19	1	2	1
COG5009	0.19	0.19	1	2	1
COG0525	0.18	0.18	1	2	1
COG1578	0.18	0.18	1	2	1
COG4624	0.18	0.18	1	1	1
COG0046	0.17	0.17	1	2	1
COG1180	0.17	0.17	1	5	1
COG1437	0.17	0.17	1	1	1
COG1465	0.17	0.17	1	1	1
COG2198	0.17	0.17	1	1	1
COG1406	0.15	0.15	1	2	1
COG1462	0.15	0.15	1	2	1
COG2402	0.14	0.14	1	3	1
COG2203	0.13	0.13	1	1	1
COG0502	0.12	0.12	2	4	1
COG0677	0.12	0.12	1	2	1
COG0763	0.12	0.12	2	2	1
COG1894	0.12	0.12	1	1	1
COG0008	0.11	0.11	1	1	1
COG0285	0.11	0.11	1	1	1
COG0015	0.10	0.10	1	5	1
COG0159	0.10	0.10	1	2	1
COG0201	0.10	0.10	1	1	1
COG0445	0.10	0.10	1	1	1
COG1145	0.10	0.10	1	2	1
COG1230	0.10	0.10	1	5	1
COG1291	0.10	0.10	1	2	1
COG1341	0.10	0.10	1	1	1
COG1469	0.10	0.10	1	2	1
COG1480	0.10	0.10	1	1	1
COG1951	0.10	0.10	2	2	1
COG2063	0.10	0.10	1	1	1
COG4252	0.10	0.10	1	1	1
COG4284	0.10	0.10	1	1	1
COG0574	0.09	0.09	1	4	1
COG1149	0.09	0.09	1	1	1
COG1269	0.09	0.09	1	1	1
COG4956	0.09	0.09	1	1	1
COG0160	0.08	0.08	1	1	1
COG0649	0.08	0.08	1	1	1
COG1085	0.08	0.08	2	5	1
COG1156	0.08	0.08	2	2	1
COG1205	0.08	0.08	2	3	1
COG1515	0.08	0.08	1	3	1
COG1614	0.08	0.08	1	1	1
COG2923	0.08	0.08	1	2	1
COG3031	0.08	0.08	1	1	1
COG3260	0.08	0.08	1	1	1
COG0068	0.07	0.07	1	1	1
COG0235	0.07	0.07	1	1	1
COG0387	0.07	0.07	1	3	1
COG0595	0.07	0.07	2	2	1
COG0826	0.07	0.07	1	5	1
COG3894	0.07	0.07	2	2	1
COG3958	0.07	0.07	1	1	1
COG0301	0.06	0.06	1	2	1
COG0317	0.06	0.06	1	3	1
COG0714	0.06	0.06	2	12	1
COG1151	0.06	0.06	1	1	1
COG1351	0.06	0.06	1	3	1
COG1584	0.06	0.06	1	2	1
COG1606	0.06	0.06	1	2	1
COG1674	0.06	0.06	1	9	1
COG2000	0.06	0.06	1	2	1
COG2129	0.06	0.06	1	1	1
COG2870	0.06	0.06	1	1	1
COG4147	0.06	0.06	1	2	1
COG4953	0.06	0.06	1	1	1
COG0064	0.05	0.05	1	1	1
COG0104	0.05	0.05	1	5	1
COG0287	0.05	0.05	1	2	1
COG0330	0.05	0.05	1	2	1
COG0341	0.05	0.05	1	1	1
COG0643	0.05	0.05	1	3	1
COG0648	0.05	0.05	1	3	1
COG0689	0.05	0.05	1	1	1
COG1069	0.05	0.05	2	3	1
COG1173	0.05	0.05	1	1	1
COG1419	0.05	0.05	1	2	1
COG1459	0.05	0.05	1	3	1
COG1749	0.05	0.05	1	1	1
COG1980	0.05	0.05	1	1	1
COG2052	0.05	0.05	1	2	1
COG2231	0.05	0.05	1	1	1
COG2876	0.05	0.05	1	3	1
COG4962	0.05	0.05	1	4	1
COG4992	0.05	0.05	1	2	1
COG0016	0.04	0.04	2	4	1
COG0018	0.04	0.04	1	2	1
COG0029	0.04	0.04	1	1	1
COG0060	0.04	0.04	1	2	1
COG0303	0.04	0.04	1	3	1
COG0541	0.04	0.04	1	1	1
COG0693	0.04	0.04	1	1	1
COG0731	0.04	0.04	1	3	1
COG0864	0.04	0.04	1	2	1
COG1191	0.04	0.04	1	5	1
COG1197	0.04	0.04	1	1	1
COG1330	0.04	0.04	1	1	1
COG1415	0.04	0.04	1	1	1
COG1454	0.04	0.04	1	1	1
COG1533	0.04	0.04	1	2	1
COG1655	0.04	0.04	1	1	1
COG1766	0.04	0.04	1	1	1
COG1785	0.04	0.04	1	1	1
COG2089	0.04	0.04	2	3	1
COG2216	0.04	0.04	1	1	1
COG2233	0.04	0.04	1	3	1
COG2313	0.04	0.04	1	1	1
COG2820	0.04	0.04	1	1	1
COG2859	0.04	0.04	1	2	1
COG2878	0.04	0.04	1	1	1
COG3058	0.04	0.04	1	1	1
COG3239	0.04	0.04	1	10	1
COG3700	0.04	0.04	1	1	1
COG3885	0.04	0.04	1	1	1
COG4964	0.04	0.04	1	1	1
COG0069	0.03	0.03	1	6	1
COG0182	0.03	0.03	1	1	1
COG0193	0.03	0.03	1	1	1
COG0414	0.03	0.03	1	1	1
COG0444	0.03	0.03	1	1	1
COG0499	0.03	0.03	1	2	1
COG0542	0.03	0.03	1	1	1
COG0615	0.03	0.03	1	1	1
COG0855	0.03	0.03	1	1	1
COG1031	0.03	0.03	1	1	1
COG1118	0.03	0.03	1	1	1
COG1155	0.03	0.03	1	1	1
COG1176	0.03	0.03	1	3	1
COG1349	0.03	0.03	1	1	1
COG1468	0.03	0.03	1	2	1
COG1518	0.03	0.03	2	4	1
COG1529	0.03	0.03	1	1	1
COG1541	0.03	0.03	1	2	1
COG1587	0.03	0.03	1	2	1
COG1623	0.03	0.03	1	1	1
COG1691	0.03	0.03	1	1	1
COG1699	0.03	0.03	1	1	1
COG1863	0.03	0.03	1	2	1
COG1875	0.03	0.03	1	3	1
COG1923	0.03	0.03	1	3	1
COG1945	0.03	0.03	1	3	1
COG2195	0.03	0.03	1	2	1
COG2309	0.03	0.03	2	3	1
COG2986	0.03	0.03	2	5	1
COG3225	0.03	0.03	1	1	1
COG3392	0.03	0.03	1	1	1
COG3684	0.03	0.03	1	1	1
COG3875	0.03	0.03	1	2	1
COG4370	0.03	0.03	1	1	1
COG4657	0.03	0.03	1	1	1
COG4747	0.03	0.03	1	1	1
COG4930	0.03	0.03	1	2	1
COG4963	0.03	0.03	1	1	1
COG4965	0.03	0.03	1	3	1
COG0106	0.02	0.02	1	2	1
COG0112	0.02	0.02	2	5	1
COG0194	0.02	0.02	1	3	1
COG0249	0.02	0.02	1	4	1
COG0277	0.02	0.02	1	6	1
COG0305	0.02	0.02	1	5	1
COG0332	0.02	0.02	1	4	1
COG0347	0.02	0.02	1	4	1
COG0404	0.02	0.02	1	2	1
COG0422	0.02	0.02	1	1	1
COG0433	0.02	0.02	1	3	1
COG0449	0.02	0.02	2	6	1
COG0451	0.02	0.02	1	2	1
COG0463	0.02	0.02	1	1	1
COG0465	0.02	0.02	1	5	1
COG0553	0.02	0.02	1	2	1
COG0557	0.02	0.02	1	2	1
COG0609	0.02	0.02	1	1	1
COG0620	0.02	0.02	1	4	1
COG0626	0.02	0.02	1	1	1
COG0686	0.02	0.02	1	2	1
COG0803	0.02	0.02	1	4	1
COG0861	0.02	0.02	1	4	1
COG1006	0.02	0.02	1	1	1
COG1048	0.02	0.02	2	3	1
COG1061	0.02	0.02	1	9	1
COG1174	0.02	0.02	1	1	1
COG1203	0.02	0.02	1	2	1
COG1237	0.02	0.02	1	1	1
COG1246	0.02	0.02	1	1	1
COG1284	0.02	0.02	1	1	1
COG1392	0.02	0.02	1	3	1
COG1410	0.02	0.02	1	1	1
COG1427	0.02	0.02	1	2	1
COG1453	0.02	0.02	1	1	1
COG1456	0.02	0.02	1	2	1
COG1497	0.02	0.02	1	2	1
COG1527	0.02	0.02	1	2	1
COG1558	0.02	0.02	1	1	1
COG1563	0.02	0.02	1	2	1
COG1648	0.02	0.02	1	1	1
COG1704	0.02	0.02	1	3	1
COG1706	0.02	0.02	1	1	1
COG1740	0.02	0.02	1	1	1
COG1838	0.02	0.02	1	2	1
COG1857	0.02	0.02	2	5	1
COG1929	0.02	0.02	1	1	1
COG2014	0.02	0.02	1	2	1
COG2045	0.02	0.02	1	1	1
COG2048	0.02	0.02	1	1	1
COG2116	0.02	0.02	1	3	1
COG2152	0.02	0.02	1	3	1
COG2266	0.02	0.02	1	1	1
COG2407	0.02	0.02	1	4	1
COG2461	0.02	0.02	1	1	1
COG2516	0.02	0.02	1	2	1
COG2524	0.02	0.02	1	1	1
COG2716	0.02	0.02	1	1	1
COG2871	0.02	0.02	1	3	1
COG2985	0.02	0.02	1	1	1
COG3261	0.02	0.02	1	1	1
COG3280	0.02	0.02	1	1	1
COG3419	0.02	0.02	1	1	1
COG3444	0.02	0.02	1	1	1
COG3580	0.02	0.02	1	1	1
COG4120	0.02	0.02	1	1	1
COG4258	0.02	0.02	1	1	1
COG4656	0.02	0.02	1	2	1
COG4660	0.02	0.02	1	1	1
COG4865	0.02	0.02	1	2	1
COG5426	0.02	0.02	1	1	1
COG0035	0.01	0.01	1	4	1
COG0038	0.01	0.01	1	3	1
COG0039	0.01	0.01	1	3	1
COG0055	0.01	0.01	1	1	1
COG0066	0.01	0.01	1	1	1
COG0090	0.01	0.01	1	1	1
COG0102	0.01	0.01	1	1	1
COG0115	0.01	0.01	1	3	1
COG0119	0.01	0.01	1	3	1
COG0129	0.01	0.01	1	2	1
COG0144	0.01	0.01	1	1	1
COG0147	0.01	0.01	1	1	1
COG0148	0.01	0.01	1	2	1
COG0155	0.01	0.01	1	1	1
COG0156	0.01	0.01	1	2	1
COG0165	0.01	0.01	1	3	1
COG0173	0.01	0.01	1	1	1
COG0177	0.01	0.01	1	4	1
COG0181	0.01	0.01	1	1	1
COG0183	0.01	0.01	1	3	1
COG0184	0.01	0.01	1	1	1
COG0192	0.01	0.01	1	3	1
COG0202	0.01	0.01	1	2	1
COG0209	0.01	0.01	1	6	1
COG0217	0.01	0.01	1	1	1
COG0223	0.01	0.01	1	2	1
COG0268	0.01	0.01	1	1	1
COG0269	0.01	0.01	1	2	1
COG0286	0.01	0.01	1	2	1
COG0296	0.01	0.01	1	5	1
COG0306	0.01	0.01	1	6	1
COG0334	0.01	0.01	1	1	1
COG0349	0.01	0.01	1	3	1
COG0358	0.01	0.01	1	3	1
COG0359	0.01	0.01	1	1	1
COG0363	0.01	0.01	1	3	1
COG0364	0.01	0.01	1	1	1
COG0366	0.01	0.01	1	1	1
COG0368	0.01	0.01	1	1	1
COG0369	0.01	0.01	1	1	1
COG0374	0.01	0.01	1	1	1
COG0377	0.01	0.01	1	1	1
COG0381	0.01	0.01	1	2	1
COG0399	0.01	0.01	1	1	1
COG0409	0.01	0.01	1	1	1
COG0415	0.01	0.01	1	4	1
COG0434	0.01	0.01	1	2	1
COG0437	0.01	0.01	1	1	1
COG0442	0.01	0.01	1	1	1
COG0443	0.01	0.01	1	7	1
COG0450	0.01	0.01	1	1	1
COG0461	0.01	0.01	1	5	1
COG0462	0.01	0.01	1	3	1
COG0473	0.01	0.01	1	2	1
COG0474	0.01	0.01	1	1	1
COG0475	0.01	0.01	1	6	1
COG0482	0.01	0.01	1	2	1
COG0498	0.01	0.01	1	5	1
COG0509	0.01	0.01	1	1	1
