node	reconstruction	arm	n_cogs	n_feature_cogs	p_aerobe	sd	call
LBCA	sparse (reconciliation)	input (p>0)	493	480	0.0172	0.0129	anaerobe
LBCA	sparse (reconciliation)	input (p>0.5)	4	4	0.0239	0.0166	anaerobe
LBCA	sparse (reconciliation)	denoised	1519	993	0.0005	0.0002	anaerobe
LBCA	copy-number min-1	input (p>0)	2809	1831	0.533	0.1548	aerobe
LBCA	copy-number min-1	input (p>0.5)	2014	1289	0.0569	0.0495	anaerobe
LBCA	copy-number min-1	denoised	1836	1138	0.0011	0.0003	anaerobe
LBCA	copy-number min-4	input (p>0)	2732	1790	0.464	0.1874	anaerobe
LBCA	copy-number min-4	input (p>0.5)	1981	1261	0.0481	0.0501	anaerobe
LBCA	copy-number min-4	denoised	1776	1095	0.0009	0.0003	anaerobe
LACA	combined root	input (p>0)	832	511	0.009	0.0087	anaerobe
LACA	combined root	input (p>0.5)	64	42	0.0828	0.0572	anaerobe
LACA	combined root	denoised	1023	613	0.0006	0.0004	anaerobe
LACA	Euryarchaeota (ML)	input (p>0)	2112	1245	0.0974	0.0417	anaerobe
LACA	Euryarchaeota (ML)	input (p>0.5)	1018	605	0.0074	0.0039	anaerobe
LACA	Euryarchaeota (ML)	denoised	1321	746	0.0007	0.0007	anaerobe
LACA	Euryarchaeota (uniform)	input (p>0)	805	492	0.0141	0.0079	anaerobe
LACA	Euryarchaeota (uniform)	input (p>0.5)	93	52	0.0885	0.0675	anaerobe
LACA	Euryarchaeota (uniform)	denoised	909	553	0.0008	0.0005	anaerobe
LACA	copy-number min-1	input (p>0)	2466	1456	0.4841	0.2387	anaerobe
LACA	copy-number min-1	input (p>0.5)	2017	1221	0.2317	0.176	anaerobe
LACA	copy-number min-1	denoised	1708	997	0.003	0.0013	anaerobe
LACA	copy-number min-4	input (p>0)	2240	1318	0.3349	0.1929	anaerobe
LACA	copy-number min-4	input (p>0.5)	1422	867	0.0043	0.0022	anaerobe
LACA	copy-number min-4	denoised	1405	819	0.0011	0.0006	anaerobe
