family_id	COG_xref	P_root_omin1	P_root_omin4
arCOG02312	COG00577	1.0000	1.0000
arCOG01117	COG01522	1.0000	1.0000
arCOG01107	COG00624	1.0000	1.0000
arCOG00922	COG01136	1.0000	1.0000
arCOG00833	COG00456	1.0000	1.0000
arCOG00751	COG00601	1.0000	1.0000
arCOG00706	COG02414	1.0000	1.0000
arCOG01130	COG00436	1.0000	1.0000
arCOG00606	COG00517	1.0000	1.0000
arCOG00536	COG01977	1.0000	1.0000
arCOG00467	COG01474	1.0000	1.0000
arCOG00288	COG00778	1.0000	1.0000
arCOG00280	COG00433	1.0000	1.0000
arCOG00196	COG01131	1.0000	1.0000
arCOG00194	COG01131	1.0000	1.0000
arCOG00570	COG00644	1.0000	1.0000
arCOG01171	COG00467	1.0000	1.0000
arCOG00130	COG00477	1.0000	1.0000
arCOG01403	COG00438	1.0000	1.0000
arCOG01356	COG01032	1.0000	1.0000
arCOG01580	COG01522	1.0000	1.0000
arCOG00014	COG00524	1.0000	1.0000
arCOG01369	COG00451	1.0000	1.0000
arCOG01972	COG00526	1.0000	1.0000
arCOG01340	COG01042	1.0000	1.0000
arCOG01981	COG01405	1.0000	1.0000
arCOG01259	COG01028	1.0000	1.0000
arCOG01434	COG00498	1.0000	1.0000
arCOG01000	COG00006	1.0000	1.0000
arCOG01257	COG00459	1.0000	1.0000
arCOG02053	COG00589	1.0000	1.0000
arCOG02291	COG01011	1.0000	1.0000
arCOG00767	COG01109	1.0000	1.0000
arCOG02199	COG00543	1.0000	1.0000
arCOG01278	COG00183	1.0000	1.0000
arCOG01534	COG00747	1.0000	1.0000
arCOG02092	COG00119	1.0000	1.0000
arCOG00938	COG00535	1.0000	1.0000
arCOG00181	COG00444	1.0000	1.0000
arCOG00666	COG01208	1.0000	1.0000
arCOG02410	COG02141	1.0000	1.0000
arCOG01510	COG01599	1.0000	1.0000
arCOG00271	COG00697	1.0000	1.0000
arCOG02201	COG00206	1.0000	1.0000
arCOG00600	COG00517	1.0000	1.0000
arCOG00504	COG00491	1.0000	1.0000
arCOG01308	COG00464	1.0000	1.0000
arCOG00184	COG04608	1.0000	1.0000
arCOG02293	COG00637	1.0000	1.0000
arCOG00748	COG01173	1.0000	1.0000
arCOG00318	COG00704	1.0000	1.0000
arCOG01622	COG00673	1.0000	1.0000
arCOG00998	COG01958	1.0000	1.0000
arCOG00695	COG00402	1.0000	1.0000
arCOG00001	COG01695	1.0000	1.0000
arCOG01589	COG00189	1.0000	1.0000
arCOG02391	COG00784	1.0000	1.0000
arCOG02209	COG02244	1.0000	1.0000
arCOG02050	COG00730	1.0000	1.0000
arCOG00065	COG00520	1.0000	1.0000
arCOG00009	COG00531	1.0000	1.0000
arCOG01707	COG01960	1.0000	1.0000
arCOG00238	COG01055	1.0000	1.0000
arCOG00679	COG00675	1.0000	1.0000
arCOG01467	COG00842	1.0000	1.0000
arCOG00894	COG00463	1.0000	1.0000
arCOG00476	COG00382	1.0000	1.0000
arCOG00497	COG02220	1.0000	1.0000
arCOG00636	COG00309	1.0000	1.0000
arCOG02144	COG02036	1.0000	1.0000
arCOG01602	COG01014	1.0000	1.0000
arCOG00062	COG00388	1.0000	1.0000
arCOG00415	COG00468	1.0000	1.0000
arCOG01296	COG00492	1.0000	1.0000
arCOG01252	COG01012	1.0000	1.0000
arCOG01537	COG00651	1.0000	1.0000
arCOG00940	COG00535	1.0000	1.0000
arCOG00970	COG00638	1.0000	1.0000
arCOG01568	COG00668	1.0000	1.0000
arCOG01817	COG00630	1.0000	1.0000
arCOG01676	COG00476	1.0000	1.0000
arCOG01163	COG00473	1.0000	1.0000
arCOG00826	COG00454	1.0000	1.0000
arCOG00033	COG02520	1.0000	1.0000
arCOG00132	COG00477	1.0000	1.0000
arCOG01075	COG01051	1.0000	1.0000
arCOG01608	COG00674	1.0000	1.0000
arCOG03167	COG01373	1.0000	1.0000
arCOG00856	COG00318	1.0000	1.0000
arCOG01578	COG00474	1.0000	1.0000
arCOG01241	COG00582	1.0000	1.0000
arCOG02640	COG01392	1.0000	1.0000
arCOG00333	COG00247	1.0000	1.0000
arCOG02235	COG01148	1.0000	1.0000
arCOG00459	COG00177	1.0000	1.0000
arCOG01753	COG01581	1.0000	1.0000
arCOG01726	COG00142	1.0000	1.0000
arCOG01601	COG01013	1.0000	1.0000
arCOG00368	COG00419	1.0000	1.0000
arCOG01599	COG01013	1.0000	1.0000
arCOG02734	COG01433	1.0000	1.0000
arCOG01543	COG01143	1.0000	1.0000
arCOG01331	COG00501	1.0000	1.0000
arCOG00557	COG01201	1.0000	1.0000
arCOG01502	COG01142	1.0000	1.0000
arCOG01459	COG01063	1.0000	1.0000
arCOG00689	COG00044	1.0000	1.0000
arCOG02250	COG00619	1.0000	1.0000
arCOG01895	COG01082	1.0000	1.0000
arCOG01688	COG01719	1.0000	1.0000
arCOG02219	COG01487	1.0000	1.0000
arCOG04044	COG01830	1.0000	1.0000
arCOG00202	COG01122	1.0000	1.0000
arCOG01700	COG00010	1.0000	1.0000
arCOG04142	COG01899	1.0000	1.0000
arCOG04429	COG00680	1.0000	1.0000
arCOG00042	COG00037	1.0000	1.0000
arCOG02037	COG01378	1.0000	1.0000
arCOG00322	COG00312	1.0000	1.0000
arCOG01791	COG00500	1.0000	1.0000
arCOG02230	COG00066	1.0000	1.0000
arCOG01008	COG00864	1.0000	1.0000
arCOG00321	COG00312	1.0000	1.0000
arCOG01290	COG01533	1.0000	1.0000
arCOG02062	COG00425	1.0000	1.0000
arCOG01389	COG01215	1.0000	1.0000
arCOG01891	COG00125	1.0000	1.0000
arCOG00915	COG00160	1.0000	1.0000
arCOG02579	COG00727	1.0000	1.0000
arCOG01603	COG01014	1.0000	1.0000
arCOG01943	COG01335	1.0000	1.0000
arCOG00302	COG00613	1.0000	1.0000
arCOG00427	COG00608	1.0000	1.0000
arCOG00118	COG00399	1.0000	1.0000
arCOG01145	COG02129	1.0000	1.0000
arCOG01055	COG03432	1.0000	1.0000
arCOG01764	COG02101	1.0000	1.0000
arCOG01773	COG00500	1.0000	1.0000
arCOG01701	COG01676	1.0000	1.0000
arCOG00912	COG00078	1.0000	1.0000
arCOG01848	COG00110	1.0000	1.0000
arCOG00603	COG00167	1.0000	1.0000
arCOG00324	COG00123	1.0000	1.0000
arCOG01698	COG00065	1.0000	1.0000
arCOG01953	COG00475	1.0000	1.0000
arCOG00249	COG01250	1.0000	1.0000
arCOG00585	COG00489	1.0000	1.0000
arCOG00488	COG00592	1.0000	1.0000
arCOG03045	COG00457	1.0000	1.0000
arCOG01648	COG00596	1.0000	1.0000
arCOG01285	COG01545	1.0000	1.0000
arCOG00899	COG00392	1.0000	1.0000
arCOG01754	COG00111	1.0000	1.0000
arCOG00971	COG00638	1.0000	1.0000
arCOG01347	COG01793	1.0000	1.0000
arCOG02028	COG05012	1.0000	1.0000
arCOG00589	COG00455	1.0000	1.0000
arCOG00348	COG02047	1.0000	1.0000
arCOG04346	COG01759	1.0000	1.0000
arCOG01143	COG00639	1.0000	1.0000
arCOG00143	COG00477	1.0000	1.0000
