model,fn,ece,ece_lo,ece_hi,mce,brier,brier_lo,brier_hi,nll,split
hidden,0.0,0.007998614771946055,0.007776472720506952,0.008222334846929281,0.06895178556442261,0.008428297,0.008274864,0.00860977,0.03316175,1
hidden,0.1,0.013312069013908032,0.013058051809604516,0.013576791879715605,0.056333623826503754,0.021042006,0.020828111,0.021257682,0.08455926,1
hidden,0.25,0.02590792267792299,0.025410447914733413,0.026407912385746052,0.10987918823957443,0.036944088,0.03664384,0.037351493,0.14188579,1
hidden,0.5,0.029970864803672524,0.02946460343573775,0.030497628685871577,0.0701393187046051,0.054062042,0.05364529,0.054567665,0.19454508,1
hidden,0.75,0.03927899710328551,0.038733502628331515,0.039978053946455885,0.08398842066526413,0.06971161,0.0692189,0.070331044,0.24635515,1
hidden,0.9,0.04854168445893781,0.04780753009365481,0.04945397065645169,0.13224059343338013,0.080635116,0.07998926,0.08143,0.2867631,1
nohidden,0.0,0.0075835307862274,0.00741112451197727,0.007763001756456385,0.08007389307022095,0.006503578,0.006419319,0.0065915715,0.027951876,1
nohidden,0.1,0.014132302772731947,0.013886939746327771,0.014378793339017624,0.0737544484436512,0.020851467,0.020661244,0.021042285,0.08813322,1
nohidden,0.25,0.025987006615704883,0.025454479516103665,0.02646799405525453,0.11512310802936554,0.036050543,0.03574474,0.036470886,0.13778646,1
nohidden,0.5,0.024111845694847932,0.02360058963155449,0.02460977763398448,0.04523685574531555,0.048965428,0.04857945,0.04942215,0.17184883,1
nohidden,0.75,0.028009106728914997,0.02753217385080773,0.028588876972279152,0.04265527427196503,0.062090572,0.061686944,0.06262049,0.21248235,1
nohidden,0.9,0.03555088385553756,0.03480744629720996,0.036223288755559815,0.08808574080467224,0.071570426,0.071106754,0.072154574,0.2436252,1
hidden,0.0,0.0066319219250349105,0.006373199162578537,0.006901909992532291,0.07332319021224976,0.00783202,0.007604441,0.008038682,0.031284947,2
hidden,0.1,0.013199571662257114,0.012850943556887545,0.013543758733110783,0.1020016074180603,0.021197716,0.020921953,0.021479148,0.0889334,2
hidden,0.25,0.03053462356704928,0.0296846600117903,0.03135152991362677,0.18013840168714523,0.039060384,0.0385157,0.039578926,0.15589753,2
hidden,0.5,0.029717156161583026,0.029023566083436994,0.030490007489700162,0.08991383016109467,0.054052904,0.053427175,0.054673404,0.19778825,2
