model,fn,ece_mean,ece_std,ece_count,brier_mean,brier_std,brier_count,nll_mean,nll_std,nll_count,mce_mean,mce_std,mce_count
hidden,0.0,0.009122221565923717,0.0020458667431736514,9,0.0078051877,0.0015426404,9,0.03091126,0.0048848265,9,0.08991364969147576,0.01910008245552878,9
hidden,0.1,0.010840363832688455,0.0020069485928379226,9,0.017542144,0.0028169309,9,0.068413556,0.012616316,9,0.043947273658381567,0.0336988610299569,9
hidden,0.25,0.02068173828711722,0.005911086659408586,9,0.03034974,0.0059481915,9,0.11322604,0.025063554,9,0.09089867605103387,0.04479010185239459,9
hidden,0.5,0.022510890529640844,0.00606493358554621,9,0.043858476,0.008530729,9,0.15400474,0.031373993,9,0.08078949484560224,0.03988167959573428,9
hidden,0.75,0.02863999131804594,0.007740646135668259,9,0.05660355,0.0106593,9,0.195088,0.038617667,9,0.1037334692147043,0.036902222006426566,9
hidden,0.9,0.03310940146373392,0.009480097978296999,9,0.06471416,0.012007034,9,0.22441626,0.04435983,9,0.08533286137713327,0.029309282640850042,9
nohidden,0.0,0.008351159426644071,0.0014903567678640824,9,0.0063482807,0.0008147674,9,0.026725657,0.002753277,9,0.08651183193756475,0.01541547496327856,9
nohidden,0.1,0.011211758112088062,0.0020925439369772177,9,0.017104315,0.0028370204,9,0.06913879,0.01408244,9,0.051049481249517865,0.032777476186301134,9
nohidden,0.25,0.02068198328318017,0.005551395325965973,9,0.02979017,0.005812616,9,0.11197492,0.024467457,9,0.08944428049855763,0.04890352908486628,9
nohidden,0.5,0.01872101915192548,0.0039295288554340125,9,0.040835544,0.0070028026,9,0.14265235,0.02498052,9,0.04286967714627584,0.01886721482577989,9
nohidden,0.75,0.021882272017522623,0.004490949469634573,9,0.052101005,0.008501788,9,0.17808264,0.029620944,9,0.05252459479702844,0.015023353100218994,9
nohidden,0.9,0.027496864362591758,0.006453303993878014,9,0.060311273,0.009909909,9,0.20509775,0.034242585,9,0.06653315325578053,0.022742686232202807,9
