model,fn,ece,ece_lo,ece_hi,mce,brier,brier_lo,brier_hi,nll,split
hidden,0.0,0.007814404999308616,0.0076870019771668446,0.007937377809157662,0.06874687597155571,0.0070993956,0.0070264274,0.007169979,0.03205963,1
hidden,0.1,0.02069574935514853,0.020561554982722902,0.02084684766069529,0.16447091102600098,0.026345968,0.026265796,0.026432524,0.115708455,1
hidden,0.25,0.025826957562770307,0.02567844256148879,0.025959173559441988,0.17025041580200195,0.04151141,0.041393887,0.04161627,0.15472174,1
hidden,0.5,0.02846068495993976,0.028308029652787198,0.02862410291573783,0.11316603422164917,0.06044269,0.060303662,0.060567725,0.20862956,1
hidden,0.75,0.03641193740763926,0.03623098649464253,0.03659976143431537,0.12246382236480713,0.07955088,0.07936245,0.0797072,0.26621264,1
hidden,0.9,0.04563620384861837,0.04539214056104788,0.0458446197526196,0.09293559193611145,0.0941773,0.09398106,0.09439896,0.31484106,1
nohidden,0.0,0.0069702803190855025,0.006899602536416373,0.0070345878329513105,0.060396015644073486,0.006464353,0.0064250776,0.0065016453,0.03371564,1
nohidden,0.1,0.021157274160757234,0.021032713828231464,0.021254779144711383,0.09521722793579102,0.027553579,0.027462339,0.02763146,0.14701301,1
nohidden,0.25,0.023553454860579817,0.02340870598432245,0.023676394412773395,0.08573687076568604,0.04045447,0.04035342,0.040552046,0.15496975,1
nohidden,0.5,0.023460736991382194,0.023317273541750064,0.023628217745080966,0.07412785291671753,0.05742163,0.05728974,0.0575461,0.19736783,1
nohidden,0.75,0.02770984996263051,0.02753150053009534,0.027916633257771377,0.08280450105667114,0.07432261,0.07413773,0.0744877,0.24609043,1
nohidden,0.9,0.03571813884925934,0.03548156556066028,0.03594032836994342,0.06981034576892853,0.08743449,0.08723041,0.08765873,0.287161,1
hidden,0.0,0.006750989721033883,0.006654207990536286,0.006860113968557001,0.0803632140159607,0.0066698412,0.0066159144,0.006729448,0.03272644,2
hidden,0.1,0.025016462767998512,0.024891859809477272,0.025136260334471364,0.10130587220191956,0.029563855,0.029476276,0.029649666,0.14344977,2
hidden,0.25,0.030111942765002734,0.029981599680111118,0.03023412813647527,0.19056040048599243,0.04531904,0.045192536,0.045421336,0.17219712,2
hidden,0.5,0.033923052639573806,0.033760018697581065,0.03407919288504715,0.13853293657302856,0.0662226,0.06606701,0.0663691,0.23172505,2
hidden,0.75,0.043971054924968694,0.04378440039979974,0.04417387243017436,0.13350129127502441,0.08749883,0.08727713,0.08769581,0.2963894,2
