category,category_desc,hidden,nohidden,delta
Z,Cytoskeleton,0.05159599748964487,0.04138074750442392,-0.010215249985220949
T,Signal transduction mechanisms,0.043122180126961826,0.036564691579131656,-0.00655748854783017
N,Cell motility,0.0328167857519478,0.02698755009517471,-0.005829235656773086
A,RNA processing and modification,0.04245164078077883,0.036779317300782696,-0.005672323479996133
D,"Cell cycle control, cell division, chromosome partitioning",0.0475401332557506,0.04250310772190145,-0.005037025533849153
I,Lipid transport and metabolism,0.041826462541613804,0.03690769426167183,-0.004918768279941976
U,"Intracellular trafficking, secretion, and vesicular transport",0.030454048281079983,0.02558789177766948,-0.004866156503410504
O,"Posttranslational modification, protein turnover, chaperones",0.04122083797856617,0.037039780032477244,-0.004181057946088924
Q,"Secondary metabolites biosynthesis, transport and catabolism",0.030048258404246082,0.02591712779197618,-0.004131130612269902
P,Inorganic ion transport and metabolism,0.03574747166540135,0.03256727481856396,-0.003180196846837388
L,"Replication, recombination and repair",0.041840691133465294,0.038699188027961906,-0.0031415031055033876
E,Amino acid transport and metabolism,0.03721133411344303,0.034204843779991986,-0.003006490333451045
M,Cell wall/membrane/envelope biogenesis,0.039593147149904535,0.03676382642738466,-0.0028293207225198735
F,Nucleotide transport and metabolism,0.04307746293894717,0.040257369586623945,-0.002820093352323222
R,General function prediction only,0.030131610029847832,0.027464817775272526,-0.0026667922545753064
G,Carbohydrate transport and metabolism,0.03388286943831602,0.031355336723272814,-0.002527532715043204
C,Energy production and conversion,0.033644162170247766,0.03118265811210727,-0.0024615040581404957
K,Transcription,0.032849777481452534,0.030556981356447577,-0.0022927961250049575
H,Coenzyme transport and metabolism,0.03412003831967826,0.03183735732417003,-0.0022826809955082336
B,Chromatin structure and dynamics,0.02769741687391894,0.025897736248881226,-0.001799680625037714
W,Extracellular structures,0.026648480020369947,0.02500705857921994,-0.001641421441150006
S,Function unknown,0.021225931968108326,0.019915133492853863,-0.0013107984752544627
J,"Translation, ribosomal structure and biogenesis",0.03716451305951234,0.03585693023033583,-0.0013075828291765138
V,Defense mechanisms,0.02793164579793079,0.026774084579397995,-0.001157561218532794
X,"Mobilome: prophages, transposons",0.017885831064625893,0.017227407036874785,-0.0006584240277511082
