model,fn,ece_mean,ece_std,ece_count,brier_mean,brier_std,brier_count,nll_mean,nll_std,nll_count,mce_mean,mce_std,mce_count
hidden,0.0,0.011541462868670438,0.010631505792352978,10,0.009831994,0.007064091,10,0.049576037,0.039778218,10,0.11987563483417034,0.12276424044538294,10
hidden,0.1,0.023085132133208067,0.005563370723606288,10,0.0284178,0.0052276324,10,0.13520096,0.027486704,10,0.12293700221925974,0.07741913957994183,10
hidden,0.25,0.02747232245099,0.005711299177044249,10,0.042851612,0.006679476,10,0.16818887,0.03846109,10,0.1524199813604355,0.032073742958805884,10
hidden,0.5,0.03229098754539354,0.008369056971069933,10,0.062950745,0.009983846,10,0.22679953,0.04987665,10,0.123541659116745,0.009663022886535614,10
hidden,0.75,0.04185291703725881,0.01102709385435599,10,0.08277471,0.013023709,10,0.289051,0.062870994,10,0.12280060648918152,0.007682878897920888,10
hidden,0.9,0.05210472622145904,0.013983561006078993,10,0.09778269,0.015178513,10,0.34301713,0.07625692,10,0.10438174530863761,0.024038577540517622,10
nohidden,0.0,0.007712736250371395,0.0018876921576372156,10,0.007197134,0.001688606,10,0.042851154,0.021276224,10,0.07361290454864503,0.013825379218906404,10
nohidden,0.1,0.02258989230243675,0.003448631041940523,10,0.02833272,0.003697488,10,0.15390591,0.027809564,10,0.07705008070915938,0.018317637706103198,10
nohidden,0.25,0.025812378237369177,0.004992767291670052,10,0.04167248,0.0057658516,10,0.16579394,0.033825226,10,0.10722672343254089,0.020791731991537346,10
nohidden,0.5,0.027783064818894088,0.0066014596284457916,10,0.06010794,0.008645129,10,0.21410242,0.04161627,10,0.09304548501968384,0.008838343356276512,10
nohidden,0.75,0.033567247547399294,0.008469880185003676,10,0.07797848,0.011344628,10,0.26761574,0.05123227,10,0.09045867919921875,0.008712009736942276,10
nohidden,0.9,0.04284374788869993,0.009309207245102416,10,0.09148358,0.012247073,10,0.31250697,0.05663282,10,0.08651989996433258,0.012490093904218331,10
