COG_ID	p_c
COG0001	0.601214
COG0002	0.718176
COG0003	0.217027
COG0004	0.649499
COG0005	0.61872
COG0006	0.905948
COG0007	0.53047
COG0008	0.974691
COG0009	0.912281
COG0010	0.514787
COG0011	0.222674
COG0012	0.942022
COG0013	0.965054
COG0014	0.695033
COG0015	0.824385
COG0016	0.94726
COG0017	0.490882
COG0018	0.953538
COG0019	0.812195
COG0020	0.918017
COG0021	0.692524
COG0022	0.526403
COG0023	0.160772
COG0024	0.933777
COG0025	0.405793
COG0026	0.479112
COG0027	0.184191
COG0028	0.774883
COG0029	0.520965
COG0030	0.938806
COG0031	0.84356
COG0033	0.233151
COG0034	0.818561
COG0035	0.575595
COG0036	0.910502
COG0037	0.92835
COG0038	0.454753
COG0039	0.713081
COG0040	0.719646
COG0041	0.782553
COG0042	0.877578
COG0043	0.346411
COG0044	0.803707
COG0045	0.633551
COG0046	0.809763
COG0047	0.428317
COG0048	0.864382
COG0049	0.853407
COG0050	0.848346
COG0051	0.860679
COG0052	0.9356
COG0053	0.74228
COG0054	0.64541
COG0055	0.785405
COG0056	0.783205
COG0057	0.928284
COG0058	0.584923
COG0059	0.685131
COG0060	0.960788
COG0061	0.846422
COG0062	0.695166
COG0063	0.166188
COG0064	0.801253
COG0065	0.717436
COG0066	0.692801
COG0067	0.644205
COG0068	0.243584
COG0069	0.318494
COG0070	0.059901
COG0071	0.727935
COG0072	0.952433
COG0073	0.582016
COG0074	0.61336
COG0075	0.466126
COG0076	0.332574
COG0077	0.764539
COG0078	0.782962
COG0079	0.787836
COG0080	0.880496
COG0081	0.868648
COG0082	0.806658
COG0083	0.333569
COG0084	0.944851
COG0085	0.896797
COG0086	0.893504
COG0087	0.867399
COG0088	0.865509
COG0089	0.859011
COG0090	0.866205
COG0091	0.855231
COG0092	0.862205
COG0093	0.864857
COG0094	0.869709
COG0095	0.329005
COG0096	0.872638
COG0097	0.875931
COG0098	0.887171
COG0099	0.901936
COG0100	0.892763
COG0101	0.867487
COG0102	0.925532
COG0103	0.890862
COG0104	0.827225
COG0105	0.721237
COG0106	0.719989
COG0107	0.724553
COG0108	0.647079
COG0109	0.52091
COG0110	0.690414
COG0111	0.811487
COG0112	0.88212
COG0113	0.601611
COG0114	0.497149
COG0115	0.833834
COG0116	0.470082
COG0117	0.634469
COG0118	0.708704
COG0119	0.796424
COG0120	0.356767
COG0121	0.24995
COG0122	0.586238
COG0123	0.492463
COG0124	0.955848
COG0125	0.880429
COG0126	0.931334
COG0127	0.880927
COG0128	0.80311
COG0129	0.706837
COG0130	0.905186
COG0131	0.705267
COG0132	0.340742
COG0133	0.694039
COG0134	0.648096
COG0135	0.541721
COG0136	0.832364
COG0137	0.755653
COG0138	0.804867
COG0139	0.672742
COG0140	0.368626
COG0141	0.722829
COG0142	0.8839
COG0143	0.591554
COG0144	0.775569
COG0145	0.352258
COG0146	0.204063
COG0147	0.680876
COG0148	0.872262
COG0149	0.915685
COG0150	0.795661
COG0151	0.823202
COG0152	0.798822
COG0153	0.402743
COG0154	0.861144
COG0155	0.42089
COG0156	0.578601
COG0157	0.587697
COG0158	0.211445
COG0159	0.665536
COG0160	0.438872
COG0161	0.525077
COG0162	0.933103
COG0163	0.328618
COG0164	0.908888
COG0165	0.76003
COG0166	0.834884
COG0167	0.859497
COG0168	0.596041
COG0169	0.815123
COG0170	0.109281
COG0171	0.855573
COG0172	0.939402
COG0173	0.884673
COG0174	0.781006
COG0175	0.511019
COG0176	0.632303
COG0177	0.898588
COG0178	0.934882
COG0179	0.591886
COG0180	0.947415
COG0181	0.597865
COG0182	0.408258
COG0183	0.721282
COG0184	0.9356
COG0185	0.856579
COG0186	0.85837
COG0187	0.949979
COG0188	0.949946
COG0189	0.642227
COG0190	0.885248
COG0191	0.684799
COG0192	0.877777
COG0193	0.91091
COG0194	0.846831
COG0195	0.94736
COG0196	0.830032
COG0197	0.860867
COG0198	0.86237
COG0199	0.792799
COG0200	0.890398
COG0201	0.879424
COG0202	0.923421
COG0203	0.886243
COG0204	0.899991
COG0205	0.69889
COG0206	0.913077
COG0207	0.5644
COG0208	0.44474
COG0209	0.739959
COG0210	0.949802
COG0211	0.895968
COG0212	0.69594
COG0213	0.490551
COG0214	0.267302
COG0215	0.952532
COG0216	0.919465
COG0217	0.904965
COG0218	0.639398
COG0219	0.617405
COG0220	0.704527
COG0221	0.538593
COG0222	0.845129
COG0223	0.92173
COG0224	0.774463
COG0225	0.670376
COG0226	0.71349
COG0227	0.844168
COG0228	0.896012
COG0229	0.510334
COG0230	0.596417
COG0231	0.943237
COG0232	0.649908
COG0233	0.913574
COG0234	0.865156
COG0235	0.641995
COG0236	0.867532
COG0237	0.873268
COG0238	0.88695
COG0239	0.527442
COG0240	0.802988
COG0241	0.381623
COG0242	0.91847
COG0243	0.529929
COG0244	0.873522
COG0245	0.755918
COG0246	0.288577
COG0247	0.589189
COG0248	0.630225
COG0249	0.722774
COG0250	0.898886
COG0251	0.784797
COG0252	0.455759
COG0253	0.725901
COG0254	0.883038
COG0255	0.780586
COG0256	0.875434
COG0257	0.577872
COG0258	0.838277
