model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
bacFT	1	0.5	0.3	4480551	39150	4220632	1096
bacFT	1	0.5	0.4	4480551	39150	4147979	1447
bacFT	1	0.5	0.5	4480551	39150	4070368	1861
bacFT	1	0.5	0.6	4480551	39150	3981977	2424
bacFT	1	0.5	0.7	4480551	39150	3871263	3163
bacFT	1	0.5	0.8	4480551	39150	3712353	4167
bacFT	1	0.9	0.3	4480551	40296	3928394	1874
bacFT	1	0.9	0.4	4480551	40296	3770535	2337
bacFT	1	0.9	0.5	4480551	40296	3607372	2930
bacFT	1	0.9	0.6	4480551	40296	3425853	3616
bacFT	1	0.9	0.7	4480551	40296	3205558	4594
bacFT	1	0.9	0.8	4480551	40296	2902293	5942
bacFT	2	0.5	0.3	3706635	32282	3234411	1688
bacFT	2	0.5	0.4	3706635	32282	3143875	2228
bacFT	2	0.5	0.5	3706635	32282	3051909	2814
bacFT	2	0.5	0.6	3706635	32282	2952125	3420
bacFT	2	0.5	0.7	3706635	32282	2833685	4244
bacFT	2	0.5	0.8	3706635	32282	2674956	5356
bacFT	2	0.9	0.3	3706635	32483	2801413	2034
bacFT	2	0.9	0.4	3706635	32483	2619154	2523
bacFT	2	0.9	0.5	3706635	32483	2439335	3030
bacFT	2	0.9	0.6	3706635	32483	2248173	3699
bacFT	2	0.9	0.7	3706635	32483	2023937	4582
bacFT	2	0.9	0.8	3706635	32483	1724108	5815
bacFT	3	0.5	0.3	3410447	30916	2941227	1611
bacFT	3	0.5	0.4	3410447	30916	2855549	2065
bacFT	3	0.5	0.5	3410447	30916	2770110	2605
bacFT	3	0.5	0.6	3410447	30916	2676423	3215
bacFT	3	0.5	0.7	3410447	30916	2566131	4023
bacFT	3	0.5	0.8	3410447	30916	2419531	5236
bacFT	3	0.9	0.3	3410447	31841	2527699	1911
bacFT	3	0.9	0.4	3410447	31841	2363856	2419
bacFT	3	0.9	0.5	3410447	31841	2204710	2994
bacFT	3	0.9	0.6	3410447	31841	2035565	3649
bacFT	3	0.9	0.7	3410447	31841	1838899	4530
bacFT	3	0.9	0.8	3410447	31841	1575910	5737
bacFT	4	0.5	0.3	3288201	32537	2843768	1698
bacFT	4	0.5	0.4	3288201	32537	2760706	2244
bacFT	4	0.5	0.5	3288201	32537	2676514	2835
bacFT	4	0.5	0.6	3288201	32537	2584304	3536
bacFT	4	0.5	0.7	3288201	32537	2474467	4447
bacFT	4	0.5	0.8	3288201	32537	2327201	5856
bacFT	4	0.9	0.3	3288201	33760	2461556	2053
bacFT	4	0.9	0.4	3288201	33760	2304748	2584
bacFT	4	0.9	0.5	3288201	33760	2151683	3137
bacFT	4	0.9	0.6	3288201	33760	1988434	3876
bacFT	4	0.9	0.7	3288201	33760	1795652	4844
bacFT	4	0.9	0.8	3288201	33760	1535159	6228
bacFT	5	0.5	0.3	4580858	39651	3873738	1198
bacFT	5	0.5	0.4	4580858	39651	3773281	1524
bacFT	5	0.5	0.5	4580858	39651	3672537	1895
bacFT	5	0.5	0.6	4580858	39651	3563452	2326
bacFT	5	0.5	0.7	4580858	39651	3434826	2877
bacFT	5	0.5	0.8	4580858	39651	3259101	3663
bacFT	5	0.9	0.3	4580858	41039	3240367	2275
bacFT	5	0.9	0.4	4580858	41039	3044422	2789
bacFT	5	0.9	0.5	4580858	41039	2857069	3320
bacFT	5	0.9	0.6	4580858	41039	2659270	3940
bacFT	5	0.9	0.7	4580858	41039	2427467	4686
bacFT	5	0.9	0.8	4580858	41039	2113363	5883
bacFT	6	0.5	0.3	3264258	33218	2831881	1567
bacFT	6	0.5	0.4	3264258	33218	2750171	2014
bacFT	6	0.5	0.5	3264258	33218	2666941	2512
bacFT	6	0.5	0.6	3264258	33218	2576754	3131
bacFT	6	0.5	0.7	3264258	33218	2468490	3908
bacFT	6	0.5	0.8	3264258	33218	2322637	5092
bacFT	6	0.9	0.3	3264258	34304	2444021	1922
bacFT	6	0.9	0.4	3264258	34304	2287987	2506
bacFT	6	0.9	0.5	3264258	34304	2134460	3103
bacFT	6	0.9	0.6	3264258	34304	1970540	3826
bacFT	6	0.9	0.7	3264258	34304	1779054	4762
bacFT	6	0.9	0.8	3264258	34304	1521617	6235
bacFT	7	0.5	0.3	3545132	36890	3092240	1117
bacFT	7	0.5	0.4	3545132	36890	2999245	1428
bacFT	7	0.5	0.5	3545132	36890	2905426	1765
bacFT	7	0.5	0.6	3545132	36890	2802838	2146
bacFT	7	0.5	0.7	3545132	36890	2681548	2640
bacFT	7	0.5	0.8	3545132	36890	2520907	3369
bacFT	7	0.9	0.3	3545132	37711	2678150	1352
bacFT	7	0.9	0.4	3545132	37711	2500366	1713
bacFT	7	0.9	0.5	3545132	37711	2325940	2113
bacFT	7	0.9	0.6	3545132	37711	2140197	2598
bacFT	7	0.9	0.7	3545132	37711	1922643	3211
bacFT	7	0.9	0.8	3545132	37711	1631900	4077
bacFT	8	0.5	0.3	3330161	33306	2899485	1359
bacFT	8	0.5	0.4	3330161	33306	2814338	1765
bacFT	8	0.5	0.5	3330161	33306	2727467	2152
bacFT	8	0.5	0.6	3330161	33306	2632990	2638
bacFT	8	0.5	0.7	3330161	33306	2520073	3241
bacFT	8	0.5	0.8	3330161	33306	2365692	4089
bacFT	8	0.9	0.3	3330161	34872	2576204	1622
bacFT	8	0.9	0.4	3330161	34872	2415669	2002
bacFT	8	0.9	0.5	3330161	34872	2258145	2427
bacFT	8	0.9	0.6	3330161	34872	2090558	2950
bacFT	8	0.9	0.7	3330161	34872	1895420	3657
bacFT	8	0.9	0.8	3330161	34872	1634203	4700
bacFT	9	0.5	0.3	3173304	33309	2826651	1095
bacFT	9	0.5	0.4	3173304	33309	2742673	1540
bacFT	9	0.5	0.5	3173304	33309	2657128	2128
bacFT	9	0.5	0.6	3173304	33309	2563133	2933
bacFT	9	0.5	0.7	3173304	33309	2449403	4142
bacFT	9	0.5	0.8	3173304	33309	2293512	6009
bacFT	9	0.9	0.3	3173304	34353	2561086	1792
bacFT	9	0.9	0.4	3173304	34353	2389590	2355
bacFT	9	0.9	0.5	3173304	34353	2220217	3020
bacFT	9	0.9	0.6	3173304	34353	2037217	3880
bacFT	9	0.9	0.7	3173304	34353	1823161	5015
bacFT	9	0.9	0.8	3173304	34353	1532675	6774
bacFT	10	0.5	0.3	3640235	32779	3155835	1576
bacFT	10	0.5	0.4	3640235	32779	3064276	2078
bacFT	10	0.5	0.5	3640235	32779	2971842	2650
bacFT	10	0.5	0.6	3640235	32779	2870782	3238
bacFT	10	0.5	0.7	3640235	32779	2752023	3984
bacFT	10	0.5	0.8	3640235	32779	2593498	5124
bacFT	10	0.9	0.3	3640235	33508	2733426	2036
bacFT	10	0.9	0.4	3640235	33508	2557344	2569
bacFT	10	0.9	0.5	3640235	33508	2384893	3095
bacFT	10	0.9	0.6	3640235	33508	2202113	3760
bacFT	10	0.9	0.7	3640235	33508	1988454	4554
bacFT	10	0.9	0.8	3640235	33508	1702288	5799
