model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
bacFTfp-marginalcons	1	0.9	0.3	4480551	40296	3977858	4215
bacFTfp-marginalcons	1	0.9	0.4	4480551	40296	3832058	5238
bacFTfp-marginalcons	1	0.9	0.5	4480551	40296	3681904	6369
bacFTfp-marginalcons	1	0.9	0.6	4480551	40296	3517233	7652
bacFTfp-marginalcons	1	0.9	0.7	4480551	40296	3321019	9289
bacFTfp-marginalcons	1	0.9	0.8	4480551	40296	3057755	11581
bacFTfp-marginalcons	2	0.9	0.3	3706635	32483	2864229	3870
bacFTfp-marginalcons	2	0.9	0.4	3706635	32483	2684943	4937
bacFTfp-marginalcons	2	0.9	0.5	3706635	32483	2511378	6105
bacFTfp-marginalcons	2	0.9	0.6	3706635	32483	2328229	7421
bacFTfp-marginalcons	2	0.9	0.7	3706635	32483	2120737	9017
bacFTfp-marginalcons	2	0.9	0.8	3706635	32483	1859781	11241
bacFTfp-marginalcons	3	0.9	0.3	3410447	31841	2607335	3751
bacFTfp-marginalcons	3	0.9	0.4	3410447	31841	2450648	4815
bacFTfp-marginalcons	3	0.9	0.5	3410447	31841	2298022	5901
bacFTfp-marginalcons	3	0.9	0.6	3410447	31841	2139923	7111
bacFTfp-marginalcons	3	0.9	0.7	3410447	31841	1963688	8644
bacFTfp-marginalcons	3	0.9	0.8	3410447	31841	1745052	10740
bacFTfp-marginalcons	4	0.9	0.3	3288201	33760	2548889	4645
bacFTfp-marginalcons	4	0.9	0.4	3288201	33760	2400285	5808
bacFTfp-marginalcons	4	0.9	0.5	3288201	33760	2256240	7184
bacFTfp-marginalcons	4	0.9	0.6	3288201	33760	2106370	8696
bacFTfp-marginalcons	4	0.9	0.7	3288201	33760	1937525	10442
bacFTfp-marginalcons	4	0.9	0.8	3288201	33760	1723847	12826
bacFTfp-marginalcons	5	0.9	0.3	4580858	41039	3301433	4246
bacFTfp-marginalcons	5	0.9	0.4	4580858	41039	3113467	5093
bacFTfp-marginalcons	5	0.9	0.5	4580858	41039	2936540	6007
bacFTfp-marginalcons	5	0.9	0.6	4580858	41039	2756177	7114
bacFTfp-marginalcons	5	0.9	0.7	4580858	41039	2553939	8438
bacFTfp-marginalcons	5	0.9	0.8	4580858	41039	2298733	10302
bacFTfp-marginalcons	6	0.9	0.3	3264258	34304	2534678	3812
bacFTfp-marginalcons	6	0.9	0.4	3264258	34304	2387707	4856
bacFTfp-marginalcons	6	0.9	0.5	3264258	34304	2244133	6020
bacFTfp-marginalcons	6	0.9	0.6	3264258	34304	2093301	7303
bacFTfp-marginalcons	6	0.9	0.7	3264258	34304	1924086	9042
bacFTfp-marginalcons	6	0.9	0.8	3264258	34304	1711557	11338
bacFTfp-marginalcons	7	0.9	0.3	3545132	37711	2802669	2998
bacFTfp-marginalcons	7	0.9	0.4	3545132	37711	2636391	3766
bacFTfp-marginalcons	7	0.9	0.5	3545132	37711	2474648	4699
bacFTfp-marginalcons	7	0.9	0.6	3545132	37711	2304308	5880
bacFTfp-marginalcons	7	0.9	0.7	3545132	37711	2111358	7478
bacFTfp-marginalcons	7	0.9	0.8	3545132	37711	1864971	9760
bacFTfp-marginalcons	8	0.9	0.3	3330161	34872	2673160	3587
bacFTfp-marginalcons	8	0.9	0.4	3330161	34872	2520981	4433
bacFTfp-marginalcons	8	0.9	0.5	3330161	34872	2372014	5435
bacFTfp-marginalcons	8	0.9	0.6	3330161	34872	2216675	6608
bacFTfp-marginalcons	8	0.9	0.7	3330161	34872	2040030	8092
bacFTfp-marginalcons	8	0.9	0.8	3330161	34872	1816424	10092
bacFTfp-marginalcons	9	0.9	0.3	3173304	34353	2606831	3376
bacFTfp-marginalcons	9	0.9	0.4	3173304	34353	2458425	4425
bacFTfp-marginalcons	9	0.9	0.5	3173304	34353	2310137	5611
bacFTfp-marginalcons	9	0.9	0.6	3173304	34353	2153751	6880
bacFTfp-marginalcons	9	0.9	0.7	3173304	34353	1975485	8540
bacFTfp-marginalcons	9	0.9	0.8	3173304	34353	1750646	10906
bacFTfp-marginalcons	10	0.9	0.3	3640235	33508	2836194	4314
bacFTfp-marginalcons	10	0.9	0.4	3640235	33508	2669447	5290
bacFTfp-marginalcons	10	0.9	0.5	3640235	33508	2507390	6366
bacFTfp-marginalcons	10	0.9	0.6	3640235	33508	2337623	7632
bacFTfp-marginalcons	10	0.9	0.7	3640235	33508	2147219	9140
bacFTfp-marginalcons	10	0.9	0.8	3640235	33508	1907170	11175
