model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
bacFTfp-marginalhq	1	0.5	0.3	4480551	39150	4286960	4331
bacFTfp-marginalhq	1	0.5	0.4	4480551	39150	4223087	5599
bacFTfp-marginalhq	1	0.5	0.5	4480551	39150	4152675	7081
bacFTfp-marginalhq	1	0.5	0.6	4480551	39150	4070546	8627
bacFTfp-marginalhq	1	0.5	0.7	4480551	39150	3966098	10427
bacFTfp-marginalhq	1	0.5	0.8	4480551	39150	3814677	12841
bacFTfp-marginalhq	1	0.9	0.3	4480551	40296	4040241	2893
bacFTfp-marginalhq	1	0.9	0.4	4480551	40296	3904156	3718
bacFTfp-marginalhq	1	0.9	0.5	4480551	40296	3762362	4646
bacFTfp-marginalhq	1	0.9	0.6	4480551	40296	3605051	5750
bacFTfp-marginalhq	1	0.9	0.7	4480551	40296	3416585	7139
bacFTfp-marginalhq	1	0.9	0.8	4480551	40296	3160099	9107
bacFTfp-marginalhq	10	0.5	0.3	3640235	32779	3161418	4904
bacFTfp-marginalhq	10	0.5	0.4	3640235	32779	3060882	6266
bacFTfp-marginalhq	10	0.5	0.5	3640235	32779	2959033	7635
bacFTfp-marginalhq	10	0.5	0.6	3640235	32779	2847586	9085
bacFTfp-marginalhq	10	0.5	0.7	3640235	32779	2715745	10645
bacFTfp-marginalhq	10	0.5	0.8	3640235	32779	2539414	12768
bacFTfp-marginalhq	10	0.9	0.3	3640235	33508	2824628	3277
bacFTfp-marginalhq	10	0.9	0.4	3640235	33508	2659012	4140
bacFTfp-marginalhq	10	0.9	0.5	3640235	33508	2498056	5016
bacFTfp-marginalhq	10	0.9	0.6	3640235	33508	2328847	6062
bacFTfp-marginalhq	10	0.9	0.7	3640235	33508	2138857	7418
bacFTfp-marginalhq	10	0.9	0.8	3640235	33508	1897842	9415
bacFTfp-marginalhq	2	0.5	0.3	3706635	32282	3241463	4371
bacFTfp-marginalhq	2	0.5	0.4	3706635	32282	3143857	5572
bacFTfp-marginalhq	2	0.5	0.5	3706635	32282	3043568	6841
bacFTfp-marginalhq	2	0.5	0.6	3706635	32282	2933464	8192
bacFTfp-marginalhq	2	0.5	0.7	3706635	32282	2802744	9788
bacFTfp-marginalhq	2	0.5	0.8	3706635	32282	2628005	11873
bacFTfp-marginalhq	2	0.9	0.3	3706635	32483	2872315	2945
bacFTfp-marginalhq	2	0.9	0.4	3706635	32483	2696231	3741
bacFTfp-marginalhq	2	0.9	0.5	3706635	32483	2523942	4685
bacFTfp-marginalhq	2	0.9	0.6	3706635	32483	2343479	5863
bacFTfp-marginalhq	2	0.9	0.7	3706635	32483	2138110	7303
bacFTfp-marginalhq	2	0.9	0.8	3706635	32483	1881184	9384
bacFTfp-marginalhq	3	0.5	0.3	3410447	30916	2935059	3831
bacFTfp-marginalhq	3	0.5	0.4	3410447	30916	2839762	5019
bacFTfp-marginalhq	3	0.5	0.5	3410447	30916	2743307	6260
bacFTfp-marginalhq	3	0.5	0.6	3410447	30916	2638184	7702
bacFTfp-marginalhq	3	0.5	0.7	3410447	30916	2514105	9335
bacFTfp-marginalhq	3	0.5	0.8	3410447	30916	2350475	11480
bacFTfp-marginalhq	3	0.9	0.3	3410447	31841	2577618	2981
bacFTfp-marginalhq	3	0.9	0.4	3410447	31841	2419084	3784
