model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
bacFTfp-real	1	0.5	0.3	4480551	39150	4231807	1717
bacFTfp-real	1	0.5	0.4	4480551	39150	4160541	2249
bacFTfp-real	1	0.5	0.5	4480551	39150	4084451	2903
bacFTfp-real	1	0.5	0.6	4480551	39150	3996946	3715
bacFTfp-real	1	0.5	0.7	4480551	39150	3886137	4762
bacFTfp-real	1	0.5	0.8	4480551	39150	3725865	6350
bacFTfp-real	1	0.9	0.3	4480551	40296	3935798	2488
bacFTfp-real	1	0.9	0.4	4480551	40296	3776007	3180
bacFTfp-real	1	0.9	0.5	4480551	40296	3610208	4078
bacFTfp-real	1	0.9	0.6	4480551	40296	3427771	5108
bacFTfp-real	1	0.9	0.7	4480551	40296	3203584	6407
bacFTfp-real	1	0.9	0.8	4480551	40296	2892665	8299
bacFTfp-real	2	0.5	0.3	3706635	32282	3224768	2538
bacFTfp-real	2	0.5	0.4	3706635	32282	3129140	3135
bacFTfp-real	2	0.5	0.5	3706635	32282	3030990	3864
bacFTfp-real	2	0.5	0.6	3706635	32282	2923805	4725
bacFTfp-real	2	0.5	0.7	3706635	32282	2796065	5782
bacFTfp-real	2	0.5	0.8	3706635	32282	2623522	7170
bacFTfp-real	2	0.9	0.3	3706635	32483	2799717	2763
bacFTfp-real	2	0.9	0.4	3706635	32483	2608367	3412
bacFTfp-real	2	0.9	0.5	3706635	32483	2419441	4205
bacFTfp-real	2	0.9	0.6	3706635	32483	2219462	5168
bacFTfp-real	2	0.9	0.7	3706635	32483	1985205	6432
bacFTfp-real	2	0.9	0.8	3706635	32483	1671574	8235
bacFTfp-real	3	0.5	0.3	3410447	30916	2927650	2316
bacFTfp-real	3	0.5	0.4	3410447	30916	2837169	3014
bacFTfp-real	3	0.5	0.5	3410447	30916	2745716	3735
bacFTfp-real	3	0.5	0.6	3410447	30916	2646258	4640
bacFTfp-real	3	0.5	0.7	3410447	30916	2528535	5813
bacFTfp-real	3	0.5	0.8	3410447	30916	2369725	7409
bacFTfp-real	3	0.9	0.3	3410447	31841	2522817	2732
bacFTfp-real	3	0.9	0.4	3410447	31841	2350267	3452
bacFTfp-real	3	0.9	0.5	3410447	31841	2183332	4270
bacFTfp-real	3	0.9	0.6	3410447	31841	2008550	5232
bacFTfp-real	3	0.9	0.7	3410447	31841	1803803	6531
bacFTfp-real	3	0.9	0.8	3410447	31841	1529326	8491
bacFTfp-real	4	0.5	0.3	3288201	32537	2834046	2616
bacFTfp-real	4	0.5	0.4	3288201	32537	2746228	3374
bacFTfp-real	4	0.5	0.5	3288201	32537	2657644	4272
bacFTfp-real	4	0.5	0.6	3288201	32537	2560133	5349
bacFTfp-real	4	0.5	0.7	3288201	32537	2443256	6691
bacFTfp-real	4	0.5	0.8	3288201	32537	2284737	8622
bacFTfp-real	4	0.9	0.3	3288201	33760	2501107	2801
bacFTfp-real	4	0.9	0.4	3288201	33760	2341786	3568
bacFTfp-real	4	0.9	0.5	3288201	33760	2185059	4494
bacFTfp-real	4	0.9	0.6	3288201	33760	2018791	5583
bacFTfp-real	4	0.9	0.7	3288201	33760	1820697	7029
bacFTfp-real	4	0.9	0.8	3288201	33760	1549545	9079
bacFTfp-real	5	0.5	0.3	4580858	39651	3835181	1797
bacFTfp-real	5	0.5	0.4	4580858	39651	3725891	2282
bacFTfp-real	5	0.5	0.5	4580858	39651	3617520	2824
bacFTfp-real	5	0.5	0.6	4580858	39651	3499269	3516
bacFTfp-real	5	0.5	0.7	4580858	39651	3359239	4390
bacFTfp-real	5	0.5	0.8	4580858	39651	3168660	5688
bacFTfp-real	5	0.9	0.3	4580858	41039	3205748	3118
bacFTfp-real	5	0.9	0.4	4580858	41039	3002458	3820
bacFTfp-real	5	0.9	0.5	4580858	41039	2808115	4630
bacFTfp-real	5	0.9	0.6	4580858	41039	2604189	5572
bacFTfp-real	5	0.9	0.7	4580858	41039	2364547	6788
bacFTfp-real	5	0.9	0.8	4580858	41039	2036502	8667
