model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
bacFTfp-realhq	10	0.5	0.3	3640235	32779	3171219	2666
bacFTfp-realhq	10	0.5	0.4	3640235	32779	3080821	3342
bacFTfp-realhq	10	0.5	0.5	3640235	32779	2989570	4161
bacFTfp-realhq	10	0.5	0.6	3640235	32779	2890645	5068
bacFTfp-realhq	10	0.5	0.7	3640235	32779	2774134	6213
bacFTfp-realhq	10	0.5	0.8	3640235	32779	2620269	7724
bacFTfp-realhq	10	0.9	0.3	3640235	33508	2789564	2965
bacFTfp-realhq	10	0.9	0.4	3640235	33508	2622558	3737
bacFTfp-realhq	10	0.9	0.5	3640235	33508	2461392	4490
bacFTfp-realhq	10	0.9	0.6	3640235	33508	2294853	5422
bacFTfp-realhq	10	0.9	0.7	3640235	33508	2107448	6607
bacFTfp-realhq	10	0.9	0.8	3640235	33508	1869465	8203
bacFTfp-realhq	1	0.5	0.3	4480551	39150	4248458	1747
bacFTfp-realhq	1	0.5	0.4	4480551	39150	4181789	2337
bacFTfp-realhq	1	0.5	0.5	4480551	39150	4110930	2999
bacFTfp-realhq	1	0.5	0.6	4480551	39150	4030430	3804
bacFTfp-realhq	1	0.5	0.7	4480551	39150	3929821	4781
bacFTfp-realhq	1	0.5	0.8	4480551	39150	3786522	6356
bacFTfp-realhq	1	0.9	0.3	4480551	40296	3973591	2396
bacFTfp-realhq	1	0.9	0.4	4480551	40296	3824244	3071
bacFTfp-realhq	1	0.9	0.5	4480551	40296	3670823	3838
bacFTfp-realhq	1	0.9	0.6	4480551	40296	3503878	4782
bacFTfp-realhq	1	0.9	0.7	4480551	40296	3305724	5991
bacFTfp-realhq	1	0.9	0.8	4480551	40296	3039218	7673
bacFTfp-realhq	2	0.5	0.3	3706635	32282	3247094	2823
bacFTfp-realhq	2	0.5	0.4	3706635	32282	3157473	3513
bacFTfp-realhq	2	0.5	0.5	3706635	32282	3066845	4284
bacFTfp-realhq	2	0.5	0.6	3706635	32282	2967881	5140
bacFTfp-realhq	2	0.5	0.7	3706635	32282	2851854	6174
bacFTfp-realhq	2	0.5	0.8	3706635	32282	2698620	7493
bacFTfp-realhq	2	0.9	0.3	3706635	32483	2853075	2836
bacFTfp-realhq	2	0.9	0.4	3706635	32483	2679093	3494
bacFTfp-realhq	2	0.9	0.5	3706635	32483	2511298	4199
bacFTfp-realhq	2	0.9	0.6	3706635	32483	2335975	5084
bacFTfp-realhq	2	0.9	0.7	3706635	32483	2137032	6189
bacFTfp-realhq	2	0.9	0.8	3706635	32483	1883084	7872
bacFTfp-realhq	3	0.5	0.3	3410447	30916	2949938	2589
bacFTfp-realhq	3	0.5	0.4	3410447	30916	2864470	3290
bacFTfp-realhq	3	0.5	0.5	3410447	30916	2778703	4084
bacFTfp-realhq	3	0.5	0.6	3410447	30916	2687370	4971
bacFTfp-realhq	3	0.5	0.7	3410447	30916	2579923	6146
bacFTfp-realhq	3	0.5	0.8	3410447	30916	2438779	7722
bacFTfp-realhq	3	0.9	0.3	3410447	31841	2561965	2956
bacFTfp-realhq	3	0.9	0.4	3410447	31841	2403250	3642
bacFTfp-realhq	3	0.9	0.5	3410447	31841	2251491	4407
bacFTfp-realhq	3	0.9	0.6	3410447	31841	2096916	5348
bacFTfp-realhq	3	0.9	0.7	3410447	31841	1922519	6619
bacFTfp-realhq	3	0.9	0.8	3410447	31841	1702261	8410
bacFTfp-realhq	4	0.5	0.3	3288201	32537	2856411	2941
bacFTfp-realhq	4	0.5	0.4	3288201	32537	2774347	3782
bacFTfp-realhq	4	0.5	0.5	3288201	32537	2691957	4715
bacFTfp-realhq	4	0.5	0.6	3288201	32537	2603094	5811
bacFTfp-realhq	4	0.5	0.7	3288201	32537	2498123	7127
bacFTfp-realhq	4	0.5	0.8	3288201	32537	2358429	8978
bacFTfp-realhq	4	0.9	0.3	3288201	33760	2515322	3028
bacFTfp-realhq	4	0.9	0.4	3288201	33760	2366950	3829
bacFTfp-realhq	4	0.9	0.5	3288201	33760	2224441	4752
bacFTfp-realhq	4	0.9	0.6	3288201	33760	2077762	5859
bacFTfp-realhq	4	0.9	0.7	3288201	33760	1911452	7242
bacFTfp-realhq	4	0.9	0.8	3288201	33760	1697531	9178
bacFTfp-realhq	5	0.5	0.3	4580858	39651	3861966	1855
bacFTfp-realhq	5	0.5	0.4	4580858	39651	3757066	2364
bacFTfp-realhq	5	0.5	0.5	4580858	39651	3653381	2921
bacFTfp-realhq	5	0.5	0.6	4580858	39651	3541467	3595
bacFTfp-realhq	5	0.5	0.7	4580858	39651	3410876	4454
bacFTfp-realhq	5	0.5	0.8	4580858	39651	3238517	5741
bacFTfp-realhq	5	0.9	0.3	4580858	41039	3260558	3025
bacFTfp-realhq	5	0.9	0.4	4580858	41039	3073196	3753
bacFTfp-realhq	5	0.9	0.5	4580858	41039	2897474	4489
bacFTfp-realhq	5	0.9	0.6	4580858	41039	2717887	5410
bacFTfp-realhq	5	0.9	0.7	4580858	41039	2515503	6560
bacFTfp-realhq	5	0.9	0.8	4580858	41039	2254447	8248
bacFTfp-realhq	6	0.5	0.3	3264258	33218	2841166	2704
bacFTfp-realhq	6	0.5	0.4	3264258	33218	2760165	3460
bacFTfp-realhq	6	0.5	0.5	3264258	33218	2679060	4297
bacFTfp-realhq	6	0.5	0.6	3264258	33218	2591300	5271
bacFTfp-realhq	6	0.5	0.7	3264258	33218	2487704	6567
bacFTfp-realhq	6	0.5	0.8	3264258	33218	2350304	8244
bacFTfp-realhq	6	0.9	0.3	3264258	34304	2490715	3009
bacFTfp-realhq	6	0.9	0.4	3264258	34304	2341898	3842
bacFTfp-realhq	6	0.9	0.5	3264258	34304	2198078	4782
bacFTfp-realhq	6	0.9	0.6	3264258	34304	2048618	5869
bacFTfp-realhq	6	0.9	0.7	3264258	34304	1879583	7313
bacFTfp-realhq	6	0.9	0.8	3264258	34304	1664908	9376
bacFTfp-realhq	7	0.5	0.3	3545132	36890	3094747	1843
bacFTfp-realhq	7	0.5	0.4	3545132	36890	3002007	2358
bacFTfp-realhq	7	0.5	0.5	3545132	36890	2909042	2917
bacFTfp-realhq	7	0.5	0.6	3545132	36890	2808143	3609
bacFTfp-realhq	7	0.5	0.7	3545132	36890	2690385	4479
bacFTfp-realhq	7	0.5	0.8	3545132	36890	2534357	5641
bacFTfp-realhq	7	0.9	0.3	3545132	37711	2723988	2122
bacFTfp-realhq	7	0.9	0.4	3545132	37711	2553250	2666
bacFTfp-realhq	7	0.9	0.5	3545132	37711	2389201	3276
bacFTfp-realhq	7	0.9	0.6	3545132	37711	2218960	3974
bacFTfp-realhq	7	0.9	0.7	3545132	37711	2026836	4880
bacFTfp-realhq	7	0.9	0.8	3545132	37711	1781121	6348
bacFTfp-realhq	8	0.5	0.3	3330161	33306	2919829	2336
bacFTfp-realhq	8	0.5	0.4	3330161	33306	2836005	2831
bacFTfp-realhq	8	0.5	0.5	3330161	33306	2751581	3416
bacFTfp-realhq	8	0.5	0.6	3330161	33306	2660357	4057
bacFTfp-realhq	8	0.5	0.7	3330161	33306	2553329	4926
bacFTfp-realhq	8	0.5	0.8	3330161	33306	2410567	6224
bacFTfp-realhq	8	0.9	0.3	3330161	34872	2610400	2572
bacFTfp-realhq	8	0.9	0.4	3330161	34872	2456845	3172
bacFTfp-realhq	8	0.9	0.5	3330161	34872	2308832	3828
bacFTfp-realhq	8	0.9	0.6	3330161	34872	2156421	4623
bacFTfp-realhq	8	0.9	0.7	3330161	34872	1983552	5636
bacFTfp-realhq	8	0.9	0.8	3330161	34872	1763767	7207
bacFTfp-realhq	9	0.5	0.3	3173304	33309	2880544	1669
bacFTfp-realhq	9	0.5	0.4	3173304	33309	2799040	2445
bacFTfp-realhq	9	0.5	0.5	3173304	33309	2716053	3464
bacFTfp-realhq	9	0.5	0.6	3173304	33309	2625893	4674
bacFTfp-realhq	9	0.5	0.7	3173304	33309	2518098	6289
bacFTfp-realhq	9	0.5	0.8	3173304	33309	2375508	8490
bacFTfp-realhq	9	0.9	0.3	3173304	34353	2596791	2528
bacFTfp-realhq	9	0.9	0.4	3173304	34353	2429709	3333
bacFTfp-realhq	9	0.9	0.5	3173304	34353	2265745	4307
bacFTfp-realhq	9	0.9	0.6	3173304	34353	2094761	5438
bacFTfp-realhq	9	0.9	0.7	3173304	34353	1901582	6901
bacFTfp-realhq	9	0.9	0.8	3173304	34353	1659625	9111
