model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
bacFTfp-unif	1	0.5	0.3	4480551	39150	4230816	1356
bacFTfp-unif	1	0.5	0.4	4480551	39150	4160053	1821
bacFTfp-unif	1	0.5	0.5	4480551	39150	4084362	2311
bacFTfp-unif	1	0.5	0.6	4480551	39150	3997098	2971
bacFTfp-unif	1	0.5	0.7	4480551	39150	3887404	3816
bacFTfp-unif	1	0.5	0.8	4480551	39150	3727914	5002
bacFTfp-unif	1	0.9	0.3	4480551	40296	4010099	2036
bacFTfp-unif	1	0.9	0.4	4480551	40296	3864214	2552
bacFTfp-unif	1	0.9	0.5	4480551	40296	3711937	3165
bacFTfp-unif	1	0.9	0.6	4480551	40296	3541226	3932
bacFTfp-unif	1	0.9	0.7	4480551	40296	3332337	4917
bacFTfp-unif	1	0.9	0.8	4480551	40296	3038113	6403
bacFTfp-unif	2	0.5	0.3	3706635	32282	3245020	1937
bacFTfp-unif	2	0.5	0.4	3706635	32282	3151535	2525
bacFTfp-unif	2	0.5	0.5	3706635	32282	3056242	3111
bacFTfp-unif	2	0.5	0.6	3706635	32282	2951785	3773
bacFTfp-unif	2	0.5	0.7	3706635	32282	2826830	4654
bacFTfp-unif	2	0.5	0.8	3706635	32282	2659075	5797
bacFTfp-unif	2	0.9	0.3	3706635	32483	2857911	2192
bacFTfp-unif	2	0.9	0.4	3706635	32483	2671928	2728
bacFTfp-unif	2	0.9	0.5	3706635	32483	2487543	3252
bacFTfp-unif	2	0.9	0.6	3706635	32483	2290565	3928
bacFTfp-unif	2	0.9	0.7	3706635	32483	2059074	4805
bacFTfp-unif	2	0.9	0.8	3706635	32483	1747961	6176
bacFTfp-unif	3	0.5	0.3	3410447	30916	2948789	1842
bacFTfp-unif	3	0.5	0.4	3410447	30916	2859829	2361
bacFTfp-unif	3	0.5	0.5	3410447	30916	2770829	2954
bacFTfp-unif	3	0.5	0.6	3410447	30916	2673268	3634
bacFTfp-unif	3	0.5	0.7	3410447	30916	2557885	4523
bacFTfp-unif	3	0.5	0.8	3410447	30916	2403442	5809
bacFTfp-unif	3	0.9	0.3	3410447	31841	2565314	2181
bacFTfp-unif	3	0.9	0.4	3410447	31841	2395928	2749
bacFTfp-unif	3	0.9	0.5	3410447	31841	2230239	3362
bacFTfp-unif	3	0.9	0.6	3410447	31841	2055731	4113
bacFTfp-unif	3	0.9	0.7	3410447	31841	1851498	5034
bacFTfp-unif	3	0.9	0.8	3410447	31841	1576780	6454
bacFTfp-unif	4	0.5	0.3	3288201	32537	2845278	1903
bacFTfp-unif	4	0.5	0.4	3288201	32537	2759784	2508
bacFTfp-unif	4	0.5	0.5	3288201	32537	2672612	3172
bacFTfp-unif	4	0.5	0.6	3288201	32537	2577044	3992
bacFTfp-unif	4	0.5	0.7	3288201	32537	2463147	5066
bacFTfp-unif	4	0.5	0.8	3288201	32537	2310090	6625
bacFTfp-unif	4	0.9	0.3	3288201	33760	2525076	2201
bacFTfp-unif	4	0.9	0.4	3288201	33760	2368126	2803
bacFTfp-unif	4	0.9	0.5	3288201	33760	2212506	3420
bacFTfp-unif	4	0.9	0.6	3288201	33760	2047067	4198
bacFTfp-unif	4	0.9	0.7	3288201	33760	1850941	5244
bacFTfp-unif	4	0.9	0.8	3288201	33760	1583781	6788
bacFTfp-unif	5	0.5	0.3	4580858	39651	3861752	1406
bacFTfp-unif	5	0.5	0.4	4580858	39651	3752312	1776
