model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
mixFT	1	0.5	0.3	4767038	49961	4116311	1596
mixFT	1	0.5	0.4	4767038	49961	3978904	2018
mixFT	1	0.5	0.5	4767038	49961	3840441	2532
mixFT	1	0.5	0.6	4767038	49961	3692094	3112
mixFT	1	0.5	0.7	4767038	49961	3518955	3949
mixFT	1	0.5	0.8	4767038	49961	3293184	5105
mixFT	1	0.9	0.3	4767038	51985	3622845	2566
mixFT	1	0.9	0.4	4767038	51985	3363946	3222
mixFT	1	0.9	0.5	4767038	51985	3110891	4036
mixFT	1	0.9	0.6	4767038	51985	2842534	4970
mixFT	1	0.9	0.7	4767038	51985	2528279	6252
mixFT	1	0.9	0.8	4767038	51985	2113210	7955
mixFT	2	0.5	0.3	5177030	47539	4465301	3017
mixFT	2	0.5	0.4	5177030	47539	4326296	3539
mixFT	2	0.5	0.5	5177030	47539	4186508	4029
mixFT	2	0.5	0.6	5177030	47539	4036285	4667
mixFT	2	0.5	0.7	5177030	47539	3861166	5392
mixFT	2	0.5	0.8	5177030	47539	3633084	6332
mixFT	2	0.9	0.3	5177030	49061	3883714	2786
mixFT	2	0.9	0.4	5177030	49061	3613183	3392
mixFT	2	0.9	0.5	5177030	49061	3349411	4092
mixFT	2	0.9	0.6	5177030	49061	3069182	4906
mixFT	2	0.9	0.7	5177030	49061	2742283	5895
mixFT	2	0.9	0.8	5177030	49061	2315114	7338
mixFT	3	0.5	0.3	4561331	42246	3943413	1772
mixFT	3	0.5	0.4	4561331	42246	3824406	2323
mixFT	3	0.5	0.5	4561331	42246	3705851	2937
mixFT	3	0.5	0.6	4561331	42246	3577778	3740
mixFT	3	0.5	0.7	4561331	42246	3427451	4741
mixFT	3	0.5	0.8	4561331	42246	3230779	6254
mixFT	3	0.9	0.3	4561331	42924	3421090	2347
mixFT	3	0.9	0.4	4561331	42924	3187240	3039
mixFT	3	0.9	0.5	4561331	42924	2960497	3773
mixFT	3	0.9	0.6	4561331	42924	2721088	4592
mixFT	3	0.9	0.7	4561331	42924	2443446	5789
mixFT	3	0.9	0.8	4561331	42924	2076306	7518
mixFT	4	0.5	0.3	4366609	45132	3734780	2131
mixFT	4	0.5	0.4	4366609	45132	3614712	2773
mixFT	4	0.5	0.5	4366609	45132	3493707	3573
mixFT	4	0.5	0.6	4366609	45132	3363078	4551
mixFT	4	0.5	0.7	4366609	45132	3209763	5778
mixFT	4	0.5	0.8	4366609	45132	3009899	7634
mixFT	4	0.9	0.3	4366609	45568	3223337	2351
mixFT	4	0.9	0.4	4366609	45568	2991724	3158
mixFT	4	0.9	0.5	4366609	45568	2767408	4080
mixFT	4	0.9	0.6	4366609	45568	2530323	5118
mixFT	4	0.9	0.7	4366609	45568	2256502	6472
mixFT	4	0.9	0.8	4366609	45568	1898711	8568
mixFT	5	0.5	0.3	6088061	53214	5163886	1177
mixFT	5	0.5	0.4	6088061	53214	5021695	1435
mixFT	5	0.5	0.5	6088061	53214	4880558	1767
mixFT	5	0.5	0.6	6088061	53214	4729818	2232
mixFT	5	0.5	0.7	6088061	53214	4551692	2874
mixFT	5	0.5	0.8	6088061	53214	4313335	3888
mixFT	5	0.9	0.3	6088061	54849	4533977	2372
mixFT	5	0.9	0.4	6088061	54849	4249575	2964
mixFT	5	0.9	0.5	6088061	54849	3976986	3795
mixFT	5	0.9	0.6	6088061	54849	3695207	4728
mixFT	5	0.9	0.7	6088061	54849	3373630	5916
mixFT	5	0.9	0.8	6088061	54849	2953644	7570
mixFT	6	0.5	0.3	4128069	45840	3522064	2833
mixFT	6	0.5	0.4	4128069	45840	3406641	3448
mixFT	6	0.5	0.5	4128069	45840	3291320	4182
mixFT	6	0.5	0.6	4128069	45840	3167837	5086
mixFT	6	0.5	0.7	4128069	45840	3022581	6252
mixFT	6	0.5	0.8	4128069	45840	2831240	8049
mixFT	6	0.9	0.3	4128069	46950	2977513	3077
mixFT	6	0.9	0.4	4128069	46950	2756717	3916
mixFT	6	0.9	0.5	4128069	46950	2543668	4893
mixFT	6	0.9	0.6	4128069	46950	2322163	6096
mixFT	6	0.9	0.7	4128069	46950	2069148	7670
mixFT	6	0.9	0.8	4128069	46950	1739032	9928
mixFT	7	0.5	0.3	4652519	49736	4025689	1521
mixFT	7	0.5	0.4	4652519	49736	3891607	1853
mixFT	7	0.5	0.5	4652519	49736	3755861	2261
mixFT	7	0.5	0.6	4652519	49736	3608874	2775
mixFT	7	0.5	0.7	4652519	49736	3436529	3415
mixFT	7	0.5	0.8	4652519	49736	3213757	4360
mixFT	7	0.9	0.3	4652519	51279	3518538	1907
mixFT	7	0.9	0.4	4652519	51279	3263875	2418
mixFT	7	0.9	0.5	4652519	51279	3013565	2976
