model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
mixFTfp-marginalcons	1	0.9	0.3	4767038	51985	3898745	5862
mixFTfp-marginalcons	1	0.9	0.4	4767038	51985	3670971	6972
mixFTfp-marginalcons	1	0.9	0.5	4767038	51985	3438672	8237
mixFTfp-marginalcons	1	0.9	0.6	4767038	51985	3190025	9670
mixFTfp-marginalcons	1	0.9	0.7	4767038	51985	2901832	11377
mixFTfp-marginalcons	1	0.9	0.8	4767038	51985	2525888	13973
mixFTfp-marginalcons	2	0.9	0.3	5177030	49061	4165557	4820
mixFTfp-marginalcons	2	0.9	0.4	5177030	49061	3909374	5716
mixFTfp-marginalcons	2	0.9	0.5	5177030	49061	3655798	6686
mixFTfp-marginalcons	2	0.9	0.6	5177030	49061	3386275	7832
mixFTfp-marginalcons	2	0.9	0.7	5177030	49061	3077608	9435
mixFTfp-marginalcons	2	0.9	0.8	5177030	49061	2686914	11755
mixFTfp-marginalcons	3	0.9	0.3	4561331	42924	3684455	3844
mixFTfp-marginalcons	3	0.9	0.4	4561331	42924	3466097	4930
mixFTfp-marginalcons	3	0.9	0.5	4561331	42924	3249122	6162
mixFTfp-marginalcons	3	0.9	0.6	4561331	42924	3021063	7703
mixFTfp-marginalcons	3	0.9	0.7	4561331	42924	2762195	9576
mixFTfp-marginalcons	3	0.9	0.8	4561331	42924	2437297	12275
mixFTfp-marginalcons	4	0.9	0.3	4366609	45568	3427251	5437
mixFTfp-marginalcons	4	0.9	0.4	4366609	45568	3219491	6832
mixFTfp-marginalcons	4	0.9	0.5	4366609	45568	3016478	8258
mixFTfp-marginalcons	4	0.9	0.6	4366609	45568	2803724	9877
mixFTfp-marginalcons	4	0.9	0.7	4366609	45568	2560070	11805
mixFTfp-marginalcons	4	0.9	0.8	4366609	45568	2251539	14602
mixFTfp-marginalcons	5	0.9	0.3	6088061	54849	4936159	3733
mixFTfp-marginalcons	5	0.9	0.4	6088061	54849	4656125	4774
mixFTfp-marginalcons	5	0.9	0.5	6088061	54849	4381762	5816
mixFTfp-marginalcons	5	0.9	0.6	6088061	54849	4095181	6909
mixFTfp-marginalcons	5	0.9	0.7	6088061	54849	3773355	8486
mixFTfp-marginalcons	5	0.9	0.8	6088061	54849	3372361	10886
mixFTfp-marginalcons	6	0.9	0.3	4128069	46950	3193487	6312
mixFTfp-marginalcons	6	0.9	0.4	4128069	46950	2994449	7644
mixFTfp-marginalcons	6	0.9	0.5	4128069	46950	2799762	9101
mixFTfp-marginalcons	6	0.9	0.6	4128069	46950	2596016	10740
mixFTfp-marginalcons	6	0.9	0.7	4128069	46950	2365629	12740
mixFTfp-marginalcons	6	0.9	0.8	4128069	46950	2072652	15379
mixFTfp-marginalcons	7	0.9	0.3	4652519	51279	3783667	3843
mixFTfp-marginalcons	7	0.9	0.4	4652519	51279	3558985	5127
mixFTfp-marginalcons	7	0.9	0.5	4652519	51279	3333176	6525
mixFTfp-marginalcons	7	0.9	0.6	4652519	51279	3089810	8179
mixFTfp-marginalcons	7	0.9	0.7	4652519	51279	2807283	10188
mixFTfp-marginalcons	7	0.9	0.8	4652519	51279	2439522	12777
mixFTfp-marginalcons	8	0.9	0.3	4439121	48217	3600638	4463
mixFTfp-marginalcons	8	0.9	0.4	4439121	48217	3384404	5292
mixFTfp-marginalcons	8	0.9	0.5	4439121	48217	3168520	6238
mixFTfp-marginalcons	8	0.9	0.6	4439121	48217	2936965	7436
mixFTfp-marginalcons	8	0.9	0.7	4439121	48217	2673202	9022
mixFTfp-marginalcons	8	0.9	0.8	4439121	48217	2341124	11399
mixFTfp-marginalcons	9	0.9	0.3	5779556	55718	4680956	4897
mixFTfp-marginalcons	9	0.9	0.4	5779556	55718	4406732	6009
mixFTfp-marginalcons	9	0.9	0.5	5779556	55718	4138842	7200
mixFTfp-marginalcons	9	0.9	0.6	5779556	55718	3860341	8542
mixFTfp-marginalcons	9	0.9	0.7	5779556	55718	3548449	10297
mixFTfp-marginalcons	9	0.9	0.8	5779556	55718	3161909	12849
mixFTfp-marginalcons	10	0.9	0.3	4611936	44158	3711343	4484
mixFTfp-marginalcons	10	0.9	0.4	4611936	44158	3487131	5754
mixFTfp-marginalcons	10	0.9	0.5	4611936	44158	3264483	7133
mixFTfp-marginalcons	10	0.9	0.6	4611936	44158	3029036	8681
mixFTfp-marginalcons	10	0.9	0.7	4611936	44158	2760100	10655
mixFTfp-marginalcons	10	0.9	0.8	4611936	44158	2419737	13343
