model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
mixFTfp-marginalhq	1	0.5	0.3	4767038	49961	4231098	4894
mixFTfp-marginalhq	1	0.5	0.4	4767038	49961	4093413	6230
mixFTfp-marginalhq	1	0.5	0.5	4767038	49961	3952139	7538
mixFTfp-marginalhq	1	0.5	0.6	4767038	49961	3795062	9025
mixFTfp-marginalhq	1	0.5	0.7	4767038	49961	3607444	10870
mixFTfp-marginalhq	1	0.5	0.8	4767038	49961	3354070	13481
mixFTfp-marginalhq	1	0.9	0.3	4767038	51985	3861220	4501
mixFTfp-marginalhq	1	0.9	0.4	4767038	51985	3620853	5356
mixFTfp-marginalhq	1	0.9	0.5	4767038	51985	3376798	6304
mixFTfp-marginalhq	1	0.9	0.6	4767038	51985	3113109	7419
mixFTfp-marginalhq	1	0.9	0.7	4767038	51985	2802595	9050
mixFTfp-marginalhq	1	0.9	0.8	4767038	51985	2393330	11168
mixFTfp-marginalhq	10	0.5	0.3	4611936	42428	4018501	4996
mixFTfp-marginalhq	10	0.5	0.4	4611936	42428	3883402	6502
mixFTfp-marginalhq	10	0.5	0.5	4611936	42428	3745435	8226
mixFTfp-marginalhq	10	0.5	0.6	4611936	42428	3593536	10217
mixFTfp-marginalhq	10	0.5	0.7	4611936	42428	3413456	12406
mixFTfp-marginalhq	10	0.5	0.8	4611936	42428	3173083	15249
mixFTfp-marginalhq	10	0.9	0.3	4611936	44158	3612937	3315
mixFTfp-marginalhq	10	0.9	0.4	4611936	44158	3384197	4251
mixFTfp-marginalhq	10	0.9	0.5	4611936	44158	3158992	5472
mixFTfp-marginalhq	10	0.9	0.6	4611936	44158	2920933	6858
mixFTfp-marginalhq	10	0.9	0.7	4611936	44158	2648941	8690
mixFTfp-marginalhq	10	0.9	0.8	4611936	44158	2301373	11182
mixFTfp-marginalhq	2	0.5	0.3	5177030	47539	4523037	6080
mixFTfp-marginalhq	2	0.5	0.4	5177030	47539	4374561	7008
mixFTfp-marginalhq	2	0.5	0.5	5177030	47539	4222309	7997
mixFTfp-marginalhq	2	0.5	0.6	5177030	47539	4052874	9262
mixFTfp-marginalhq	2	0.5	0.7	5177030	47539	3852557	10728
mixFTfp-marginalhq	2	0.5	0.8	5177030	47539	3587191	12882
mixFTfp-marginalhq	2	0.9	0.3	5177030	49061	4071643	3967
mixFTfp-marginalhq	2	0.9	0.4	5177030	49061	3810839	4670
mixFTfp-marginalhq	2	0.9	0.5	5177030	49061	3553437	5439
mixFTfp-marginalhq	2	0.9	0.6	5177030	49061	3280011	6309
mixFTfp-marginalhq	2	0.9	0.7	5177030	49061	2966335	7528
mixFTfp-marginalhq	2	0.9	0.8	5177030	49061	2566293	9462
mixFTfp-marginalhq	3	0.5	0.3	4561331	42246	3981300	4390
mixFTfp-marginalhq	3	0.5	0.4	4561331	42246	3853515	5546
mixFTfp-marginalhq	3	0.5	0.5	4561331	42246	3723365	6765
mixFTfp-marginalhq	3	0.5	0.6	4561331	42246	3580419	8260
mixFTfp-marginalhq	3	0.5	0.7	4561331	42246	3410057	10127
mixFTfp-marginalhq	3	0.5	0.8	4561331	42246	3185960	12716
mixFTfp-marginalhq	3	0.9	0.3	4561331	42924	3553728	3034
mixFTfp-marginalhq	3	0.9	0.4	4561331	42924	3329263	3834
mixFTfp-marginalhq	3	0.9	0.5	4561331	42924	3111969	4742
mixFTfp-marginalhq	3	0.9	0.6	4561331	42924	2883238	5979
mixFTfp-marginalhq	3	0.9	0.7	4561331	42924	2622259	7730
mixFTfp-marginalhq	3	0.9	0.8	4561331	42924	2296658	10373
mixFTfp-marginalhq	4	0.5	0.3	4366609	45132	3791858	5524
mixFTfp-marginalhq	4	0.5	0.4	4366609	45132	3666909	7169
mixFTfp-marginalhq	4	0.5	0.5	4366609	45132	3538148	8847
mixFTfp-marginalhq	4	0.5	0.6	4366609	45132	3396168	10659
mixFTfp-marginalhq	4	0.5	0.7	4366609	45132	3225770	12892
mixFTfp-marginalhq	4	0.5	0.8	4366609	45132	2995323	15830
mixFTfp-marginalhq	4	0.9	0.3	4366609	45568	3342443	4035
mixFTfp-marginalhq	4	0.9	0.4	4366609	45568	3131021	5200
mixFTfp-marginalhq	4	0.9	0.5	4366609	45568	2923092	6380
mixFTfp-marginalhq	4	0.9	0.6	4366609	45568	2703432	7842
mixFTfp-marginalhq	4	0.9	0.7	4366609	45568	2451550	9606
mixFTfp-marginalhq	4	0.9	0.8	4366609	45568	2128123	12174
mixFTfp-marginalhq	5	0.5	0.3	6088061	53214	5113218	4000
mixFTfp-marginalhq	5	0.5	0.4	6088061	53214	4929177	5274
mixFTfp-marginalhq	5	0.5	0.5	6088061	53214	4750922	6762
mixFTfp-marginalhq	5	0.5	0.6	6088061	53214	4565318	8400
mixFTfp-marginalhq	5	0.5	0.7	6088061	53214	4355678	10351
mixFTfp-marginalhq	5	0.5	0.8	6088061	53214	4091121	12855
mixFTfp-marginalhq	5	0.9	0.3	6088061	54849	4767280	3034
mixFTfp-marginalhq	5	0.9	0.4	6088061	54849	4489786	4010
mixFTfp-marginalhq	5	0.9	0.5	6088061	54849	4223302	5020
mixFTfp-marginalhq	5	0.9	0.6	6088061	54849	3943705	6118
mixFTfp-marginalhq	5	0.9	0.7	6088061	54849	3625767	7531
mixFTfp-marginalhq	5	0.9	0.8	6088061	54849	3224710	9615
mixFTfp-marginalhq	6	0.5	0.3	4128069	45840	3551235	5632
mixFTfp-marginalhq	6	0.5	0.4	4128069	45840	3428243	6965
mixFTfp-marginalhq	6	0.5	0.5	4128069	45840	3304388	8553
mixFTfp-marginalhq	6	0.5	0.6	4128069	45840	3170151	10415
mixFTfp-marginalhq	6	0.5	0.7	4128069	45840	3009894	12550
mixFTfp-marginalhq	6	0.5	0.8	4128069	45840	2795568	15377
mixFTfp-marginalhq	6	0.9	0.3	4128069	46950	3083277	4512
mixFTfp-marginalhq	6	0.9	0.4	4128069	46950	2871353	5693
mixFTfp-marginalhq	6	0.9	0.5	4128069	46950	2665522	6995
mixFTfp-marginalhq	6	0.9	0.6	4128069	46950	2449634	8589
mixFTfp-marginalhq	6	0.9	0.7	4128069	46950	2206037	10480
mixFTfp-marginalhq	6	0.9	0.8	4128069	46950	1896068	13158
mixFTfp-marginalhq	7	0.5	0.3	4652519	49736	4061317	4202
mixFTfp-marginalhq	7	0.5	0.4	4652519	49736	3919944	5388
mixFTfp-marginalhq	7	0.5	0.5	4652519	49736	3773934	6841
mixFTfp-marginalhq	7	0.5	0.6	4652519	49736	3612932	8498
mixFTfp-marginalhq	7	0.5	0.7	4652519	49736	3420480	10537
mixFTfp-marginalhq	7	0.5	0.8	4652519	49736	3162604	13324
mixFTfp-marginalhq	7	0.9	0.3	4652519	51279	3703937	2959
mixFTfp-marginalhq	7	0.9	0.4	4652519	51279	3469841	3918
mixFTfp-marginalhq	7	0.9	0.5	4652519	51279	3231610	4990
mixFTfp-marginalhq	7	0.9	0.6	4652519	51279	2973433	6390
mixFTfp-marginalhq	7	0.9	0.7	4652519	51279	2673123	8120
mixFTfp-marginalhq	7	0.9	0.8	4652519	51279	2284013	10277
mixFTfp-marginalhq	8	0.5	0.3	4439121	46484	3840927	4401
mixFTfp-marginalhq	8	0.5	0.4	4439121	46484	3706882	5375
mixFTfp-marginalhq	8	0.5	0.5	4439121	46484	3570458	6449
mixFTfp-marginalhq	8	0.5	0.6	4439121	46484	3419927	7754
mixFTfp-marginalhq	8	0.5	0.7	4439121	46484	3242113	9569
mixFTfp-marginalhq	8	0.5	0.8	4439121	46484	3003332	12135
mixFTfp-marginalhq	8	0.9	0.3	4439121	48217	3549662	3648
mixFTfp-marginalhq	8	0.9	0.4	4439121	48217	3327191	4310
mixFTfp-marginalhq	8	0.9	0.5	4439121	48217	3104732	4975
mixFTfp-marginalhq	8	0.9	0.6	4439121	48217	2868788	5833
mixFTfp-marginalhq	8	0.9	0.7	4439121	48217	2601428	7095
