model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
mixFTfp-real	1	0.5	0.3	4767038	49961	4106605	2308
mixFTfp-real	1	0.5	0.4	4767038	49961	3962985	3013
mixFTfp-real	1	0.5	0.5	4767038	49961	3818406	3760
mixFTfp-real	1	0.5	0.6	4767038	49961	3662005	4630
mixFTfp-real	1	0.5	0.7	4767038	49961	3479125	5748
mixFTfp-real	1	0.5	0.8	4767038	49961	3237733	7368
mixFTfp-real	1	0.9	0.3	4767038	51985	3707364	3591
mixFTfp-real	1	0.9	0.4	4767038	51985	3442518	4499
mixFTfp-real	1	0.9	0.5	4767038	51985	3180761	5566
mixFTfp-real	1	0.9	0.6	4767038	51985	2900424	6914
mixFTfp-real	1	0.9	0.7	4767038	51985	2570348	8480
mixFTfp-real	1	0.9	0.8	4767038	51985	2128957	10623
mixFTfp-real	2	0.5	0.3	5177030	47539	4458842	3820
mixFTfp-real	2	0.5	0.4	5177030	47539	4312736	4461
mixFTfp-real	2	0.5	0.5	5177030	47539	4165165	5122
mixFTfp-real	2	0.5	0.6	5177030	47539	4005168	5864
mixFTfp-real	2	0.5	0.7	5177030	47539	3818116	6718
mixFTfp-real	2	0.5	0.8	5177030	47539	3572859	7932
mixFTfp-real	2	0.9	0.3	5177030	49061	3899710	3588
mixFTfp-real	2	0.9	0.4	5177030	49061	3618143	4388
mixFTfp-real	2	0.9	0.5	5177030	49061	3343762	5233
mixFTfp-real	2	0.9	0.6	5177030	49061	3053856	6300
mixFTfp-real	2	0.9	0.7	5177030	49061	2716894	7575
mixFTfp-real	2	0.9	0.8	5177030	49061	2276742	9451
mixFTfp-real	3	0.5	0.3	4561331	42246	3933192	2501
mixFTfp-real	3	0.5	0.4	4561331	42246	3808034	3258
mixFTfp-real	3	0.5	0.5	4561331	42246	3681858	4108
mixFTfp-real	3	0.5	0.6	4561331	42246	3545578	5147
mixFTfp-real	3	0.5	0.7	4561331	42246	3384874	6564
mixFTfp-real	3	0.5	0.8	4561331	42246	3173170	8490
mixFTfp-real	3	0.9	0.3	4561331	42924	3401352	3300
mixFTfp-real	3	0.9	0.4	4561331	42924	3155752	4275
mixFTfp-real	3	0.9	0.5	4561331	42924	2918396	5318
mixFTfp-real	3	0.9	0.6	4561331	42924	2668219	6603
mixFTfp-real	3	0.9	0.7	4561331	42924	2381046	8291
mixFTfp-real	3	0.9	0.8	4561331	42924	2002871	10761
mixFTfp-real	4	0.5	0.3	4366609	45132	3717205	2834
mixFTfp-real	4	0.5	0.4	4366609	45132	3590481	3721
mixFTfp-real	4	0.5	0.5	4366609	45132	3462835	4828
mixFTfp-real	4	0.5	0.6	4366609	45132	3322860	6141
mixFTfp-real	4	0.5	0.7	4366609	45132	3158672	7819
mixFTfp-real	4	0.5	0.8	4366609	45132	2943776	10154
mixFTfp-real	4	0.9	0.3	4366609	45568	3240792	3200
mixFTfp-real	4	0.9	0.4	4366609	45568	3004303	4335
mixFTfp-real	4	0.9	0.5	4366609	45568	2774848	5578
mixFTfp-real	4	0.9	0.6	4366609	45568	2532768	7118
mixFTfp-real	4	0.9	0.7	4366609	45568	2253407	9221
mixFTfp-real	4	0.9	0.8	4366609	45568	1884475	12040
mixFTfp-real	5	0.5	0.3	6088061	53214	5190984	1337
mixFTfp-real	5	0.5	0.4	6088061	53214	5038919	1722
mixFTfp-real	5	0.5	0.5	6088061	53214	4888074	2216
mixFTfp-real	5	0.5	0.6	6088061	53214	4725527	2861
mixFTfp-real	5	0.5	0.7	6088061	53214	4533947	3716
mixFTfp-real	5	0.5	0.8	6088061	53214	4279476	5011
mixFTfp-real	5	0.9	0.3	6088061	54849	4587113	2932
mixFTfp-real	5	0.9	0.4	6088061	54849	4288796	3895
mixFTfp-real	5	0.9	0.5	6088061	54849	4001594	5039
mixFTfp-real	5	0.9	0.6	6088061	54849	3702863	6300
mixFTfp-real	5	0.9	0.7	6088061	54849	3363141	7842
mixFTfp-real	5	0.9	0.8	6088061	54849	2922357	9963
mixFTfp-real	6	0.5	0.3	4128069	45840	3508853	3503
mixFTfp-real	6	0.5	0.4	4128069	45840	3387005	4341
mixFTfp-real	6	0.5	0.5	4128069	45840	3265620	5368
mixFTfp-real	6	0.5	0.6	4128069	45840	3134605	6649
mixFTfp-real	6	0.5	0.7	4128069	45840	2979394	8313
mixFTfp-real	6	0.5	0.8	4128069	45840	2773472	10560
mixFTfp-real	6	0.9	0.3	4128069	46950	2999451	3868
mixFTfp-real	6	0.9	0.4	4128069	46950	2773291	5043
mixFTfp-real	6	0.9	0.5	4128069	46950	2554348	6405
mixFTfp-real	6	0.9	0.6	4128069	46950	2326280	8036
mixFTfp-real	6	0.9	0.7	4128069	46950	2065880	10094
mixFTfp-real	6	0.9	0.8	4128069	46950	1724287	12924
mixFTfp-real	7	0.5	0.3	4652519	49736	3994086	1994
mixFTfp-real	7	0.5	0.4	4652519	49736	3851212	2519
mixFTfp-real	7	0.5	0.5	4652519	49736	3706111	3116
mixFTfp-real	7	0.5	0.6	4652519	49736	3548859	3807
mixFTfp-real	7	0.5	0.7	4652519	49736	3363557	4735
mixFTfp-real	7	0.5	0.8	4652519	49736	3121676	6075
mixFTfp-real	7	0.9	0.3	4652519	51279	3575951	2360
mixFTfp-real	7	0.9	0.4	4652519	51279	3312633	3012
mixFTfp-real	7	0.9	0.5	4652519	51279	3050298	3783
