model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
mixFTfp-realhq	10	0.5	0.3	4611936	42428	4002997	2824
mixFTfp-realhq	10	0.5	0.4	4611936	42428	3880438	3705
mixFTfp-realhq	10	0.5	0.5	4611936	42428	3757966	4768
mixFTfp-realhq	10	0.5	0.6	4611936	42428	3625829	5958
mixFTfp-realhq	10	0.5	0.7	4611936	42428	3471336	7445
mixFTfp-realhq	10	0.5	0.8	4611936	42428	3268155	9461
mixFTfp-realhq	10	0.9	0.3	4611936	44158	3512004	3269
mixFTfp-realhq	10	0.9	0.4	4611936	44158	3282271	4204
mixFTfp-realhq	10	0.9	0.5	4611936	44158	3061153	5316
mixFTfp-realhq	10	0.9	0.6	4611936	44158	2831982	6660
mixFTfp-realhq	10	0.9	0.7	4611936	44158	2573463	8350
mixFTfp-realhq	10	0.9	0.8	4611936	44158	2247546	10606
mixFTfp-realhq	1	0.5	0.3	4767038	49961	4160550	2325
mixFTfp-realhq	1	0.5	0.4	4767038	49961	4026010	2997
mixFTfp-realhq	1	0.5	0.5	4767038	49961	3890699	3736
mixFTfp-realhq	1	0.5	0.6	4767038	49961	3745455	4598
mixFTfp-realhq	1	0.5	0.7	4767038	49961	3576704	5705
mixFTfp-realhq	1	0.5	0.8	4767038	49961	3356918	7318
mixFTfp-realhq	1	0.9	0.3	4767038	51985	3768609	3665
mixFTfp-realhq	1	0.9	0.4	4767038	51985	3519580	4570
mixFTfp-realhq	1	0.9	0.5	4767038	51985	3273662	5576
mixFTfp-realhq	1	0.9	0.6	4767038	51985	3015730	6850
mixFTfp-realhq	1	0.9	0.7	4767038	51985	2720444	8404
mixFTfp-realhq	1	0.9	0.8	4767038	51985	2339455	10422
mixFTfp-realhq	2	0.5	0.3	5177030	47539	4497978	3926
mixFTfp-realhq	2	0.5	0.4	5177030	47539	4360570	4576
mixFTfp-realhq	2	0.5	0.5	5177030	47539	4222712	5240
mixFTfp-realhq	2	0.5	0.6	5177030	47539	4073950	5972
mixFTfp-realhq	2	0.5	0.7	5177030	47539	3899910	6833
mixFTfp-realhq	2	0.5	0.8	5177030	47539	3673134	8053
mixFTfp-realhq	2	0.9	0.3	5177030	49061	3979299	3701
mixFTfp-realhq	2	0.9	0.4	5177030	49061	3717010	4492
mixFTfp-realhq	2	0.9	0.5	5177030	49061	3462411	5288
mixFTfp-realhq	2	0.9	0.6	5177030	49061	3197506	6279
mixFTfp-realhq	2	0.9	0.7	5177030	49061	2897201	7482
mixFTfp-realhq	2	0.9	0.8	5177030	49061	2514269	9270
mixFTfp-realhq	3	0.5	0.3	4561331	42246	3971850	2598
mixFTfp-realhq	3	0.5	0.4	4561331	42246	3854546	3362
mixFTfp-realhq	3	0.5	0.5	4561331	42246	3737265	4204
mixFTfp-realhq	3	0.5	0.6	4561331	42246	3611589	5248
mixFTfp-realhq	3	0.5	0.7	4561331	42246	3464212	6638
mixFTfp-realhq	3	0.5	0.8	4561331	42246	3271177	8476
mixFTfp-realhq	3	0.9	0.3	4561331	42924	3477509	3260
mixFTfp-realhq	3	0.9	0.4	4561331	42924	3250044	4187
mixFTfp-realhq	3	0.9	0.5	4561331	42924	3034080	5165
mixFTfp-realhq	3	0.9	0.6	4561331	42924	2811412	6403
mixFTfp-realhq	3	0.9	0.7	4561331	42924	2560225	7956
mixFTfp-realhq	3	0.9	0.8	4561331	42924	2245473	10207
mixFTfp-realhq	4	0.5	0.3	4366609	45132	3761691	3072
mixFTfp-realhq	4	0.5	0.4	4366609	45132	3644855	4074
mixFTfp-realhq	4	0.5	0.5	4366609	45132	3528182	5227
mixFTfp-realhq	4	0.5	0.6	4366609	45132	3400587	6503
mixFTfp-realhq	4	0.5	0.7	4366609	45132	3251048	8161
mixFTfp-realhq	4	0.5	0.8	4366609	45132	3055786	10397
mixFTfp-realhq	4	0.9	0.3	4366609	45568	3291315	3464
mixFTfp-realhq	4	0.9	0.4	4366609	45568	3075718	4581
mixFTfp-realhq	4	0.9	0.5	4366609	45568	2868766	5863
mixFTfp-realhq	4	0.9	0.6	4366609	45568	2654656	7327
mixFTfp-realhq	4	0.9	0.7	4366609	45568	2414484	9248
mixFTfp-realhq	4	0.9	0.8	4366609	45568	2110448	11924
mixFTfp-realhq	5	0.5	0.3	6088061	53214	5210545	1327
mixFTfp-realhq	5	0.5	0.4	6088061	53214	5066130	1720
mixFTfp-realhq	5	0.5	0.5	6088061	53214	4923399	2228
mixFTfp-realhq	5	0.5	0.6	6088061	53214	4770388	2851
mixFTfp-realhq	5	0.5	0.7	6088061	53214	4591409	3692
mixFTfp-realhq	5	0.5	0.8	6088061	53214	4355150	4993
mixFTfp-realhq	5	0.9	0.3	6088061	54849	4629506	2756
mixFTfp-realhq	5	0.9	0.4	6088061	54849	4344666	3566
mixFTfp-realhq	5	0.9	0.5	6088061	54849	4075812	4687
mixFTfp-realhq	5	0.9	0.6	6088061	54849	3801001	5972
mixFTfp-realhq	5	0.9	0.7	6088061	54849	3496295	7541
