model	split	fn	tau	n_present	n_grafted	n_recovered	n_fp_removed
mixFTfp-unif	1	0.5	0.3	4767038	49961	4110189	1820
mixFTfp-unif	1	0.5	0.4	4767038	49961	3968676	2324
mixFTfp-unif	1	0.5	0.5	4767038	49961	3825693	2882
mixFTfp-unif	1	0.5	0.6	4767038	49961	3672181	3576
mixFTfp-unif	1	0.5	0.7	4767038	49961	3492680	4467
mixFTfp-unif	1	0.5	0.8	4767038	49961	3257248	5853
mixFTfp-unif	1	0.9	0.3	4767038	51985	3725628	2907
mixFTfp-unif	1	0.9	0.4	4767038	51985	3467133	3592
mixFTfp-unif	1	0.9	0.5	4767038	51985	3211033	4361
mixFTfp-unif	1	0.9	0.6	4767038	51985	2937619	5408
mixFTfp-unif	1	0.9	0.7	4767038	51985	2615033	6795
mixFTfp-unif	1	0.9	0.8	4767038	51985	2183114	8626
mixFTfp-unif	2	0.5	0.3	5177030	47539	4462458	3274
mixFTfp-unif	2	0.5	0.4	5177030	47539	4318346	3853
mixFTfp-unif	2	0.5	0.5	5177030	47539	4173414	4446
mixFTfp-unif	2	0.5	0.6	5177030	47539	4016584	5111
mixFTfp-unif	2	0.5	0.7	5177030	47539	3833370	5892
mixFTfp-unif	2	0.5	0.8	5177030	47539	3594587	6940
mixFTfp-unif	2	0.9	0.3	5177030	49061	3909649	2946
mixFTfp-unif	2	0.9	0.4	5177030	49061	3631780	3594
mixFTfp-unif	2	0.9	0.5	5177030	49061	3360681	4380
mixFTfp-unif	2	0.9	0.6	5177030	49061	3074399	5214
mixFTfp-unif	2	0.9	0.7	5177030	49061	2742050	6322
mixFTfp-unif	2	0.9	0.8	5177030	49061	2307533	7890
mixFTfp-unif	3	0.5	0.3	4561331	42246	3938621	2057
mixFTfp-unif	3	0.5	0.4	4561331	42246	3815214	2661
mixFTfp-unif	3	0.5	0.5	4561331	42246	3691764	3396
mixFTfp-unif	3	0.5	0.6	4561331	42246	3558152	4223
mixFTfp-unif	3	0.5	0.7	4561331	42246	3401620	5334
mixFTfp-unif	3	0.5	0.8	4561331	42246	3194771	6996
mixFTfp-unif	3	0.9	0.3	4561331	42924	3411910	2735
mixFTfp-unif	3	0.9	0.4	4561331	42924	3170295	3485
mixFTfp-unif	3	0.9	0.5	4561331	42924	2936843	4300
mixFTfp-unif	3	0.9	0.6	4561331	42924	2691714	5362
mixFTfp-unif	3	0.9	0.7	4561331	42924	2408953	6657
mixFTfp-unif	3	0.9	0.8	4561331	42924	2037113	8564
mixFTfp-unif	4	0.5	0.3	4366609	45132	3722776	2362
mixFTfp-unif	4	0.5	0.4	4366609	45132	3598378	3072
mixFTfp-unif	4	0.5	0.5	4366609	45132	3472786	3933
mixFTfp-unif	4	0.5	0.6	4366609	45132	3336427	4998
mixFTfp-unif	4	0.5	0.7	4366609	45132	3175994	6390
mixFTfp-unif	4	0.5	0.8	4366609	45132	2967087	8338
mixFTfp-unif	4	0.9	0.3	4366609	45568	3246906	2566
mixFTfp-unif	4	0.9	0.4	4366609	45568	3013563	3462
mixFTfp-unif	4	0.9	0.5	4366609	45568	2786615	4458
mixFTfp-unif	4	0.9	0.6	4366609	45568	2547893	5613
mixFTfp-unif	4	0.9	0.7	4366609	45568	2271457	7142
mixFTfp-unif	4	0.9	0.8	4366609	45568	1910738	9517
mixFTfp-unif	5	0.5	0.3	6088061	53214	5185317	1176
mixFTfp-unif	5	0.5	0.4	6088061	53214	5034473	1477
mixFTfp-unif	5	0.5	0.5	6088061	53214	4885076	1881
mixFTfp-unif	5	0.5	0.6	6088061	53214	4724768	2391
mixFTfp-unif	5	0.5	0.7	6088061	53214	4535979	3121
mixFTfp-unif	5	0.5	0.8	6088061	53214	4284015	4233
mixFTfp-unif	5	0.9	0.3	6088061	54849	4589194	2604
mixFTfp-unif	5	0.9	0.4	6088061	54849	4293341	3396
mixFTfp-unif	5	0.9	0.5	6088061	54849	4009557	4403
mixFTfp-unif	5	0.9	0.6	6088061	54849	3715480	5482
mixFTfp-unif	5	0.9	0.7	6088061	54849	3380826	6835
mixFTfp-unif	5	0.9	0.8	6088061	54849	2946426	8649
mixFTfp-unif	6	0.5	0.3	4128069	45840	3512987	3042
mixFTfp-unif	6	0.5	0.4	4128069	45840	3393229	3719
mixFTfp-unif	6	0.5	0.5	4128069	45840	3273807	4520
mixFTfp-unif	6	0.5	0.6	4128069	45840	3145623	5561
mixFTfp-unif	6	0.5	0.7	4128069	45840	2993942	6912
mixFTfp-unif	6	0.5	0.8	4128069	45840	2793587	8901
mixFTfp-unif	6	0.9	0.3	4128069	46950	3000457	2991
mixFTfp-unif	6	0.9	0.4	4128069	46950	2778583	3940
mixFTfp-unif	6	0.9	0.5	4128069	46950	2562756	5021
mixFTfp-unif	6	0.9	0.6	4128069	46950	2339270	6393
mixFTfp-unif	6	0.9	0.7	4128069	46950	2083090	8087
mixFTfp-unif	6	0.9	0.8	4128069	46950	1747750	10422
mixFTfp-unif	7	0.5	0.3	4652519	49736	3999426	1709
mixFTfp-unif	7	0.5	0.4	4652519	49736	3858620	2090
mixFTfp-unif	7	0.5	0.5	4652519	49736	3715986	2568
mixFTfp-unif	7	0.5	0.6	4652519	49736	3561664	3132
mixFTfp-unif	7	0.5	0.7	4652519	49736	3380708	3848
mixFTfp-unif	7	0.5	0.8	4652519	49736	3146126	4941
mixFTfp-unif	7	0.9	0.3	4652519	51279	3578491	2066
mixFTfp-unif	7	0.9	0.4	4652519	51279	3319750	2609
mixFTfp-unif	7	0.9	0.5	4652519	51279	3063659	3217
mixFTfp-unif	7	0.9	0.6	4652519	51279	2788448	3988
mixFTfp-unif	7	0.9	0.7	4652519	51279	2466209	5089
mixFTfp-unif	7	0.9	0.8	4652519	51279	2041131	6647
mixFTfp-unif	8	0.5	0.3	4439121	46484	3833887	2243
mixFTfp-unif	8	0.5	0.4	4439121	46484	3708694	2815
mixFTfp-unif	8	0.5	0.5	4439121	46484	3582523	3438
mixFTfp-unif	8	0.5	0.6	4439121	46484	3446684	4105
mixFTfp-unif	8	0.5	0.7	4439121	46484	3283922	4955
mixFTfp-unif	8	0.5	0.8	4439121	46484	3065002	6135
mixFTfp-unif	8	0.9	0.3	4439121	48217	3458980	2607
mixFTfp-unif	8	0.9	0.4	4439121	48217	3222928	3273
mixFTfp-unif	8	0.9	0.5	4439121	48217	2988362	3994
mixFTfp-unif	8	0.9	0.6	4439121	48217	2738865	4775
mixFTfp-unif	8	0.9	0.7	4439121	48217	2448193	5812
mixFTfp-unif	8	0.9	0.8	4439121	48217	2065050	7290
mixFTfp-unif	9	0.5	0.3	5779556	54965	4916396	2678
mixFTfp-unif	9	0.5	0.4	5779556	54965	4769509	3233
mixFTfp-unif	9	0.5	0.5	5779556	54965	4624209	3801
mixFTfp-unif	9	0.5	0.6	5779556	54965	4466880	4503
mixFTfp-unif	9	0.5	0.7	5779556	54965	4280761	5476
mixFTfp-unif	9	0.5	0.8	5779556	54965	4030488	6921
mixFTfp-unif	9	0.9	0.3	5779556	55718	4363814	3245
mixFTfp-unif	9	0.9	0.4	5779556	55718	4072222	4066
mixFTfp-unif	9	0.9	0.5	5779556	55718	3793926	5098
mixFTfp-unif	9	0.9	0.6	5779556	55718	3504250	6344
mixFTfp-unif	9	0.9	0.7	5779556	55718	3171166	7863
mixFTfp-unif	9	0.9	0.8	5779556	55718	2736878	10050
mixFTfp-unif	10	0.5	0.3	4611936	42428	3970920	2178
mixFTfp-unif	10	0.5	0.4	4611936	42428	3842167	2894
mixFTfp-unif	10	0.5	0.5	4611936	42428	3713426	3694
mixFTfp-unif	10	0.5	0.6	4611936	42428	3573857	4673
mixFTfp-unif	10	0.5	0.7	4611936	42428	3410605	5941
mixFTfp-unif	10	0.5	0.8	4611936	42428	3195996	7750
mixFTfp-unif	10	0.9	0.3	4611936	44158	3481335	2683
mixFTfp-unif	10	0.9	0.4	4611936	44158	3238230	3404
mixFTfp-unif	10	0.9	0.5	4611936	44158	3000660	4264
mixFTfp-unif	10	0.9	0.6	4611936	44158	2750761	5333
mixFTfp-unif	10	0.9	0.7	4611936	44158	2462292	6775
mixFTfp-unif	10	0.9	0.8	4611936	44158	2084781	8849
