COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG0002	1	1	1	1	0	1	0.993413	0	0.977409	0	0.928862	0	0.016004	0.0645509	1.6339	0.734425	0.78125
COG0004	1	1	1	1	0	1	0.99173	0	0.973449	0	0.919762	0	0.0182811	0.0719682	1.82228	0.723703	0.75
COG0009	1	1	1	1	0	1	0.996941	0	0.992577	0	0.983379	0	0.00436407	0.0135615	1.73854	0.978199	1
COG0011	1	1	1	1	0	1	0.907856	0	0.720523	0	0.432404	0	0.187333	0.475452	0.9781	0.543168	0.59375
COG0039	1	1	1	1	0	1	0.968063	0	0.865659	0	0.615139	0	0.102404	0.352924	-0.441427	0.750432	0.78125
COG0045	1	1	1	1	0	1	0.995614	0	0.98123	0	0.933492	0	0.0143842	0.062122	2.09413	0.901867	1
COG0056	1	1	1	0	1	0	0.997259	0	0.992046	0	0.977749	0	0.00521314	0.0195098	2.49844	0.803467	0.84375
COG0062	1	1	1	0	1	0	0.994678	0	0.979087	0	0.929484	0	0.0155907	0.0651939	1.7544	0.866641	0.90625
COG0068	1	1	1	1	0	1	0.983259	0	0.934101	0	0.81517	0	0.049158	0.168088	2.61709	0.764475	0.84375
COG0072	1	1	1	1	0	1	0.996752	0	0.994517	0	0.990722	0	0.00223517	0.0060302	1.6739	0.984821	1
COG0074	1	1	1	1	0	1	0.991499	0	0.96534	0	0.894536	0	0.026159	0.0969635	1.67647	0.883933	0.96875
COG0081	1	1	1	1	0	1	0.996025	0	0.990254	0	0.964252	0	0.00577086	0.0317726	1.4058	0.976608	1
COG0098	1	1	1	1	0	1	0.994764	0	0.985035	0	0.889798	0	0.00972855	0.104966	0.0265145	0.957049	1
COG0103	1	1	1	0	1	0	0.993676	0	0.980487	0	0.942623	0	0.0131888	0.051053	0.699442	0.813231	0.8125
COG0112	1	1	1	1	0	1	0.998896	0	0.997116	0	0.992698	0	0.00178033	0.00619835	2.89963	0.985806	1
COG0130	1	1	1	1	0	1	0.996275	0	0.990847	0	0.979223	0	0.00542802	0.0170519	1.59669	0.962383	1
COG0132	1	1	1	1	0	1	0.920377	0	0.725259	0	0.353275	0	0.195118	0.567102	0.0553168	0.292253	0.25
COG0149	1	1	1	1	0	1	0.996941	0	0.993623	0	0.987131	0	0.00331771	0.00980967	1.95489	0.970365	1
COG0150	1	1	1	1	0	1	0.995471	0	0.987662	0	0.963412	0	0.00780904	0.0320598	1.91135	0.870361	0.96875
COG0156	1	1	1	1	0	1	0.97896	0	0.928206	0	0.783096	0	0.0507541	0.195864	0.966768	0.678592	0.75
COG0162	1	1	1	1	0	1	0.996466	0	0.993653	0	0.988946	0	0.0028128	0.00751936	1.8585	0.977119	1
COG0169	1	1	1	1	0	1	0.996159	0	0.987287	0	0.963377	0	0.00887173	0.0327819	1.78612	0.913133	1
COG0195	1	1	1	1	0	1	0.997298	0	0.995047	0	0.991028	0	0.00225091	0.00627053	1.81441	0.978563	1
COG0203	1	1	1	0	1	0	0.99284	0	0.980293	0	0.934733	0	0.0125471	0.0581069	0.60885	0.764773	0.78125
COG0235	1	1	1	1	0	1	0.985138	0	0.937926	0	0.803983	0	0.0472113	0.181155	0.827343	0.887311	1
COG0238	1	1	1	0	1	0	0.990562	0	0.97184	0	0.908121	0	0.0187219	0.0824407	0.230952	0.769757	0.75
COG0285	1	1	1	0	1	0	0.995767	0	0.98284	0	0.94087	0	0.0129263	0.0548964	1.27688	0.877601	0.875
COG0300	1	1	1	0	1	0	0.97925	0	0.930048	0	0.779091	0	0.0492021	0.200159	0.377265	0.753471	0.875
COG0319	1	1	1	0	1	0	0.994899	0	0.982856	0	0.947018	0	0.0120432	0.0478809	0.916872	0.801067	0.84375
COG0373	1	1	1	1	0	1	0.973615	0	0.902923	0	0.681926	0	0.0706916	0.291689	0.754105	0.637639	0.625
COG0376	1	1	1	0	1	0	0.845049	0	0.591897	0	0.291575	0	0.253152	0.553473	-0.0432026	0.307428	0.28125
COG0381	1	1	1	1	0	1	0.952337	0	0.842655	0	0.58796	0	0.109682	0.364377	0.430285	0.722902	0.84375
COG0397	1	1	1	0	1	0	0.880108	0	0.572991	0	0.212203	0	0.307117	0.667905	-0.507731	0.346579	0.40625
COG0404	1	1	1	0	1	0	0.981678	0	0.947577	0	0.889477	0	0.0341005	0.0922005	1.69637	0.864233	0.9375
COG0406	1	1	1	0	1	0	0.994781	0	0.982415	0	0.941805	0	0.0123659	0.052976	1.51909	0.884159	0.96875
COG0415	1	1	1	0	1	0	0.944407	0	0.789122	0	0.461015	0	0.155285	0.483392	0.196553	0.590107	0.5625
COG0427	1	1	1	0	1	0	0.904887	0	0.650996	0	0.305097	0	0.253891	0.599791	0.159634	0.415456	0.375
COG0445	1	1	1	0	1	0	0.987149	0	0.897566	0	0.487047	0	0.089583	0.500103	-0.886242	0.628092	0.59375
