COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG0002	1	1	1	1	0	1	0.996783	0	0.992096	0	0.981099	0	0.00468773	0.0156848	3.01401	0.970541	1
COG0004	1	1	1	1	0	1	0.99481	0	0.98454	0	0.956801	0	0.0102697	0.0380093	2.48093	0.894052	0.96875
COG0009	1	1	1	1	0	1	0.986807	0	0.979388	0	0.968501	0	0.00741851	0.0183059	1.08398	0.977133	1
COG0031	1	1	1	1	0	1	0.999558	0	0.998847	0	0.997243	0	0.000710487	0.00231516	4.20574	0.991666	1
COG0039	1	1	1	1	0	1	0.996931	0	0.98892	0	0.965201	0	0.0080111	0.0317297	2.41236	0.963721	1
COG0045	1	1	1	1	0	1	0.99948	0	0.998558	0	0.996125	0	0.000922084	0.00335437	5.0019	0.984333	1
COG0055	1	1	1	1	0	1	0.993375	0	0.986608	0	0.97261	0	0.00676721	0.0207656	2.27235	0.970311	1
COG0068	1	1	1	1	0	1	0.980762	0	0.939437	0	0.846687	0	0.0413251	0.134075	2.84198	0.773569	0.875
COG0072	1	1	1	1	0	1	0.983459	0	0.985038	0	0.985724	0	-0.00157952	-0.0022651	1.23789	0.977241	1
COG0074	1	1	1	1	0	1	0.997844	0	0.993486	0	0.980676	0	0.0043577	0.017168	3.46543	0.973479	1
COG0081	1	1	1	1	0	1	0.97495	0	0.893153	0	0.677395	0	0.0817974	0.297555	-1.14723	0.935348	1
COG0098	1	1	1	1	0	1	0.986911	0	0.934073	0	0.425823	0	0.0528377	0.561088	-2.36108	0.95198	1
COG0112	1	1	1	1	0	1	0.988943	0	0.979872	0	0.96372	0	0.00907135	0.025223	1.26687	0.969453	1
COG0130	1	1	1	1	0	1	0.988019	0	0.984227	0	0.979825	0	0.00379252	0.00819373	1.62673	0.984077	1
COG0132	1	1	1	1	0	1	0.984912	0	0.935651	0	0.760107	0	0.0492616	0.224805	1.81326	0.646765	0.6875
COG0135	1	1	1	0	1	0	0.979866	0	0.935739	0	0.818745	0	0.0441267	0.161121	1.34059	0.902893	1
COG0143	1	1	1	0	1	0	0.980362	0	0.912975	0	0.701952	0	0.0673872	0.27841	0.486217	0.789951	0.875
COG0149	1	1	1	1	0	1	0.984356	0	0.979871	0	0.97461	0	0.00448471	0.0097456	1.26258	0.970542	1
COG0150	1	1	1	1	0	1	0.986831	0	0.973474	0	0.94164	0	0.013357	0.0451912	1.4216	0.958037	1
COG0154	1	1	1	0	1	0	0.999875	0	0.999626	0	0.998916	0	0.000249743	0.000959575	5.001	0.997099	1
COG0156	1	1	1	1	0	1	0.994357	0	0.982779	0	0.951767	0	0.0115778	0.0425897	2.66525	0.903845	0.96875
COG0162	1	1	1	1	0	1	0.966249	0	0.964935	0	0.96229	0	0.00131381	0.00395882	0.604034	0.961329	1
COG0169	1	1	1	1	0	1	0.994205	0	0.986363	0	0.969878	0	0.00784117	0.0243263	1.98827	0.976987	1
COG0195	1	1	1	1	0	1	0.97765	0	0.976331	0	0.975073	0	0.00131834	0.00257623	0.776372	0.970819	1
COG0204	1	1	1	1	0	1	0.998731	0	0.997379	0	0.995087	0	0.00135255	0.00364393	3.1139	0.993459	1
COG0217	1	1	1	1	0	1	0.99229	0	0.988598	0	0.981954	0	0.00369287	0.0103368	1.74294	0.979879	1
COG0235	1	1	1	1	0	1	0.991628	0	0.966066	0	0.878048	0	0.0255625	0.113581	1.39004	0.904408	1
COG0267	1	1	1	1	0	1	0.989575	0	0.969306	0	0.905602	0	0.0202687	0.0839727	1.05471	0.931917	1
COG0277	1	1	1	1	0	1	0.999985	0	0.999951	0	0.999852	0	3.39746e-05	0.000133157	8.24207	0.992129	1
COG0290	1	1	1	1	0	1	0.991364	0	0.98916	0	0.985663	0	0.00220394	0.00570005	2.12088	0.979231	1
COG0291	1	1	1	1	0	1	0.993931	0	0.985881	0	0.963433	0	0.00805086	0.0304988	1.71105	0.971307	1
COG0308	1	1	1	1	0	1	0.999449	0	0.99815	0	0.993497	0	0.00129831	0.00595152	4.71775	0.872974	0.84375
COG0313	1	1	1	1	0	1	0.99593	0	0.990938	0	0.980685	0	0.00499189	0.015245	2.18603	0.983945	1
COG0317	1	1	1	1	0	1	0.996616	0	0.992043	0	0.981928	0	0.00457311	0.0146881	2.08597	0.973194	1
COG0320	1	1	1	1	0	1	0.999054	0	0.997074	0	0.990866	0	0.00197983	0.00818765	4.31537	0.971334	1
COG0349	1	1	1	1	0	1	0.998206	0	0.992189	0	0.965755	0	0.00601721	0.032451	3.50678	0.891464	1
COG0362	1	1	1	1	0	1	0.950646	0	0.799392	0	0.441418	0	0.151254	0.509228	0.739239	0.538379	0.53125
COG0373	1	1	1	1	0	1	0.999037	0	0.997048	0	0.991422	0	0.00198895	0.00761557	4.74138	0.976936	1
COG0381	1	1	1	1	0	1	0.990819	0	0.966059	0	0.884807	0	0.0247594	0.106012	2.1135	0.844549	0.96875
COG0386	1	1	1	1	0	1	0.975727	0	0.862704	0	0.482277	0	0.113023	0.493449	0.20774	0.629559	0.625
COG0388	1	1	1	1	0	1	0.999117	0	0.996899	0	0.99003	0	0.00221854	0.00908673	3.76477	0.984014	1
COG0415	1	1	1	1	0	1	0.986327	0	0.936525	0	0.753778	0	0.0498022	0.232549	1.47168	0.720259	0.78125
COG0427	1	1	1	1	0	1	0.971471	0	0.882217	0	0.629236	0	0.0892541	0.342235	1.51172	0.669151	0.65625
COG0447	1	1	1	1	0	1	0.988224	0	0.936581	0	0.538755	0	0.0516428	0.449469	1.52099	0.672289	0.65625
