COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG0001	1	1	1	0.999208	0.00148335	0.995999	0.00747496	0.979152	0.0419471	0.00320917	0.0200558	3.4389	0.999376	1
COG0002	1	1	1	0.999553	0.00051466	0.996957	0.00456231	0.987836	0.0203545	0.00259602	0.0117162	3.46164	0.992525	1
COG0003	1	1	1	0.99932	0.000899157	0.995131	0.00605139	0.970034	0.0370174	0.00418878	0.0292864	4.76034	0.99153	1
COG0004	1	1	1	0.98625	0.0121275	0.939629	0.0493871	0.783854	0.159139	0.0466204	0.202396	0.671431	0.974916	1
COG0005	1	1	1	0.999782	0.0001597	0.998665	0.00111527	0.993469	0.00595528	0.00111729	0.00631303	4.54051	0.994571	1
COG0006	1	1	1	0.999958	4.97253e-05	0.999539	0.000633258	0.995261	0.00761689	0.000419676	0.00469702	3.08212	0.999454	1
COG0007	1	1	1	0.987407	0.023998	0.950721	0.0941886	0.862081	0.257638	0.0366864	0.125326	1.71065	0.977134	0.99375
COG0008	1	1	1	1	1.01223e-06	0.999973	4.66688e-05	0.99885	0.0019601	2.60472e-05	0.0011493	3.11608	0.997626	1
COG0009	1	1	1	0.999747	0.000181245	0.997235	0.00172154	0.969941	0.022775	0.00251186	0.0298064	1.13225	0.98823	1
COG0010	1	1	1	0.999727	0.000282886	0.997941	0.00236763	0.988072	0.013755	0.00178611	0.0116549	4.35774	0.997969	1
COG0011	1	1	1	0.999522	0.00049727	0.996584	0.00376967	0.98019	0.0235368	0.00293827	0.0193316	5.15173	0.973177	1
COG0012	1	1	1	0.999868	0.000165089	0.997442	0.00313266	0.955073	0.0509922	0.00242615	0.0447952	0.268784	0.989776	1
COG0013	1	1	1	1	1.01503e-07	0.999995	4.48701e-06	0.999815	0.000201024	4.47035e-06	0.000184417	5.2791	0.998687	1
COG0014	0.9438	1	1	0.145683	0.259615	0.0689929	0.179366	0.0241145	0.068089	0.0766899	0.121568	-4.52429	0.502476	0.5125
COG0015	1	1	1	0.997638	0.00203008	0.988448	0.00920412	0.937048	0.055707	0.00919002	0.0605901	1.15402	0.996639	1
COG0016	1	1	1	0.999994	8.51287e-06	0.999852	0.000228304	0.996647	0.00477335	0.000142872	0.00334692	2.80648	0.992842	1
COG0017	1	1	1	0.99993	0.000171539	0.999012	0.00218942	0.989272	0.0219409	0.000917256	0.0106582	4.56054	0.998028	1
COG0018	1	1	1	0.999973	2.60557e-05	0.999434	0.000502067	0.988976	0.00940919	0.000538826	0.0109966	1.47508	0.992854	1
COG0019	1	1	1	0.991779	0.00695835	0.963643	0.0285663	0.852513	0.122283	0.0281363	0.139266	0.290112	0.988213	1
COG0020	1	1	1	0.999924	9.43873e-05	0.998662	0.00209766	0.981182	0.0334192	0.00126207	0.018742	1.53822	0.990398	1
COG0022	1	1	1	0.319512	0.35662	0.220325	0.383418	0.190051	0.373785	0.099187	0.129461	-1.55539	0.904453	0.9625
