COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus	anchor_support
COG0001	1	1	1	0.999141	0.00115082	0.997773	0.00255346	0.997044	0.00368852	0.0013687	0.00209761	5.4103	0.998657	1	0.843178
COG0002	0.9993	1	1	0.985889	0.0263113	0.956551	0.0955085	0.906077	0.190364	0.0293375	0.0798119	1.33122	0.984374	1	0.0178861
COG0003	0.999	1	1	0.918357	0.0469324	0.814377	0.100649	0.661902	0.187198	0.10398	0.256456	1.95486	0.960279	0.996875	0.0111277
COG0004	1	1	1	0.911272	0.0778134	0.841198	0.157458	0.744367	0.242518	0.070074	0.166905	0.451951	0.997972	1	0.0138741
COG0005	1	1	1	0.99999	1.66553e-05	0.999975	3.21374e-05	0.999937	7.94753e-05	1.57356e-05	5.31673e-05	9.191	0.999777	1	0.985894
COG0006	1	1	1	0.999938	6.46351e-05	0.999739	0.000331499	0.999153	0.00140719	0.000199854	0.000785708	4.80743	0.99986	1	0.995059
COG0007	1	1	1	0.9917	0.0122386	0.989205	0.0129011	0.985606	0.0228049	0.00249559	0.0060941	4.10444	0.997046	1	0.798347
COG0008	1	1	1	0.999795	0.000371583	0.998285	0.003155	0.989058	0.0178031	0.00151014	0.0107366	0.853213	0.997053	1	0.999502
COG0009	1	1	1	0.99939	0.00071634	0.997484	0.00295736	0.990304	0.0131655	0.00190532	0.00908554	2.28449	0.996062	1	0.997675
COG0010	1	1	1	0.821159	0.125125	0.652279	0.213825	0.573894	0.251181	0.16888	0.247265	0.238593	0.942165	0.996875	0.249903
COG0011	0.9991	1	1	0.960225	0.0671533	0.927828	0.06146	0.854683	0.0974199	0.0323975	0.105542	3.02196	0.91247	0.99375	0.0810383
COG0012	1	1	1	0.999856	0.000114884	0.999236	0.000633917	0.996713	0.00286356	0.000620186	0.00314301	2.92652	0.997987	1	0.995006
COG0013	1	1	1	0.999998	1.68197e-06	0.999983	1.43254e-05	0.999884	9.82376e-05	1.46031e-05	0.000114083	5.7435	0.997542	1	0.99957
COG0014	0.9998	1	1	0.954931	0.0722569	0.904842	0.112957	0.833792	0.197734	0.050089	0.121139	0.788991	0.970026	0.99375	0.0908705
COG0015	1	1	1	0.994133	0.00589087	0.985714	0.018255	0.967263	0.0568965	0.00841969	0.0268704	1.83962	0.996142	1	0.956179
COG0016	1	1	1	0.999961	3.20197e-05	0.999657	0.000319187	0.998137	0.00157331	0.000304937	0.0018248	3.39534	0.995318	1	0.99869
