name,taxon,model,n_present,n_pairs,J_exp700,J_exp900,J_comb900,dynT1_exp700,dynT1_comb900,dynT2_exp700,dynT2_comb900,dynT3_exp700,dynT3_comb900,dynT5_exp700,dynT5_comb900,best_dyn_exp700,best_T,gain_over_J_exp700
Neisseria meningitidis MC58,122586,nohidden,1269,804546,0.6352,0.6605,0.7129,0.5135,0.5761,0.5837,0.5964,0.5378,0.5387,0.5803,0.593,0.5837,2,-0.0515
Streptococcus pyogenes,1314,nohidden,1082,584821,0.6303,0.6611,0.7197,0.5152,0.6022,0.5788,0.6079,0.543,0.5693,0.5941,0.6116,0.5941,5,-0.0362
Listeria monocytogenes EGD-e,169963,nohidden,1514,1145341,0.6131,0.6422,0.7153,0.5035,0.6011,0.5857,0.6173,0.5001,0.5316,0.5574,0.5846,0.5857,2,-0.0274
Streptococcus pneumoniae R6,171101,nohidden,1140,649230,0.6146,0.9642,0.7162,0.5054,0.5894,0.582,0.6041,0.5423,0.56,0.6017,0.6139,0.6017,5,-0.0129
Campylobacter jejuni NCTC 11168,192222,nohidden,1112,617716,0.605,0.6339,0.7039,0.5078,0.5807,0.5501,0.5853,0.5309,0.5551,0.5802,0.616,0.5802,5,-0.0248
Pseudomonas aeruginosa PAO1,208964,nohidden,2236,2498730,0.6491,0.6668,0.7488,0.5719,0.6535,0.6633,0.6276,0.6163,0.5719,0.5284,0.5306,0.6633,2,0.0142
Enterococcus faecalis V583,226185,nohidden,1398,976503,0.625,0.6636,0.7247,0.5187,0.6116,0.6046,0.6315,0.5297,0.5654,0.5771,0.5929,0.6046,2,-0.0204
Neisseria gonorrhoeae FA 1090,242231,nohidden,1241,769420,0.6397,0.6528,0.7093,0.518,0.5773,0.586,0.5921,0.5482,0.5461,0.579,0.5936,0.586,2,-0.0537
Vibrio cholerae N16961,243277,nohidden,1914,1830741,0.6009,0.9824,0.7571,0.5294,0.6563,0.5955,0.6677,0.521,0.5689,0.5402,0.5728,0.5955,2,-0.0054
Bordetella pertussis Tohama I,257313,nohidden,1621,1313010,0.6393,0.673,0.734,0.5238,0.6108,0.5999,0.5975,0.4959,0.5005,0.5619,0.5776,0.5999,2,-0.0394
Clostridioides difficile 630,272563,nohidden,1524,1160526,0.6309,0.6684,0.7435,0.523,0.6251,0.5729,0.6044,0.5011,0.5201,0.5593,0.5799,0.5729,2,-0.0579
Klebsiella pneumoniae MGH 78578,272620,nohidden,2139,2286591,0.638,0.6698,0.7687,0.5703,0.6885,0.6489,0.6868,0.6019,0.6,0.5377,0.5426,0.6489,2,0.0109
Acinetobacter baumannii ATCC 17978,400667,nohidden,1634,1334161,0.631,0.6531,0.6965,0.5228,0.5967,0.6118,0.6072,0.5127,0.5242,0.5704,0.5617,0.6118,2,-0.0191
Escherichia coli K-12 MG1655,511145,nohidden,2105,2214460,0.624,0.6701,0.7259,0.557,0.6421,0.6552,0.6153,0.5888,0.5542,0.541,0.5377,0.6552,2,0.0312
Haemophilus influenzae Rd KW20,71421,nohidden,1292,833986,0.6245,0.6537,0.7376,0.4929,0.5875,0.601,0.6328,0.5485,0.5746,0.5905,0.6248,0.601,2,-0.0235
Mycobacterium tuberculosis H37Rv,83332,nohidden,1495,1116765,0.6203,0.6709,0.7028,0.5088,0.5881,0.5819,0.583,0.4999,0.4982,0.5556,0.561,0.5819,2,-0.0384
Helicobacter pylori 26695,85962,nohidden,925,427350,0.6109,0.625,0.6765,0.5144,0.5701,0.5464,0.5599,0.5484,0.5535,0.5989,0.6173,0.5989,5,-0.012
Staphylococcus aureus NCTC 8325,93061,nohidden,1421,1008910,0.6138,0.6618,0.7256,0.4956,0.5853,0.5821,0.6102,0.5182,0.5445,0.5673,0.5943,0.5821,2,-0.0317
Salmonella enterica Typhimurium LT2,99287,nohidden,2148,2305878,0.6641,0.7409,0.7469,0.5845,0.6594,0.6761,0.632,0.629,0.5693,0.5331,0.5323,0.6761,2,0.012
