COG_ID	category	name	combined_input	combined_out_post	combined_present	euryroot_ml_input	euryroot_ml_out_post	euryroot_ml_present	euryroot_unif_input	euryroot_unif_out_post	euryroot_unif_present	gld_min1_input	gld_min1_out_post	gld_min1_present	gld_min4_input	gld_min4_out_post	gld_min4_present
COG0001	H	Glutamate-1-semialdehyde aminotransferase	0.1000	0.9268	1	0.9900	0.9886	1	0.4600	0.9369	1	1.0000	0.9998	1	1.0000	0.9916	1
COG0002	E	N-acetyl-gamma-glutamylphosphate reductase	0.0350	0.9831	1	0.0200	0.8888	1	0.0000	0.9591	1	1.0000	0.9996	1	0.9999	0.9930	1
COG0003	P	Anion-transporting ATPase, ArsA/GET3 family	0.0000	0.6778	1	0.2400	0.8888	1	0.0000	0.5477	1	1.0000	0.9991	1	0.9996	0.9875	1
COG0004	P	Ammonia channel protein AmtB	0.0000	0.5871	1	0.2300	0.5098	1	0.0000	0.4385	0	1.0000	0.9817	1	0.9533	0.8317	1
COG0005	F	Purine nucleoside phosphorylase	0.1600	0.9903	1	0.8200	0.9962	1	0.0300	0.9827	1	1.0000	0.9997	1	1.0000	0.9987	1
COG0006	E	Xaa-Pro aminopeptidase	0.0300	0.9958	1	0.9900	0.9992	1	0.0700	0.9954	1	1.0000	1.0000	1	1.0000	0.9998	1
COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)	0.0050	0.7955	1	0.8600	0.9588	1	0.0000	0.4762	0	1.0000	0.9971	1	0.9858	0.8395	1
COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase	0.3600	0.9985	1	1.0000	1.0000	1	0.8300	0.9989	1	1.0000	1.0000	1	0.9999	1.0000	1
COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	0.0000	0.9761	1	0.9200	0.9967	1	0.0800	0.9900	1	1.0000	0.9997	1	0.9999	0.9993	1
COG0010	E	Arginase/agmatinase family enzyme	0.0000	0.9651	1	0.5500	0.9896	1	0.0200	0.9852	1	1.0000	0.9996	1	1.0000	0.9986	1
COG0011	H	Thiamin-binding stress-response protein YqgV, UPF0045 family	0.0000	0.8580	1	0.0000	0.7754	1	0.0000	0.7351	1	1.0000	0.9992	1	0.9999	0.9912	1
COG0012	J	Ribosome-binding ATPase YchF, GTP1/OBG family	0.9250	0.9943	1	1.0000	0.9987	1	0.9200	0.9934	1	1.0000	0.9996	1	1.0000	0.9993	1
