COG_ID	category	name	mean_post	median_post	sd_post	n_present	n_recon	consensus_present	vote	combined_post	euryroot_ml_post	euryroot_unif_post	gld_min1_post	gld_min4_post
COG0001	H	Glutamate-1-semialdehyde aminotransferase	0.9687	0.9886	0.0305	5	5	1	5/5	0.9268	0.9886	0.9369	0.9998	0.9916
COG0002	E	N-acetyl-gamma-glutamylphosphate reductase	0.9647	0.9831	0.0404	5	5	1	5/5	0.9831	0.8888	0.9591	0.9996	0.9930
COG0003	P	Anion-transporting ATPase, ArsA/GET3 family	0.8202	0.8888	0.1785	5	5	1	5/5	0.6778	0.8888	0.5477	0.9991	0.9875
COG0004	P	Ammonia channel protein AmtB	0.6698	0.5871	0.2047	4	5	1	4/5	0.5871	0.5098	0.4385	0.9817	0.8317
COG0005	F	Purine nucleoside phosphorylase	0.9935	0.9962	0.0063	5	5	1	5/5	0.9903	0.9962	0.9827	0.9997	0.9987
COG0006	E	Xaa-Pro aminopeptidase	0.9980	0.9992	0.0020	5	5	1	5/5	0.9958	0.9992	0.9954	1.0000	0.9998
COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)	0.8134	0.8395	0.1842	4	5	1	4/5	0.7955	0.9588	0.4762	0.9971	0.8395
COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase	0.9995	1.0000	0.0006	5	5	1	5/5	0.9985	1.0000	0.9989	1.0000	1.0000
COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	0.9924	0.9967	0.0088	5	5	1	5/5	0.9761	0.9967	0.9900	0.9997	0.9993
COG0010	E	Arginase/agmatinase family enzyme	0.9876	0.9896	0.0125	5	5	1	5/5	0.9651	0.9896	0.9852	0.9996	0.9986
COG0011	H	Thiamin-binding stress-response protein YqgV, UPF0045 family	0.8718	0.8580	0.1083	5	5	1	5/5	0.8580	0.7754	0.7351	0.9992	0.9912
COG0012	J	Ribosome-binding ATPase YchF, GTP1/OBG family	0.9971	0.9987	0.0027	5	5	1	5/5	0.9943	0.9987	0.9934	0.9996	0.9993
COG0013	J	Alanyl-tRNA synthetase	0.9988	0.9999	0.0014	5	5	1	5/5	0.9971	0.9999	0.9971	1.0000	1.0000
COG0014	E	Gamma-glutamyl phosphate reductase	0.1029	0.1248	0.0709	0	5	0	0/5	0.1921	0.0258	0.1572	0.1248	0.0146
COG0015	F	Adenylosuccinate lyase	0.9892	0.9941	0.0098	5	5	1	5/5	0.9941	0.9741	0.9813	0.9988	0.9976
COG0016	J	Phenylalanyl-tRNA synthetase alpha subunit	0.9974	0.9998	0.0031	5	5	1	5/5	0.9928	0.9998	0.9943	1.0000	0.9999
COG0017	J	Aspartyl/asparaginyl-tRNA synthetase	0.9983	0.9998	0.0021	5	5	1	5/5	0.9972	0.9998	0.9945	1.0000	0.9998
COG0018	J	Arginyl-tRNA synthetase	0.9924	0.9982	0.0085	5	5	1	5/5	0.9842	0.9982	0.9801	0.9999	0.9996
COG0019	E	Diaminopimelate decarboxylase	0.8874	0.8870	0.0626	5	5	1	5/5	0.8933	0.7900	0.8790	0.9875	0.8870
COG0020	I	Undecaprenyl pyrophosphate synthase	0.9984	0.9995	0.0017	5	5	1	5/5	0.9973	0.9995	0.9957	0.9999	0.9998
COG0021	G	Transketolase	0.0046	0.0000	0.0068	0	5	0	0/5	0.0057	0.0000	0.0175	0.0000	0.0000
COG0022	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	0.1510	0.0837	0.1213	0	5	0	0/5	0.0401	0.0837	0.0721	0.3729	0.1861
COG0023	J	Translation initiation factor 1 (eIF-1/SUI1)	0.9915	0.9990	0.0098	5	5	1	5/5	0.9832	0.9990	0.9764	0.9997	0.9991
COG0024	J	Methionine aminopeptidase	0.9976	0.9985	0.0021	5	5	1	5/5	0.9951	0.9985	0.9952	0.9998	0.9995
COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter	0.4348	0.3866	0.2169	1	5	0	1/5	0.2110	0.4377	0.2986	0.8402	0.3866
COG0026	F	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	0.0384	0.0234	0.0503	0	5	0	0/5	0.0246	0.0004	0.0234	0.1373	0.0064
COG0027	F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	0.1253	0.1077	0.0415	0	5	0	0/5	0.1048	0.1732	0.0676	0.1730	0.1077
COG0028	EH	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	0.9489	0.9386	0.0401	5	5	1	5/5	0.9177	0.8976	0.9386	0.9992	0.9912
COG0029	H	Aspartate oxidase	0.2401	0.2248	0.1528	0	5	0	0/5	0.3335	0.0875	0.0752	0.4796	0.2248
COG0030	J	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	0.9951	0.9959	0.0042	5	5	1	5/5	0.9930	0.9959	0.9881	0.9996	0.9991
COG0031	E	Cysteine synthase	0.6330	0.7152	0.2923	4	5	1	4/5	0.7152	0.1154	0.5361	0.9263	0.8719
COG0033	G	Phosphoglucomutase/phosphomannomutase	0.0012	0.0009	0.0005	0	5	0	0/5	0.0013	0.0008	0.0007	0.0021	0.0009
COG0034	F	Glutamine phosphoribosylpyrophosphate amidotransferase	0.9896	0.9924	0.0080	5	5	1	5/5	0.9889	0.9749	0.9924	0.9985	0.9932
COG0035	F	Uracil phosphoribosyltransferase	0.2508	0.0696	0.2737	1	5	0	1/5	0.0682	0.0696	0.0253	0.7501	0.3410
COG0036	G	Pentose-5-phosphate-3-epimerase	0.1137	0.0163	0.1692	0	5	0	0/5	0.0928	0.0163	0.4458	0.0024	0.0113
COG0037	J	tRNA(Ile)-lysidine synthase TilS/MesJ	0.9990	0.9997	0.0011	5	5	1	5/5	0.9973	0.9997	0.9980	0.9999	0.9999
COG0038	P	H+/Cl- antiporter ClcA	0.9165	0.9625	0.0838	5	5	1	5/5	0.8876	0.9625	0.7657	0.9986	0.9682
COG0039	C	Malate/lactate dehydrogenase	0.6620	0.6376	0.2406	4	5	1	4/5	0.6376	0.5384	0.2946	0.9736	0.8657
COG0040	E	ATP phosphoribosyltransferase	0.9842	0.9851	0.0141	5	5	1	5/5	0.9706	0.9851	0.9659	0.9999	0.9993
COG0041	F	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	0.9806	0.9801	0.0151	5	5	1	5/5	0.9582	0.9708	0.9801	0.9983	0.9957
COG0042	J	tRNA-dihydrouridine synthase	0.0817	0.0555	0.0610	0	5	0	0/5	0.1101	0.0555	0.0406	0.1868	0.0156
COG0043	H	3-polyprenyl-4-hydroxybenzoate decarboxylase	0.9987	0.9998	0.0016	5	5	1	5/5	0.9983	0.9998	0.9958	1.0000	0.9998
COG0044	F	Dihydroorotase or related cyclic amidohydrolase	0.9973	0.9983	0.0025	5	5	1	5/5	0.9983	0.9955	0.9934	0.9998	0.9996
COG0045	C	Succinyl-CoA synthetase, beta subunit	0.9704	0.9691	0.0228	5	5	1	5/5	0.9435	0.9691	0.9472	0.9995	0.9927
COG0046	F	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	0.9835	0.9810	0.0116	5	5	1	5/5	0.9751	0.9680	0.9810	0.9986	0.9946
COG0047	F	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	0.9925	0.9950	0.0075	5	5	1	5/5	0.9791	0.9950	0.9899	0.9999	0.9986
COG0048	J	Ribosomal protein S12	0.9963	0.9995	0.0045	5	5	1	5/5	0.9888	0.9995	0.9934	0.9998	0.9998
COG0049	J	Ribosomal protein S7	0.9966	0.9996	0.0040	5	5	1	5/5	0.9933	0.9996	0.9905	0.9999	0.9999
COG0050	J	Translation elongation factor EF-Tu, a GTPase	0.0010	0.0000	0.0013	0	5	0	0/5	0.0023	0.0000	0.0028	0.0000	0.0000
COG0051	J	Ribosomal protein S10	0.9946	0.9988	0.0058	5	5	1	5/5	0.9880	0.9988	0.9870	0.9998	0.9995
COG0052	J	Ribosomal protein S2	0.9946	0.9991	0.0059	5	5	1	5/5	0.9868	0.9991	0.9880	0.9995	0.9997
COG0053	P	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump	0.9749	0.9819	0.0270	5	5	1	5/5	0.9783	0.9819	0.9228	0.9987	0.9926
COG0054	H	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	0.9250	0.9214	0.0406	5	5	1	5/5	0.8720	0.9079	0.9214	0.9965	0.9270
COG0055	C	FoF1-type ATP synthase, beta subunit	0.0017	0.0025	0.0013	0	5	0	0/5	0.0028	0.0002	0.0030	0.0025	0.0001
COG0056	C	FoF1-type ATP synthase, alpha subunit	0.0019	0.0017	0.0016	0	5	0	0/5	0.0039	0.0003	0.0036	0.0017	0.0002
COG0057	G	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	0.9942	0.9945	0.0052	5	5	1	5/5	0.9909	0.9945	0.9862	0.9998	0.9994
COG0058	G	Glucan phosphorylase	0.4619	0.4007	0.3216	2	5	0	2/5	0.1803	0.4007	0.0782	0.9326	0.7175
COG0059	EH	Ketol-acid reductoisomerase	0.9683	0.9642	0.0256	5	5	1	5/5	0.9335	0.9492	0.9642	0.9989	0.9955
COG0060	J	Isoleucyl-tRNA synthetase	0.9961	0.9996	0.0045	5	5	1	5/5	0.9909	0.9996	0.9902	0.9999	0.9999
COG0061	H	NAD kinase	0.9944	0.9987	0.0081	5	5	1	5/5	0.9947	0.9987	0.9787	1.0000	0.9998
COG0062	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain	0.0420	0.0137	0.0660	0	5	0	0/5	0.0137	0.0023	0.0143	0.1736	0.0060
COG0063	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	0.9975	0.9999	0.0030	5	5	1	5/5	0.9942	0.9999	0.9936	1.0000	1.0000
COG0064	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	0.8619	0.9280	0.1338	5	5	1	5/5	0.6148	0.9280	0.8326	0.9903	0.9436
COG0065	E	Homoaconitase/3-isopropylmalate dehydratase large subunit	0.9912	0.9930	0.0084	5	5	1	5/5	0.9864	0.9774	0.9930	0.9998	0.9992
COG0066	E	3-isopropylmalate dehydratase small subunit	0.9960	0.9954	0.0037	5	5	1	5/5	0.9898	0.9954	0.9950	1.0000	0.9998
COG0067	E	Glutamate synthase domain 1	0.7731	0.7768	0.1723	5	5	1	5/5	0.7768	0.6644	0.5133	0.9915	0.9194
