panel	recon_i	recon_j	jaccard
before_input	combined root	combined root	1.0000
before_input	combined root	Euryarchaeota (ML)	0.0587
before_input	combined root	Euryarchaeota (uniform)	0.2171
before_input	combined root	copy-number (min-1)	0.0312
before_input	combined root	copy-number (min-4)	0.0443
before_input	Euryarchaeota (ML)	combined root	0.0587
before_input	Euryarchaeota (ML)	Euryarchaeota (ML)	1.0000
before_input	Euryarchaeota (ML)	Euryarchaeota (uniform)	0.0914
before_input	Euryarchaeota (ML)	copy-number (min-1)	0.4936
before_input	Euryarchaeota (ML)	copy-number (min-4)	0.5885
before_input	Euryarchaeota (uniform)	combined root	0.2171
before_input	Euryarchaeota (uniform)	Euryarchaeota (ML)	0.0914
before_input	Euryarchaeota (uniform)	Euryarchaeota (uniform)	1.0000
before_input	Euryarchaeota (uniform)	copy-number (min-1)	0.0461
before_input	Euryarchaeota (uniform)	copy-number (min-4)	0.0654
before_input	copy-number (min-1)	combined root	0.0312
before_input	copy-number (min-1)	Euryarchaeota (ML)	0.4936
before_input	copy-number (min-1)	Euryarchaeota (uniform)	0.0461
before_input	copy-number (min-1)	copy-number (min-1)	1.0000
before_input	copy-number (min-1)	copy-number (min-4)	0.7050
before_input	copy-number (min-4)	combined root	0.0443
before_input	copy-number (min-4)	Euryarchaeota (ML)	0.5885
before_input	copy-number (min-4)	Euryarchaeota (uniform)	0.0654
before_input	copy-number (min-4)	copy-number (min-1)	0.7050
before_input	copy-number (min-4)	copy-number (min-4)	1.0000
after_denoised	combined root	combined root	1.0000
after_denoised	combined root	Euryarchaeota (ML)	0.7312
after_denoised	combined root	Euryarchaeota (uniform)	0.8382
after_denoised	combined root	copy-number (min-1)	0.5906
after_denoised	combined root	copy-number (min-4)	0.7111
after_denoised	Euryarchaeota (ML)	combined root	0.7312
after_denoised	Euryarchaeota (ML)	Euryarchaeota (ML)	1.0000
after_denoised	Euryarchaeota (ML)	Euryarchaeota (uniform)	0.6679
after_denoised	Euryarchaeota (ML)	copy-number (min-1)	0.7610
after_denoised	Euryarchaeota (ML)	copy-number (min-4)	0.8633
after_denoised	Euryarchaeota (uniform)	combined root	0.8382
after_denoised	Euryarchaeota (uniform)	Euryarchaeota (ML)	0.6679
after_denoised	Euryarchaeota (uniform)	Euryarchaeota (uniform)	1.0000
after_denoised	Euryarchaeota (uniform)	copy-number (min-1)	0.5224
after_denoised	Euryarchaeota (uniform)	copy-number (min-4)	0.6388
after_denoised	copy-number (min-1)	combined root	0.5906
after_denoised	copy-number (min-1)	Euryarchaeota (ML)	0.7610
after_denoised	copy-number (min-1)	Euryarchaeota (uniform)	0.5224
after_denoised	copy-number (min-1)	copy-number (min-1)	1.0000
after_denoised	copy-number (min-1)	copy-number (min-4)	0.8109
after_denoised	copy-number (min-4)	combined root	0.7111
after_denoised	copy-number (min-4)	Euryarchaeota (ML)	0.8633
after_denoised	copy-number (min-4)	Euryarchaeota (uniform)	0.6388
after_denoised	copy-number (min-4)	copy-number (min-1)	0.8109
after_denoised	copy-number (min-4)	copy-number (min-4)	1.0000
before_input	MEAN_OFFDIAG		0.2341
after_denoised	MEAN_OFFDIAG		0.7135
