COG_ID	category	name	input_prob	denoised_post
COG1784	R	TctA family transporter	0.5000	0.2263
COG5009	M	Membrane carboxypeptidase/penicillin-binding protein	0.1900	0.3185
COG4624	C	Iron only hydrogenase large subunit, C-terminal domain	0.1800	0.1579
COG1437	TR	Adenylate cyclase class IV, CYTH domain (includes archaeal enzymes of unknown function)	0.1700	0.4793
COG1465	E	3-dehydroquinate synthase, class II	0.1700	0.1667
COG2198	T	HPt (histidine-containing phosphotransfer) domain	0.1700	0.1333
COG4252	T	Extracytoplasmic sensor domain CHASE2 (specificity unknown)	0.1000	0.0500
COG4284	G	UDP-N-acetylglucosamine pyrophosphorylase	0.1000	0.2375
COG2923	J	Sulfur transfer complex TusBCD TusC component, DsrF family	0.0800	0.2457
COG3031	U	Type II secretory pathway, component PulC	0.0800	0.2296
COG0387	P	Cation (Ca2+/Na+/K+)/H+ antiporter ChaA	0.0700	0.1057
COG3894	S	Uncharacterized 2Fe-2S and 4Fe-4S clusters-containing protein, contains DUF4445 domain	0.0700	0.2257
COG1151	C	Hydroxylamine reductase (hybrid-cluster protein)	0.0600	0.2882
COG4147	C	Na+(or H+)/acetate symporter ActP	0.0600	0.4439
COG1980	G	Archaeal fructose 1,6-bisphosphatase	0.0500	0.4769
COG1330	L	Scaffold subunit RecC of the DNA repair enzyme RecBCD (exonuclease V)	0.0400	0.3512
COG2216	P	K+ transport ATPase, ATPase subunit KdpB	0.0400	0.2782
COG2313	F	Pseudouridine-5'-phosphate glycosidase (pseudoU degradation)	0.0400	0.4639
COG2859	M	Outer membrane channel-forming protein BP26/OMP28, SIMPL family	0.0400	0.2420
COG2878	C	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit	0.0400	0.4660
COG3058	CO	Formate dehydrogenase maturation protein FdhE	0.0400	0.4629
COG3239	I	Fatty acid desaturase	0.0400	0.0292
COG3700	PR	Acid phosphatase, class B	0.0400	0.0834
COG3885	Q	Aromatic ring-opening dioxygenase, LigB subunit	0.0400	0.1935
COG0855	P	Polyphosphate kinase	0.0300	0.1499
COG1118	P	ABC-type sulfate/molybdate transport systems, ATPase component	0.0300	0.4901
COG1587	H	Uroporphyrinogen-III synthase	0.0300	0.0069
COG3392	L	Adenine-specific DNA methylase	0.0300	0.1799
COG3684	GP	Tagatose-1,6-bisphosphate/sulfofructosephosphate aldolase	0.0300	0.3157
COG4370	S	Uncharacterized conserved protein	0.0300	0.1275
COG4930	O	Predicted ATP-dependent Lon-type protease	0.0300	0.4529
COG4963	UW	Flp pilus assembly ATPase CpaE/TadZ, contains N-terminal REC/TadZ_N domain	0.0300	0.4665
COG0861	P	Tellurite resistance membrane protein TerC	0.0200	0.2689
COG1497	K	Predicted transcriptional regulator MJ0558, contains a CRP-type HTH domain	0.0200	0.0065
COG2116	P	Formate/nitrite transporter FocA, FNT family	0.0200	0.3060
COG2266	H	GTP:adenosylcobinamide-phosphate guanylyltransferase	0.0200	0.2422
COG2524	K	Predicted transcriptional regulator, contains C-terminal CBS domains	0.0200	0.0947
COG2716	E	Glycine cleavage system regulator GcvR	0.0200	0.2517
COG2985	R	Uncharacterized membrane protein YbjL, putative transporter	0.0200	0.3656
COG3419	NW	Type IV pilus assembly protein, tip-associated adhesin PilY1	0.0200	0.1263
COG4120	R	ABC-type uncharacterized transport system, permease component	0.0200	0.3291
COG4258	R	Predicted exporter	0.0200	0.2422
COG4865	E	Glutamate mutase epsilon subunit	0.0200	0.3554
COG5426	R	Uncharacterized protein STM3548, contains class I glutamine amidotransferase domain	0.0200	0.3911
COG0155	P	Sulfite reductase, beta subunit (hemoprotein)	0.0100	0.0834
COG0349	J	Ribonuclease D	0.0100	0.1388
COG0575	I	CDP-diglyceride synthetase	0.0100	0.4643
COG1007	C	NADH:ubiquinone oxidoreductase subunit 2 (chain N)	0.0100	0.4329
COG1029	C	Formylmethanofuran dehydrogenase subunit B	0.0100	0.0442
COG1227	C	Inorganic pyrophosphatase/exopolyphosphatase	0.0100	0.1515
COG1245	J	Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains	0.0100	0.1526
COG1273	L	Non-homologous end joining protein Ku, dsDNA break repair	0.0100	0.3909
COG1290	C	Cytochrome b subunit of the bc complex	0.0100	0.2046
COG1348	HP	Nitrogenase ATPase subunit NifH/coenzyme F430 biosynthesis subunit CfbC	0.0100	0.2030
COG1540	E	5-oxoprolinase subunit A	0.0100	0.2955
COG1576	J	23S rRNA pseudoU1915 N3-methylase RlmH	0.0100	0.4625
COG1613	P	ABC-type sulfate transport system, periplasmic component	0.0100	0.2825
COG1712	E	L-aspartate dehydrogenase, NAD(P)-dependent	0.0100	0.0764
COG1780	F	Flavodoxin NrdI, NrdF-interacting activator of class Ib ribonucleotide reductase	0.0100	0.0005
COG1796	L	DNA polymerase/3'-5' exonuclease PolX	0.0100	0.0885
COG1834	E	N-Dimethylarginine dimethylaminohydrolase	0.0100	0.2898
COG1892	G	Phosphoenolpyruvate carboxylase	0.0100	0.3292
COG1972	F	Nucleoside permease NupC	0.0100	0.4408
COG2039	O	Pyrrolidone-carboxylate peptidase (N-terminal pyroglutamyl peptidase)	0.0100	0.1595
COG2180	CPO	Nitrate reductase assembly protein NarJ, required for insertion of molybdenum cofactor	0.0100	0.3091
COG2215	P	ABC-type nickel/cobalt efflux system, permease component RcnA	0.0100	0.3281
COG2225	C	Malate synthase	0.0100	0.0708
COG2236	H	Hypoxanthine phosphoribosyltransferase	0.0100	0.3513
COG2254	V	CRISPR/Cas system-associated endonuclease Cas3-HD	0.0100	0.0573
COG2268	S	Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain	0.0100	0.4143
COG2301	G	Citrate lyase beta subunit	0.0100	0.3266
COG2352	C	Phosphoenolpyruvate carboxylase	0.0100	0.0413
COG2375	P	NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains	0.0100	0.0013
COG2603	J	tRNA 2-selenouridine synthase SelU, contains rhodanese domain	0.0100	0.2769
COG2819	R	Predicted hydrolase of the alpha/beta superfamily	0.0100	0.1223
COG2866	M	Murein tripeptide amidase MpaA	0.0100	0.4983
COG3037	G	Ascorbate-specific PTS system IIC component UlaA	0.0100	0.4745
COG3049	MR	Penicillin V acylase or related amidase, Ntn superfamily	0.0100	0.3320
COG3123	F	Pyrimidine/purine nucleoside phosphorylase YaiE/PpnP, UPF0345/DUF1255 family	0.0100	0.3026
COG3127	Q	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component	0.0100	0.0490
COG3132	S	Uncharacterized conserved protein YceH, UPF0502 family	0.0100	0.0360
COG3180	R	Uncharacterized membrane protein AbrB, regulator of aidB expression	0.0100	0.3172
COG3222	S	Uncharacterized conserved protein, glycosyltransferase A (GT-A) superfamily, DUF2064 family	0.0100	0.2472
COG3234	S	Uncharacterized conserved protein YfaT, DUF1175 family	0.0100	0.2407
COG3252	H	Methenyltetrahydromethanopterin cyclohydrolase	0.0100	0.0810
COG3281	G	Predicted trehalose synthase	0.0100	0.0593
COG3301	P	Nitrite/polysulfide reductase, membrane component NrfD/PsrC	0.0100	0.3232
COG3310	S	Uncharacterized conserved protein, DUF1415 family	0.0100	0.0007
COG3361	S	Uncharacterized conserved protein YqjF, DUF2071 family	0.0100	0.0083
COG3435	Q	Gentisate 1,2-dioxygenase	0.0100	0.0206
COG3480	T	Predicted secreted protein YlbL, contains PDZ domain	0.0100	0.0966
COG3535	S	Uncharacterized conserved protein, DUF917 family	0.0100	0.2285
COG3696	P	Cu/Ag efflux pump CusA	0.0100	0.4943
COG3714	S	Uncharacterized membrane protein YhhN	0.0100	0.2570
COG3754	M	Lipopolysaccharide biosynthesis protein	0.0100	0.0489
COG3799	E	Methylaspartate ammonia-lyase	0.0100	0.4362
COG3882	I	Predicted enzyme involved in methoxymalonyl-ACP biosynthesis	0.0100	0.0760
COG3962	G	TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism	0.0100	0.2570
COG3963	I	Phosphatidylethanolamine N-methyltransferase	0.0100	0.2072
COG4145	H	Na+/panthothenate symporter	0.0100	0.0866
COG4213	G	ABC-type xylose transport system, periplasmic component	0.0100	0.4308
COG4261	R	Predicted acyltransferase, LPLAT superfamily	0.0100	0.0351
COG4277	R	Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains	0.0100	0.3091
COG4346	O	Predicted membrane-bound dolichyl-phosphate-mannose-protein mannosyltransferase	0.0100	0.0715
COG4452	V	Inner membrane protein CreD involved in colicin E2 resistance	0.0100	0.0845
COG4558	P	ABC-type hemin transport system, periplasmic component	0.0100	0.0322
COG4564	T	Signal transduction histidine kinase	0.0100	0.2960
COG4586	R	ABC-type uncharacterized transport system, ATPase component	0.0100	0.2535
COG4692	GM	Predicted neuraminidase (sialidase)	0.0100	0.4232
COG4784	R	Putative Zn-dependent protease	0.0100	0.2021
COG4822	H	Cobalamin biosynthesis protein CbiK, Co2+ chelatase	0.0100	0.3057
COG4947	R	Esterase/lipase superfamily enzyme	0.0100	0.0713
COG4986	P	ABC-type anion transport system, duplicated permease component	0.0100	0.3430
