family,fn,fp,step,MCC_mean,MCC_std,MCC_count,F1_mean,F1_std,F1_count,prec_mean,prec_std,prec_count,rec_mean,rec_std,rec_count,fp_removed_mean,fp_removed_std,fp_removed_count,ece_mean,ece_std,ece_count,mce_mean,mce_std,mce_count,brier_mean,brier_std,brier_count,nll_mean,nll_std,nll_count
nohidden_HO_T20_bacFT_hard,0.0,0.01,1,0.5970460791721522,0.17151628442485653,10,0.701478377672491,0.12936778021588727,10,0.6664804476905651,0.14372677411417847,10,0.7428257544274983,0.11365002584950656,10,0.8676329651836665,0.11287992683245134,10,0.09377474574611423,0.052053563005102894,10,0.2988658020243301,0.14221652619977163,10,0.12232426032423974,0.051092395001621466,10,0.457756432890892,0.1863097510993513,10
nohidden_HO_T20_bacFT_hard,0.0,0.01,2,0.6905841850845433,0.06509350594051709,10,0.7676536445296941,0.052138726317037254,10,0.6673685533804773,0.07503078915633084,10,0.9102633058425376,0.043038992003320335,10,0.5476467397161044,0.07671642710977952,10,0.11849615961183269,0.03662642641243122,10,0.28603704120636797,0.0947428906529563,10,0.11223126202821732,0.026537277563554288,10,0.4353711396455765,0.14598242809391174,10
nohidden_HO_T20_bacFT_hard,0.0,0.01,3,0.47287782241664383,0.11959634265655959,10,0.6071425742249926,0.09576995983620878,10,0.4590892025562704,0.10225120535956218,10,0.9163061171165141,0.03553465090576712,10,0.17288998403345152,0.017989574790974856,10,0.28992264928010264,0.0774155543825918,10,0.5223538031490909,0.06606520114882893,10,0.2528193280100822,0.08050392201239039,10,1.2554024636745453,0.592729618451804,10
nohidden_HO_T20_bacFT_hard,0.0,0.01,4,0.5101261416688784,0.08560486610188862,10,0.6383547778513684,0.07502480670384155,10,0.5181811439086635,0.09756536856762367,10,0.8452812914112146,0.046439346780545274,10,0.17270000778223274,0.04367013855503336,10,0.21637280304446932,0.051639615999808125,10,0.48434036554460336,0.08957225762544578,10,0.1945049673318863,0.03781437013840549,10,0.8646374702453613,0.22411825879580874,10
nohidden_HO_T20_bacFT_hard,0.0,0.01,5,0.49278909215415645,0.10742604757926223,10,0.6301682905076902,0.07931337527365631,10,0.5048119444498339,0.09344358364558857,10,0.8515015098012017,0.05450690272634537,10,0.23765464823688723,0.04190854520007769,10,0.23672562397146674,0.06285011766174808,10,0.5026113179197178,0.09506820705614638,10,0.21124567240476608,0.06218981262501456,10,1.009074679017067,0.4094503468092095,10
nohidden_HO_T20_bacFT_hard,0.0,0.01,6,0.4296935994708112,0.12464402028554673,10,0.5903389994524334,0.08530360270627729,10,0.4884743422588258,0.0834368616910512,10,0.753382937000658,0.09624633668444271,10,0.31818293359105176,0.03530148208557915,10,0.2374317475543742,0.05541170133839514,10,0.4884259745177804,0.07308593575837426,10,0.2163783147931099,0.05265808451283014,10,1.0289583086967469,0.31648724274824974,10
nohidden_HO_T20_bacFT_hard,0.0,0.01,7,0.3445101121154176,0.08650018523035612,10,0.5361037222211269,0.060048520087673134,10,0.42347886775707977,0.06504097135465237,10,0.7412436329508201,0.0671716274139914,10,0.40691459958727966,0.08176653233932418,10,0.27797697437033175,0.058699658163937046,10,0.5525227506153775,0.08430463911322847,10,0.2700329333543777,0.05327993717593356,10,1.5191428661346436,0.4464861329703889,10
nohidden_HO_T20_bacFT_hard,0.0,0.01,8,0.45908427973894106,0.18584581939876946,10,0.6148891029700556,0.11898615001986955,10,0.5340325989747783,0.12400783298349063,10,0.7311524280218997,0.10482666318957116,10,0.32102221243286705,0.1300605419022041,10,0.20155762888389944,0.08399590561520755,10,0.427466559652084,0.09272783694119063,10,0.19088249802589416,0.07732902374869016,10,0.868672114610672,0.45771951683786294,10
nohidden_HO_T20_bacFT_hard,0.0,0.01,9,0.3391649294400033,0.12980734189736404,10,0.5311751747413702,0.09322184038600921,10,0.4200223586288316,0.08735251308197985,10,0.727670539817172,0.10638198727341389,10,0.4085239586945627,0.08043694145054463,10,0.2491861369523048,0.0439769529111506,10,0.5318610951992317,0.05806123049100017,10,0.23812271058559417,0.04435147309975327,10,0.9471647381782532,0.1900257444620519,10
nohidden_HO_T20_bacFT_hard,0.0,0.01,10,0.054300953866802136,0.10140315626524504,10,0.3745962767587633,0.07212423325624977,10,0.2757157338757122,0.06363173607415912,10,0.5903110970797403,0.08127917731218329,10,0.4911918932680758,0.05350331609678313,10,0.43031660857714193,0.049312247449738646,10,0.6791964276538571,0.08179640026653144,10,0.4167129427194595,0.047446165496257645,10,2.5378121018409727,0.5505937485816019,10
