family,fn,fp,MCC_mean,MCC_std,ece_mean,ece_std,n
nohidden_HO_T20_bacFTfpmarginalhq,0.0,0.01,0.3308,0.3194,0.2404,0.1298,10
nohidden_HO_T20_bacFTfpmarginalhq,0.0,0.025,0.3395,0.3153,0.2373,0.1292,10
nohidden_HO_T20_bacFTfpmarginalhq,0.0,0.05,0.351,0.3095,0.2335,0.1282,10
nohidden_HO_T20_bacFTfpmarginalhq,0.0,0.1,0.369,0.2967,0.2292,0.1245,10
nohidden_HO_T20_bacFTfpmarginalhq,0.0,0.2,0.3951,0.2586,0.2363,0.1052,10
nohidden_HO_T20_bacFTfpmarginalhq,0.1,0.01,0.3403,0.2845,0.2274,0.1194,10
nohidden_HO_T20_bacFTfpmarginalhq,0.1,0.025,0.3547,0.2768,0.2221,0.1188,10
nohidden_HO_T20_bacFTfpmarginalhq,0.1,0.05,0.3761,0.2645,0.2148,0.1178,10
nohidden_HO_T20_bacFTfpmarginalhq,0.1,0.1,0.4137,0.2378,0.2064,0.112,10
nohidden_HO_T20_bacFTfpmarginalhq,0.1,0.2,0.4714,0.1812,0.2165,0.0879,10
nohidden_HO_T20_bacFTfpmarginalhq,0.2,0.01,0.3876,0.2322,0.1993,0.1077,10
nohidden_HO_T20_bacFTfpmarginalhq,0.2,0.025,0.4142,0.2207,0.1905,0.1081,10
nohidden_HO_T20_bacFTfpmarginalhq,0.2,0.05,0.4503,0.205,0.1817,0.1062,10
nohidden_HO_T20_bacFTfpmarginalhq,0.2,0.1,0.4948,0.1783,0.1817,0.0953,10
nohidden_HO_T20_bacFTfpmarginalhq,0.2,0.2,0.5184,0.1374,0.2053,0.0829,10
nohidden_HO_T20_bacFTfpmarginalhq,0.3,0.01,0.4726,0.1989,0.1625,0.1056,10
nohidden_HO_T20_bacFTfpmarginalhq,0.3,0.025,0.4912,0.1935,0.1613,0.1024,10
nohidden_HO_T20_bacFTfpmarginalhq,0.3,0.05,0.5085,0.1819,0.164,0.0957,10
nohidden_HO_T20_bacFTfpmarginalhq,0.3,0.1,0.5212,0.157,0.1723,0.0866,10
nohidden_HO_T20_bacFTfpmarginalhq,0.3,0.2,0.5222,0.1181,0.1908,0.0794,10
nohidden_HO_T20_bacFTfpmarginalhq,0.4,0.01,0.4953,0.1889,0.1518,0.0997,10
nohidden_HO_T20_bacFTfpmarginalhq,0.4,0.025,0.5044,0.1822,0.1529,0.0958,10
