COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG0001	1.0000	0.9981	0.0028	0.9999	0.0003	0.9988	0.0019	0.9949	0.0064	0.9933	0.0072
COG0002	0.9992	0.9823	0.0332	0.9725	0.0523	0.9956	0.0081	0.9926	0.0121	0.9893	0.0158
COG0003	0.9988	0.8880	0.0620	0.9922	0.0072	0.9188	0.0641	0.9152	0.0555	0.8769	0.0838
COG0004	1.0000	0.8882	0.0987	0.9823	0.0211	0.9654	0.0397	0.9438	0.0500	0.9557	0.0388
COG0005	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0001	0.9999	0.0002
COG0006	1.0000	0.9999	0.0001	1.0000	0.0000	1.0000	0.0001	0.9999	0.0001	0.9997	0.0003
COG0007	1.0000	0.9856	0.0248	0.9988	0.0024	0.9935	0.0095	0.9908	0.0151	0.9828	0.0216
COG0008	1.0000	0.9999	0.0002	0.9991	0.0023	0.9997	0.0005	0.9999	0.0001	1.0000	0.0000
COG0009	1.0000	0.9994	0.0006	0.9988	0.0021	0.9995	0.0007	0.9998	0.0003	0.9998	0.0002
COG0010	1.0000	0.7794	0.1445	0.9078	0.1413	0.7184	0.1902	0.6900	0.2036	0.6706	0.2127
COG0011	0.9990	0.9480	0.0793	0.9742	0.0365	0.9289	0.0985	0.9212	0.1030	0.9332	0.0943
COG0012	1.0000	0.9999	0.0001	0.9998	0.0003	0.9998	0.0002	0.9999	0.0001	0.9999	0.0000
COG0013	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000
COG0014	0.9998	0.9709	0.0521	0.9952	0.0055	0.9818	0.0277	0.9682	0.0537	0.9722	0.0438
COG0015	1.0000	0.9939	0.0064	0.9919	0.0154	0.9863	0.0144	0.9931	0.0062	0.9972	0.0026
COG0016	1.0000	1.0000	0.0000	0.9999	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000
COG0017	1.0000	0.9724	0.0635	0.9999	0.0002	0.9635	0.0661	0.9526	0.0681	0.9590	0.0602
COG0018	1.0000	1.0000	0.0000	0.9999	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000
COG0019	1.0000	0.9993	0.0011	0.9997	0.0008	0.9998	0.0005	0.9996	0.0008	0.9995	0.0007
COG0020	1.0000	0.9998	0.0003	0.9996	0.0005	0.9998	0.0003	0.9999	0.0002	0.9999	0.0001
COG0021	1.0000	0.7479	0.2702	0.9925	0.0082	0.9258	0.1088	0.8745	0.1535	0.8771	0.1395
COG0022	1.0000	0.9563	0.1161	0.9983	0.0054	0.9921	0.0205	0.9819	0.0378	0.9590	0.0708
COG0023	0.0171	0.0459	0.0424	0.0862	0.0640	0.0663	0.0503	0.0057	0.0083	0.0174	0.0218
COG0024	1.0000	0.9999	0.0001	0.9999	0.0001	0.9999	0.0001	0.9999	0.0001	0.9999	0.0001
COG0025	0.9999	0.3185	0.2360	0.8563	0.1005	0.4856	0.2829	0.4925	0.2602	0.4130	0.2535
COG0026	0.5053	0.0196	0.0565	0.0777	0.1925	0.0954	0.2534	0.0949	0.2223	0.0728	0.1703
COG0027	0.0000	0.0001	0.0002	0.0000	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002
COG0028	1.0000	0.9983	0.0018	0.9998	0.0005	0.9982	0.0031	0.9966	0.0040	0.9952	0.0045
COG0029	1.0000	0.9906	0.0220	0.9993	0.0019	0.9956	0.0095	0.9895	0.0226	0.9848	0.0260
COG0030	1.0000	0.9998	0.0002	0.9996	0.0004	0.9997	0.0003	0.9998	0.0002	0.9999	0.0001
COG0031	1.0000	0.9999	0.0002	1.0000	0.0000	1.0000	0.0001	0.9999	0.0001	0.9999	0.0002
COG0033	0.0013	0.1040	0.0953	0.5087	0.2402	0.1651	0.1620	0.0968	0.0853	0.0602	0.0572
COG0034	0.9998	0.9997	0.0005	0.9999	0.0001	0.9998	0.0003	0.9997	0.0005	0.9995	0.0006
COG0035	1.0000	0.2860	0.2974	0.7632	0.2410	0.6106	0.3270	0.7653	0.2326	0.7856	0.2119
COG0036	1.0000	0.9998	0.0002	0.9995	0.0008	0.9996	0.0005	0.9998	0.0002	0.9999	0.0001
COG0037	1.0000	1.0000	0.0000	0.9998	0.0002	0.9999	0.0001	1.0000	0.0001	1.0000	0.0000
COG0038	1.0000	0.4309	0.1889	0.7233	0.1646	0.3689	0.2578	0.3696	0.2569	0.4723	0.2149
COG0039	0.9999	0.7400	0.2591	0.8966	0.1223	0.7847	0.2476	0.7317	0.2399	0.6997	0.2375
COG0040	0.9992	0.9980	0.0041	0.9981	0.0049	0.9984	0.0037	0.9985	0.0027	0.9981	0.0022
COG0041	0.9998	0.9961	0.0056	0.9907	0.0146	0.9970	0.0038	0.9974	0.0025	0.9969	0.0025
COG0042	1.0000	0.5277	0.2545	0.6727	0.2693	0.5009	0.2922	0.7509	0.2280	0.8515	0.1524
COG0043	0.9999	0.9982	0.0026	0.9984	0.0033	0.9980	0.0045	0.9985	0.0033	0.9985	0.0034
COG0044	1.0000	0.9999	0.0001	0.9999	0.0000	1.0000	0.0000	1.0000	0.0000	0.9999	0.0001
COG0045	1.0000	0.9834	0.0431	0.9997	0.0005	0.9945	0.0131	0.9629	0.0791	0.9739	0.0489
COG0046	0.9999	0.9989	0.0015	0.9990	0.0015	0.9991	0.0012	0.9994	0.0008	0.9992	0.0007
