COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG0001	0.0000	0.9600	0.0322	0.9795	0.0222	0.8996	0.0546	0.6136	0.1535	0.2121	0.0985
COG0002	0.0000	0.8558	0.0380	0.7278	0.0897	0.8066	0.0617	0.8462	0.0754	0.3132	0.1784
COG0003	0.0000	0.6949	0.1561	0.7635	0.1612	0.4014	0.1558	0.2431	0.1234	0.0393	0.0176
COG0004	0.0000	0.7019	0.0721	0.7188	0.0999	0.5196	0.1036	0.5406	0.1037	0.1448	0.0520
COG0005	0.0000	0.9910	0.0093	0.9954	0.0069	0.9816	0.0134	0.9323	0.0374	0.7666	0.0708
COG0006	0.0000	0.9912	0.0039	0.9926	0.0040	0.9768	0.0140	0.9333	0.0398	0.8907	0.0675
COG0007	0.0000	0.9477	0.0213	0.9825	0.0077	0.8315	0.1113	0.4307	0.2304	0.0743	0.0382
COG0008	0.1100	0.9591	0.0127	0.9696	0.0128	0.9245	0.0271	0.8968	0.0398	0.9076	0.0407
COG0009	0.0000	0.9657	0.0082	0.9594	0.0086	0.9529	0.0079	0.9416	0.0165	0.9337	0.0231
COG0010	0.0000	0.8361	0.0640	0.8383	0.0702	0.7574	0.0748	0.4639	0.0863	0.2663	0.0784
COG0011	0.0000	0.7999	0.1011	0.7979	0.0894	0.7256	0.1166	0.5602	0.1524	0.1771	0.1092
COG0012	0.0000	0.9620	0.0136	0.9380	0.0239	0.9154	0.0302	0.9234	0.0261	0.9410	0.0222
COG0013	0.4000	0.9771	0.0087	0.9872	0.0059	0.9495	0.0219	0.9135	0.0351	0.8956	0.0441
COG0014	0.0000	0.8676	0.0737	0.8828	0.0847	0.9010	0.0624	0.8694	0.0582	0.3945	0.1703
COG0015	0.1000	0.9752	0.0067	0.9870	0.0050	0.9809	0.0070	0.9779	0.0070	0.9283	0.0550
COG0016	0.0400	0.9692	0.0079	0.9758	0.0092	0.9449	0.0209	0.9622	0.0134	0.9686	0.0127
COG0017	0.0000	0.6987	0.1685	0.7112	0.1661	0.3493	0.1169	0.0872	0.0154	0.2520	0.1258
COG0018	0.0400	0.9709	0.0102	0.9787	0.0106	0.9389	0.0231	0.9618	0.0085	0.9681	0.0090
COG0019	0.0000	0.9440	0.0310	0.9448	0.0349	0.9331	0.0310	0.9299	0.0299	0.7494	0.1259
COG0020	0.0000	0.9607	0.0131	0.9499	0.0135	0.9518	0.0147	0.9682	0.0062	0.9603	0.0119
COG0021	0.0000	0.8276	0.0922	0.8669	0.0738	0.6097	0.1272	0.3700	0.1218	0.5606	0.1522
COG0022	0.0000	0.9093	0.0651	0.9278	0.0445	0.6150	0.1534	0.3402	0.1169	0.1235	0.0462
COG0023	0.0000	0.0262	0.0205	0.0317	0.0206	0.0073	0.0047	0.0238	0.0141	0.0152	0.0063
COG0024	0.0000	0.9718	0.0094	0.9373	0.0206	0.9493	0.0228	0.9641	0.0139	0.9668	0.0131
COG0025	0.0000	0.1976	0.0809	0.1774	0.0527	0.0960	0.0359	0.0842	0.0276	0.0978	0.0310
COG0026	0.0000	0.0619	0.0578	0.0268	0.0279	0.0262	0.0088	0.0201	0.0103	0.0292	0.0110
COG0027	0.0000	0.0027	0.0017	0.0024	0.0020	0.0027	0.0021	0.0094	0.0059	0.0159	0.0084
COG0028	0.0000	0.9226	0.0193	0.9403	0.0177	0.8942	0.0391	0.9230	0.0289	0.5243	0.1581
COG0029	0.0400	0.8921	0.0435	0.9527	0.0329	0.9587	0.0200	0.6372	0.1444	0.4613	0.1583
COG0030	0.0000	0.9717	0.0079	0.9677	0.0118	0.9578	0.0183	0.9594	0.0133	0.9640	0.0116
COG0031	0.0000	0.9891	0.0036	0.9943	0.0021	0.9753	0.0112	0.8793	0.0381	0.6887	0.1095
COG0033	0.0000	0.1618	0.0740	0.1733	0.0747	0.0632	0.0481	0.0223	0.0211	0.0241	0.0191
COG0034	0.0000	0.9687	0.0119	0.9576	0.0131	0.9613	0.0073	0.9689	0.0066	0.8921	0.0813
COG0035	0.0100	0.8410	0.0770	0.9538	0.0277	0.2237	0.1346	0.0567	0.0451	0.0723	0.0315
COG0036	0.0000	0.9784	0.0078	0.9777	0.0083	0.9632	0.0157	0.9588	0.0142	0.9370	0.0305
COG0037	0.0000	0.9803	0.0072	0.9725	0.0106	0.9729	0.0097	0.9710	0.0081	0.9796	0.0063
COG0038	0.0100	0.7511	0.0955	0.8744	0.0339	0.1741	0.0919	0.1644	0.0655	0.0921	0.0252
COG0039	0.0100	0.7686	0.0962	0.9082	0.0492	0.2515	0.1021	0.2171	0.0896	0.1678	0.0581
COG0040	0.0000	0.9364	0.0222	0.9092	0.0285	0.9307	0.0273	0.9003	0.0355	0.3454	0.2152
COG0041	0.0000	0.9170	0.0266	0.8725	0.0545	0.8979	0.0267	0.8884	0.0241	0.7874	0.1513
COG0042	0.0000	0.7122	0.2125	0.6134	0.2175	0.4101	0.1598	0.2602	0.0979	0.6079	0.1126
COG0043	0.0000	0.9425	0.0267	0.9605	0.0206	0.8143	0.0987	0.4579	0.2140	0.0453	0.0303
COG0044	0.0000	0.9894	0.0151	0.9898	0.0125	0.9766	0.0231	0.9505	0.0363	0.7741	0.1850
COG0045	0.0000	0.9787	0.0093	0.9897	0.0050	0.8608	0.0691	0.6516	0.0865	0.3449	0.1566
COG0046	0.1700	0.9665	0.0126	0.9709	0.0151	0.9768	0.0081	0.9790	0.0067	0.9251	0.0836
COG0047	0.0000	0.9369	0.0411	0.9006	0.0712	0.9290	0.0456	0.8946	0.0743	0.7759	0.1503
COG0048	0.0000	0.9568	0.0111	0.9039	0.0382	0.9079	0.0345	0.9146	0.0232	0.9182	0.0284
COG0049	0.0000	0.9487	0.0094	0.8745	0.0484	0.8969	0.0291	0.9182	0.0181	0.9273	0.0192
COG0050	0.0000	0.9583	0.0096	0.8822	0.0406	0.8737	0.0475	0.9103	0.0191	0.9217	0.0241
COG0051	0.0000	0.9154	0.0260	0.7366	0.1397	0.7586	0.1395	0.8722	0.0351	0.9041	0.0294
COG0052	0.0000	0.9664	0.0114	0.9484	0.0139	0.9504	0.0157	0.9641	0.0110	0.9654	0.0116
COG0053	0.0000	0.9246	0.0231	0.9363	0.0248	0.8165	0.0563	0.5501	0.0892	0.4081	0.1056
COG0054	0.0000	0.9685	0.0090	0.9571	0.0209	0.9571	0.0133	0.9428	0.0230	0.8562	0.0643
COG0055	0.0100	0.9526	0.0095	0.9726	0.0149	0.8484	0.0279	0.5666	0.1269	0.5018	0.1863
COG0056	0.0000	0.9376	0.0295	0.9239	0.0412	0.8180	0.0602	0.5394	0.1531	0.4876	0.2007
COG0057	0.0000	0.9668	0.0145	0.9482	0.0281	0.9402	0.0298	0.9470	0.0237	0.9325	0.0341
COG0058	0.0000	0.9292	0.0391	0.9713	0.0221	0.6416	0.1746	0.3862	0.1558	0.4212	0.1287
COG0059	0.0000	0.9412	0.0211	0.9521	0.0172	0.9457	0.0192	0.9407	0.0187	0.4941	0.1998
COG0060	0.0400	0.9793	0.0069	0.9871	0.0054	0.9614	0.0152	0.9717	0.0074	0.9784	0.0073
COG0061	0.0000	0.9698	0.0091	0.9684	0.0136	0.9453	0.0214	0.8910	0.0342	0.8313	0.0938
COG0062	0.0000	0.9818	0.0097	0.9874	0.0084	0.9697	0.0120	0.9399	0.0192	0.8593	0.0624
COG0063	0.0000	0.0294	0.0199	0.0312	0.0193	0.0617	0.0425	0.0815	0.0593	0.0939	0.0554
COG0064	0.0500	0.9941	0.0034	0.9977	0.0017	0.9949	0.0024	0.9864	0.0054	0.8958	0.0385
COG0065	0.0000	0.9893	0.0029	0.9950	0.0018	0.9735	0.0079	0.9570	0.0125	0.5253	0.2121
COG0066	0.0100	0.9925	0.0030	0.9974	0.0015	0.9831	0.0062	0.9670	0.0108	0.5328	0.1870
COG0067	0.0000	0.8322	0.0699	0.8912	0.0473	0.8041	0.0782	0.7752	0.0539	0.1737	0.0905
COG0068	0.0700	0.9974	0.0014	0.9997	0.0002	0.9948	0.0025	0.9629	0.0153	0.2165	0.0982
COG0069	0.0300	0.7849	0.0873	0.9179	0.0401	0.9391	0.0295	0.6540	0.0937	0.1256	0.0756
COG0070	0.0000	0.5837	0.1393	0.6817	0.0987	0.7586	0.0724	0.6275	0.0683	0.1073	0.0833
COG0071	0.0000	0.9895	0.0061	0.9912	0.0068	0.9856	0.0063	0.9502	0.0150	0.7625	0.0539
COG0072	0.0000	0.9697	0.0080	0.9529	0.0133	0.9596	0.0144	0.9651	0.0160	0.9724	0.0134
COG0073	0.4500	0.9416	0.0351	0.9585	0.0231	0.9621	0.0175	0.9570	0.0157	0.9461	0.0207
COG0074	0.0000	0.9118	0.0371	0.9478	0.0253	0.6546	0.1197	0.3144	0.0822	0.2310	0.0857
COG0075	0.0000	0.9663	0.0201	0.9805	0.0118	0.9552	0.0204	0.8633	0.0597	0.5676	0.1128
COG0076	0.0000	0.2169	0.0555	0.2371	0.0552	0.0654	0.0209	0.0431	0.0135	0.0245	0.0084
COG0077	0.0000	0.8921	0.0342	0.9068	0.0409	0.8917	0.0389	0.8930	0.0389	0.3284	0.1924
COG0078	0.0000	0.9669	0.0127	0.9737	0.0154	0.8961	0.0444	0.8934	0.0326	0.6404	0.1386
COG0079	0.0000	0.9945	0.0035	0.9943	0.0042	0.9861	0.0068	0.9654	0.0168	0.5817	0.1577
COG0080	0.0000	0.9617	0.0086	0.8742	0.0675	0.9231	0.0396	0.9455	0.0163	0.9524	0.0111
COG0081	0.0000	0.9563	0.0125	0.8532	0.0817	0.9032	0.0419	0.9318	0.0182	0.9465	0.0131
