COG_ID	category	name	truth	fn04_input	fn04_post	fn04_present	fn04_state	fn06_input	fn06_post	fn06_present	fn06_state	fn08_input	fn08_post	fn08_present	fn08_state
COG0001	H	Glutamate-1-semialdehyde aminotransferase	1	1	1.0000	1	kept	0	0.9975	1	recovered	0	0.9902	1	recovered
COG0002	E	N-acetyl-gamma-glutamylphosphate reductase	1	1	0.9996	1	kept	0	0.9800	1	recovered	0	0.9570	1	recovered
COG0003	P	Anion-transporting ATPase, ArsA/GET3 family	0	0	0.5147	1	FP	0	0.6219	1	FP	0	0.0421	0	absent
COG0004	P	Ammonia channel protein AmtB	1	1	0.9998	1	kept	0	0.9635	1	recovered	0	0.1374	0	gap
COG0005	F	Purine nucleoside phosphorylase	1	0	0.9389	1	recovered	0	0.9857	1	recovered	1	0.9819	1	kept
COG0006	E	Xaa-Pro aminopeptidase	1	0	0.9996	1	recovered	1	0.9999	1	kept	0	0.9964	1	recovered
COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)	1	0	0.9997	1	recovered	0	0.9951	1	recovered	0	0.4900	0	gap
COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase	1	1	0.9999	1	kept	0	0.9971	1	recovered	0	0.9916	1	recovered
COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	1	0	0.9977	1	recovered	0	0.9910	1	recovered	1	0.9969	1	kept
COG0010	E	Arginase/agmatinase family enzyme	1	1	0.9998	1	kept	0	0.9192	1	recovered	0	0.9597	1	recovered
COG0011	H	Thiamin-binding stress-response protein YqgV, UPF0045 family	0	0	0.2183	0	absent	0	0.3865	0	absent	0	0.4699	0	absent
COG0012	J	Ribosome-binding ATPase YchF, GTP1/OBG family	1	1	0.9998	1	kept	0	0.9876	1	recovered	1	0.9892	1	kept
COG0013	J	Alanyl-tRNA synthetase	1	0	0.9984	1	recovered	0	0.9895	1	recovered	0	0.9818	1	recovered
COG0014	E	Gamma-glutamyl phosphate reductase	1	1	0.9998	1	kept	1	0.9998	1	kept	0	0.9825	1	recovered
COG0015	F	Adenylosuccinate lyase	1	0	0.9955	1	recovered	1	0.9991	1	kept	0	0.9681	1	recovered
COG0016	J	Phenylalanyl-tRNA synthetase alpha subunit	1	0	0.9962	1	recovered	1	0.9985	1	kept	0	0.9847	1	recovered
COG0017	J	Aspartyl/asparaginyl-tRNA synthetase	1	0	0.9941	1	recovered	0	0.9945	1	recovered	1	0.9898	1	kept
COG0018	J	Arginyl-tRNA synthetase	1	1	0.9999	1	kept	0	0.9920	1	recovered	0	0.9814	1	recovered
COG0019	E	Diaminopimelate decarboxylase	1	1	0.9998	1	kept	1	0.9997	1	kept	0	0.9894	1	recovered
COG0020	I	Undecaprenyl pyrophosphate synthase	1	0	0.9988	1	recovered	0	0.9926	1	recovered	1	0.9953	1	kept
COG0021	G	Transketolase	1	0	0.9996	1	recovered	1	1.0000	1	kept	0	0.9987	1	recovered
COG0022	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	0	0	0.9987	1	FP	0	0.9702	1	FP	0	0.9109	1	FP
COG0023	J	Translation initiation factor 1 (eIF-1/SUI1)	1	1	0.9892	1	kept	0	0.8994	1	recovered	0	0.7298	1	recovered
COG0024	J	Methionine aminopeptidase	1	0	0.9974	1	recovered	0	0.9935	1	recovered	0	0.9937	1	recovered
COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter	1	1	0.9785	1	kept	0	0.6746	1	recovered	0	0.4221	0	gap
COG0026	F	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	1	1	0.9913	1	kept	1	0.9816	1	kept	0	0.6595	1	recovered
COG0027	F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	1	1	0.8658	1	kept	0	0.1501	0	gap	0	0.1192	0	gap
COG0028	EH	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	1	1	1.0000	1	kept	1	0.9999	1	kept	0	0.9891	1	recovered
COG0029	H	Aspartate oxidase	1	1	0.9998	1	kept	0	0.9851	1	recovered	0	0.9397	1	recovered
COG0030	J	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	1	1	0.9993	1	kept	1	0.9968	1	kept	0	0.9596	1	recovered
COG0031	E	Cysteine synthase	1	1	0.9999	1	kept	0	0.9974	1	recovered	0	0.9849	1	recovered
COG0033	G	Phosphoglucomutase/phosphomannomutase	1	1	0.9967	1	kept	0	0.9059	1	recovered	0	0.6983	1	recovered
COG0034	F	Glutamine phosphoribosylpyrophosphate amidotransferase	1	1	0.9985	1	kept	0	0.9678	1	recovered	1	0.9913	1	kept
COG0035	F	Uracil phosphoribosyltransferase	1	1	1.0000	1	kept	0	0.9998	1	recovered	0	0.9930	1	recovered
COG0036	G	Pentose-5-phosphate-3-epimerase	1	0	0.9952	1	recovered	1	0.9983	1	kept	0	0.9870	1	recovered
COG0037	J	tRNA(Ile)-lysidine synthase TilS/MesJ	1	1	1.0000	1	kept	0	0.9992	1	recovered	0	0.9907	1	recovered
COG0038	P	H+/Cl- antiporter ClcA	1	1	0.9998	1	kept	1	0.9996	1	kept	0	0.9677	1	recovered
COG0039	C	Malate/lactate dehydrogenase	1	1	0.9982	1	kept	0	0.9354	1	recovered	0	0.8870	1	recovered
COG0040	E	ATP phosphoribosyltransferase	1	0	0.9940	1	recovered	1	0.9990	1	kept	0	0.9683	1	recovered
COG0041	F	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	1	1	0.9983	1	kept	1	0.9801	1	kept	0	0.8435	1	recovered
COG0042	J	tRNA-dihydrouridine synthase	1	1	1.0000	1	kept	0	0.9989	1	recovered	0	0.9969	1	recovered
COG0043	H	3-polyprenyl-4-hydroxybenzoate decarboxylase	1	1	0.9821	1	kept	1	0.6778	1	kept	1	0.9216	1	kept
COG0044	F	Dihydroorotase or related cyclic amidohydrolase	1	1	0.9999	1	kept	0	0.9968	1	recovered	0	0.9871	1	recovered
COG0045	C	Succinyl-CoA synthetase, beta subunit	1	0	0.9949	1	recovered	1	0.9996	1	kept	0	0.9682	1	recovered
COG0046	F	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	1	1	0.9997	1	kept	1	0.9981	1	kept	0	0.9533	1	recovered
COG0047	F	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	0	1	0.8209	1	FP	0	0.5279	1	FP	0	0.3747	0	absent
COG0048	J	Ribosomal protein S12	1	1	0.9998	1	kept	0	0.9762	1	recovered	0	0.9411	1	recovered
COG0049	J	Ribosomal protein S7	1	1	0.9998	1	kept	0	0.9833	1	recovered	0	0.9399	1	recovered
COG0050	J	Translation elongation factor EF-Tu, a GTPase	1	1	0.9999	1	kept	0	0.9806	1	recovered	0	0.9759	1	recovered
COG0051	J	Ribosomal protein S10	1	1	0.9996	1	kept	1	0.9974	1	kept	0	0.9720	1	recovered
COG0052	J	Ribosomal protein S2	1	1	0.9997	1	kept	0	0.9913	1	recovered	1	0.9873	1	kept
COG0053	P	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump	1	1	0.9998	1	kept	0	0.9907	1	recovered	0	0.9828	1	recovered
COG0054	H	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	1	1	0.9998	1	kept	0	0.9928	1	recovered	0	0.9445	1	recovered
COG0055	C	FoF1-type ATP synthase, beta subunit	1	1	0.9996	1	kept	0	0.9490	1	recovered	0	0.9788	1	recovered
COG0056	C	FoF1-type ATP synthase, alpha subunit	1	0	0.9917	1	recovered	0	0.9223	1	recovered	0	0.9791	1	recovered
COG0057	G	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	1	1	0.9999	1	kept	1	0.9997	1	kept	0	0.9929	1	recovered
COG0058	G	Glucan phosphorylase	1	1	1.0000	1	kept	0	0.9970	1	recovered	1	0.9985	1	kept
COG0059	EH	Ketol-acid reductoisomerase	1	0	0.9896	1	recovered	0	0.9892	1	recovered	0	0.9868	1	recovered
COG0060	J	Isoleucyl-tRNA synthetase	1	0	0.9959	1	recovered	0	0.9850	1	recovered	0	0.9799	1	recovered
COG0061	H	NAD kinase	1	0	0.9959	1	recovered	0	0.9860	1	recovered	0	0.9891	1	recovered
COG0062	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain	1	1	0.9991	1	kept	1	0.9984	1	kept	1	0.9932	1	kept
COG0063	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	0	0	0.0151	0	absent	0	0.0551	0	absent	0	0.0802	0	absent
COG0064	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	0	1	0.9995	1	FP	1	0.9986	1	FP	0	0.9295	1	FP
COG0065	E	Homoaconitase/3-isopropylmalate dehydratase large subunit	1	0	0.9995	1	recovered	1	0.9997	1	kept	0	0.9686	1	recovered
COG0066	E	3-isopropylmalate dehydratase small subunit	1	0	0.9971	1	recovered	1	0.9982	1	kept	1	0.9965	1	kept
